startOffsetSeconds,endOffsetSeconds,severity,score
0.0,12.0,light,28.69
12.0,15.0,moderate,35.61
15.0,21.0,light,31.19
21.0,24.0,moderate,35.28
24.0,42.0,light,22.76
42.0,45.0,neutral,
45.0,78.0,light,25.58
78.0,96.0,neutral,
96.0,99.0,light,10.92
99.0,102.0,neutral,
102.0,123.0,light,21.73
123.0,129.0,moderate,39.49
129.0,132.0,light,27.5
132.0,144.0,moderate,40.01
144.0,147.0,light,28.69
147.0,174.0,moderate,54.4
174.0,183.0,light,27.5
183.0,201.0,neutral,
201.0,225.0,light,28.14
225.0,231.0,neutral,
231.0,234.0,light,10.92
234.0,237.0,neutral,
237.0,246.0,light,10.92
246.0,249.0,neutral,
249.0,288.0,light,26.32
288.0,291.0,moderate,38.21
291.0,300.0,light,30.17
