videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
16b7544e,0,00:00:00,2026-04-01T11:11:11,11:11:11,2,2,2,2,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
16b7544e,1,00:00:01,2026-04-01T11:11:12,11:11:12,3,3,3,3,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
16b7544e,2,00:00:02,2026-04-01T11:11:13,11:11:13,3,3,3,3,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
16b7544e,3,00:00:03,2026-04-01T11:11:14,11:11:14,2,2,3,3,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
16b7544e,4,00:00:04,2026-04-01T11:11:15,11:11:15,2,2,3,3,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
16b7544e,5,00:00:05,2026-04-01T11:11:16,11:11:16,3,3,4,4,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
16b7544e,6,00:00:06,2026-04-01T11:11:17,11:11:17,1,1,4,4,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
16b7544e,7,00:00:07,2026-04-01T11:11:18,11:11:18,3,3,5,5,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
16b7544e,8,00:00:08,2026-04-01T11:11:19,11:11:19,3,3,5,5,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
16b7544e,9,00:00:09,2026-04-01T11:11:20,11:11:20,4,4,6,6,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
16b7544e,10,00:00:10,2026-04-01T11:11:21,11:11:21,4,4,7,7,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
16b7544e,11,00:00:11,2026-04-01T11:11:22,11:11:22,4,4,7,7,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
16b7544e,12,00:00:12,2026-04-01T11:11:23,11:11:23,5,5,8,8,4,1,0,0.4,35.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
16b7544e,13,00:00:13,2026-04-01T11:11:24,11:11:24,5,5,9,9,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
16b7544e,14,00:00:14,2026-04-01T11:11:25,11:11:25,5,5,9,9,4,1,0,0.4,35.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
16b7544e,15,00:00:15,2026-04-01T11:11:26,11:11:26,3,3,9,9,2,1,0,0.4444,24.43,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
