eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
4efda1a3,18263784,detection,EDSA Sec Walk,12:13:51 PM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
57485072,18263784,detection,EDSA Sec Walk,12:13:51 PM,0.0,00:00:00,2,1,0,light occlusion,Light occlusion pedestrian ID #2 detected at frame 1
69b0b61f,18263784,detection,EDSA Sec Walk,12:13:51 PM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
6bd2e327,18263784,detection,EDSA Sec Walk,12:13:51 PM,0.0,00:00:00,5,1,0,light occlusion,Light occlusion pedestrian ID #5 detected at frame 1
b5333423,18263784,detection,EDSA Sec Walk,12:13:51 PM,0.0,00:00:00,4,1,0,light occlusion,Light occlusion pedestrian ID #4 detected at frame 1
a6f558f2,18263784,detection,EDSA Sec Walk,12:13:51 PM,0.53,00:00:00,6,17,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 17
e224b41a,18263784,detection,EDSA Sec Walk,12:13:52 PM,1.1,00:00:01,11,34,0,light occlusion,Light occlusion pedestrian ID #11 detected at frame 34
360beda3,18263784,detection,EDSA Sec Walk,12:13:53 PM,2.33,00:00:02,18,71,0,light occlusion,Light occlusion pedestrian ID #18 detected at frame 71
4da18451,18263784,detection,EDSA Sec Walk,12:13:54 PM,3.73,00:00:03,28,113,0,light occlusion,Light occlusion pedestrian ID #28 detected at frame 113
a3a43a71,18263784,detection,EDSA Sec Walk,12:13:55 PM,4.57,00:00:04,39,138,1,moderate occlusion,Moderate occlusion pedestrian ID #39 detected at frame 138
352ef0fe,18263784,detection,EDSA Sec Walk,12:13:55 PM,4.83,00:00:04,40,146,0,light occlusion,Light occlusion pedestrian ID #40 detected at frame 146
1d657bd3,18263784,detection,EDSA Sec Walk,12:13:57 PM,6.13,00:00:06,46,185,0,light occlusion,Light occlusion pedestrian ID #46 detected at frame 185
c0aca3ce,18263784,detection,EDSA Sec Walk,12:13:57 PM,6.73,00:00:06,47,203,0,light occlusion,Light occlusion pedestrian ID #47 detected at frame 203
f4c17d14,18263784,detection,EDSA Sec Walk,12:13:58 PM,7.13,00:00:07,48,215,0,light occlusion,Light occlusion pedestrian ID #48 detected at frame 215
b35e580e,18263784,detection,EDSA Sec Walk,12:13:58 PM,7.53,00:00:07,49,227,0,light occlusion,Light occlusion pedestrian ID #49 detected at frame 227
8496a55a,18263784,detection,EDSA Sec Walk,12:13:58 PM,7.93,00:00:07,59,239,0,light occlusion,Light occlusion pedestrian ID #59 detected at frame 239
753f88da,18263784,detection,EDSA Sec Walk,12:13:59 PM,8.7,00:00:08,65,262,0,light occlusion,Light occlusion pedestrian ID #65 detected at frame 262
c01f7962,18263784,detection,EDSA Sec Walk,12:13:59 PM,8.93,00:00:08,69,269,0,light occlusion,Light occlusion pedestrian ID #69 detected at frame 269
4858daa6,18263784,detection,EDSA Sec Walk,12:14:06 PM,15.03,00:00:15,94,452,0,light occlusion,Light occlusion pedestrian ID #94 detected at frame 452
fc73fa19,18263784,detection,EDSA Sec Walk,12:14:06 PM,15.13,00:00:15,98,455,0,light occlusion,Light occlusion pedestrian ID #98 detected at frame 455
2c864d78,18263784,detection,EDSA Sec Walk,12:14:07 PM,16.13,00:00:16,99,485,0,light occlusion,Light occlusion pedestrian ID #99 detected at frame 485
a0f4e2a8,18263784,detection,EDSA Sec Walk,12:14:08 PM,17.73,00:00:17,131,533,0,light occlusion,Light occlusion pedestrian ID #131 detected at frame 533
6438b8f3,18263784,detection,EDSA Sec Walk,12:14:09 PM,18.03,00:00:18,133,542,0,light occlusion,Light occlusion pedestrian ID #133 detected at frame 542
beabe933,18263784,detection,EDSA Sec Walk,12:14:10 PM,19.47,00:00:19,155,585,0,light occlusion,Light occlusion pedestrian ID #155 detected at frame 585
3b0a20a0,18263784,detection,EDSA Sec Walk,12:14:13 PM,22.33,00:00:22,156,671,1,moderate occlusion,Moderate occlusion pedestrian ID #156 detected at frame 671
5ee3350f,18263784,detection,EDSA Sec Walk,12:14:14 PM,23.93,00:00:23,167,719,0,light occlusion,Light occlusion pedestrian ID #167 detected at frame 719
daaf91cc,18263784,detection,EDSA Sec Walk,12:14:14 PM,23.93,00:00:23,168,719,0,light occlusion,Light occlusion pedestrian ID #168 detected at frame 719
fca495f4,18263784,detection,EDSA Sec Walk,12:14:16 PM,25.83,00:00:25,171,776,1,moderate occlusion,Moderate occlusion pedestrian ID #171 detected at frame 776
