videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
18263784,0,00:00:00,2026-05-13T12:13:51,12:13:51,4,4,4,4,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
18263784,1,00:00:01,2026-05-13T12:13:52,12:13:52,3,3,5,5,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
18263784,2,00:00:02,2026-05-13T12:13:53,12:13:53,4,4,6,6,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
18263784,3,00:00:03,2026-05-13T12:13:54,12:13:54,5,5,7,7,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
18263784,4,00:00:04,2026-05-13T12:13:55,12:13:55,5,5,9,9,4,1,0,0.4,35.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
18263784,5,00:00:05,2026-05-13T12:13:56,12:13:56,3,3,9,9,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
18263784,6,00:00:06,2026-05-13T12:13:57,12:13:57,5,5,11,11,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
18263784,7,00:00:07,2026-05-13T12:13:58,12:13:58,8,8,14,14,8,0,0,0.3333,52.37,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.5573,
18263784,8,00:00:08,2026-05-13T12:13:59,12:13:59,7,7,16,16,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
18263784,9,00:00:09,2026-05-13T12:14:00,12:14:00,3,3,16,16,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
18263784,10,00:00:10,2026-05-13T12:14:01,12:14:01,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
18263784,11,00:00:11,2026-05-13T12:14:02,12:14:02,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
18263784,12,00:00:12,2026-05-13T12:14:03,12:14:03,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
18263784,13,00:00:13,2026-05-13T12:14:04,12:14:04,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
