eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
1067190b,2444a2e4,detection,EDSA Sec Walk,1:02:02 AM,0.0,00:00:00,2,1,0,light occlusion,Light occlusion pedestrian ID #2 detected at frame 1
d14696a1,2444a2e4,detection,EDSA Sec Walk,1:02:02 AM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
e233d4c6,2444a2e4,detection,EDSA Sec Walk,1:02:02 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
0d3fa0f9,2444a2e4,detection,EDSA Sec Walk,1:02:02 AM,0.6,00:00:00,4,10,0,light occlusion,Light occlusion pedestrian ID #4 detected at frame 10
c61c0cfa,2444a2e4,detection,EDSA Sec Walk,1:02:06 AM,4.8,00:00:04,16,73,0,light occlusion,Light occlusion pedestrian ID #16 detected at frame 73
b6565d95,2444a2e4,detection,EDSA Sec Walk,1:02:07 AM,5.4,00:00:05,25,82,0,light occlusion,Light occlusion pedestrian ID #25 detected at frame 82
84c382a8,2444a2e4,detection,EDSA Sec Walk,1:02:07 AM,5.6,00:00:05,29,85,0,light occlusion,Light occlusion pedestrian ID #29 detected at frame 85
e4ec2329,2444a2e4,detection,EDSA Sec Walk,1:02:07 AM,5.73,00:00:05,35,87,0,light occlusion,Light occlusion pedestrian ID #35 detected at frame 87
96c0baf2,2444a2e4,detection,EDSA Sec Walk,1:02:09 AM,7.73,00:00:07,42,117,1,moderate occlusion,Moderate occlusion pedestrian ID #42 detected at frame 117
0a90fe35,2444a2e4,detection,EDSA Sec Walk,1:02:10 AM,8.4,00:00:08,48,127,0,light occlusion,Light occlusion pedestrian ID #48 detected at frame 127
64beb7f9,2444a2e4,detection,EDSA Sec Walk,1:02:14 AM,12.6,00:00:12,73,190,0,light occlusion,Light occlusion pedestrian ID #73 detected at frame 190
189f0705,2444a2e4,detection,EDSA Sec Walk,1:02:14 AM,12.8,00:00:12,74,193,2,heavy occlusion,Heavy occlusion pedestrian ID #74 detected at frame 193
99d1d1dd,2444a2e4,detection,EDSA Sec Walk,1:02:14 AM,12.87,00:00:12,76,194,2,heavy occlusion,Heavy occlusion pedestrian ID #76 detected at frame 194
cd8e3803,2444a2e4,detection,EDSA Sec Walk,1:02:14 AM,12.87,00:00:12,75,194,2,heavy occlusion,Heavy occlusion pedestrian ID #75 detected at frame 194
6c185b9a,2444a2e4,detection,EDSA Sec Walk,1:02:16 AM,14.6,00:00:14,84,220,0,light occlusion,Light occlusion pedestrian ID #84 detected at frame 220
08fe0b10,2444a2e4,detection,EDSA Sec Walk,1:02:17 AM,15.13,00:00:15,89,228,1,moderate occlusion,Moderate occlusion pedestrian ID #89 detected at frame 228
797b1775,2444a2e4,detection,EDSA Sec Walk,1:02:17 AM,15.73,00:00:15,100,237,1,moderate occlusion,Moderate occlusion pedestrian ID #100 detected at frame 237
fd58225d,2444a2e4,detection,EDSA Sec Walk,1:02:18 AM,16.07,00:00:16,104,242,2,heavy occlusion,Heavy occlusion pedestrian ID #104 detected at frame 242
ca986791,2444a2e4,detection,EDSA Sec Walk,1:02:18 AM,16.53,00:00:16,107,249,2,heavy occlusion,Heavy occlusion pedestrian ID #107 detected at frame 249
9a829f4d,2444a2e4,detection,EDSA Sec Walk,1:02:23 AM,21.07,00:00:21,112,317,2,heavy occlusion,Heavy occlusion pedestrian ID #112 detected at frame 317
3190658e,2444a2e4,detection,EDSA Sec Walk,1:02:24 AM,22.4,00:00:22,114,337,1,moderate occlusion,Moderate occlusion pedestrian ID #114 detected at frame 337
7d6eb772,2444a2e4,detection,EDSA Sec Walk,1:02:25 AM,23.33,00:00:23,119,351,0,light occlusion,Light occlusion pedestrian ID #119 detected at frame 351
e3387172,2444a2e4,detection,EDSA Sec Walk,1:02:30 AM,28.93,00:00:28,120,435,0,light occlusion,Light occlusion pedestrian ID #120 detected at frame 435
099c9a62,2444a2e4,detection,EDSA Sec Walk,1:02:32 AM,30.2,00:00:30,121,454,0,light occlusion,Light occlusion pedestrian ID #121 detected at frame 454
4d2e8a89,2444a2e4,detection,EDSA Sec Walk,1:02:35 AM,33.07,00:00:33,140,497,0,light occlusion,Light occlusion pedestrian ID #140 detected at frame 497
be0cc8f6,2444a2e4,detection,EDSA Sec Walk,1:02:40 AM,38.6,00:00:38,169,580,0,light occlusion,Light occlusion pedestrian ID #169 detected at frame 580
05a10753,2444a2e4,detection,EDSA Sec Walk,1:02:43 AM,41.13,00:00:41,170,618,0,light occlusion,Light occlusion pedestrian ID #170 detected at frame 618
90951b58,2444a2e4,detection,EDSA Sec Walk,1:02:53 AM,51.8,00:00:51,175,778,0,light occlusion,Light occlusion pedestrian ID #175 detected at frame 778
1d453a31,2444a2e4,detection,EDSA Sec Walk,1:03:01 AM,59.07,00:00:59,180,887,1,moderate occlusion,Moderate occlusion pedestrian ID #180 detected at frame 887
