videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
2444a2e4,0,00:00:00,2026-10-23T01:02:02,01:02:02,4,4,4,4,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
2444a2e4,1,00:00:01,2026-10-23T01:02:03,01:02:03,4,4,4,4,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
2444a2e4,2,00:00:02,2026-10-23T01:02:04,01:02:04,2,2,4,4,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,3,00:00:03,2026-10-23T01:02:05,01:02:05,2,2,4,4,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,4,00:00:04,2026-10-23T01:02:06,01:02:06,2,2,5,5,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,5,00:00:05,2026-10-23T01:02:07,01:02:07,5,5,8,8,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
2444a2e4,6,00:00:06,2026-10-23T01:02:08,01:02:08,5,5,8,8,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
2444a2e4,7,00:00:07,2026-10-23T01:02:09,01:02:09,4,4,8,8,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
2444a2e4,8,00:00:08,2026-10-23T01:02:10,01:02:10,5,5,9,9,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
2444a2e4,9,00:00:09,2026-10-23T01:02:11,01:02:11,5,5,9,9,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
2444a2e4,10,00:00:10,2026-10-23T01:02:12,01:02:12,3,3,9,9,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
2444a2e4,11,00:00:11,2026-10-23T01:02:13,01:02:13,2,2,9,9,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,12,00:00:12,2026-10-23T01:02:14,01:02:14,3,3,10,10,2,0,1,0.5556,26.1,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
2444a2e4,13,00:00:13,2026-10-23T01:02:15,01:02:15,3,3,11,11,2,0,1,0.5556,26.1,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
2444a2e4,14,00:00:14,2026-10-23T01:02:16,01:02:16,4,4,12,12,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
2444a2e4,15,00:00:15,2026-10-23T01:02:17,01:02:17,4,4,12,12,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
2444a2e4,16,00:00:16,2026-10-23T01:02:18,01:02:18,3,3,13,13,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
2444a2e4,17,00:00:17,2026-10-23T01:02:19,01:02:19,4,4,14,14,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
2444a2e4,18,00:00:18,2026-10-23T01:02:20,01:02:20,3,3,14,14,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
2444a2e4,19,00:00:19,2026-10-23T01:02:21,01:02:21,3,3,14,14,2,1,0,0.4444,24.43,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
2444a2e4,20,00:00:20,2026-10-23T01:02:22,01:02:22,2,2,14,14,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,21,00:00:21,2026-10-23T01:02:23,01:02:23,2,2,14,14,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,22,00:00:22,2026-10-23T01:02:24,01:02:24,3,3,15,15,1,2,0,0.5556,26.1,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
2444a2e4,23,00:00:23,2026-10-23T01:02:25,01:02:25,1,1,15,15,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,24,00:00:24,2026-10-23T01:02:26,01:02:26,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,25,00:00:25,2026-10-23T01:02:27,01:02:27,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,26,00:00:26,2026-10-23T01:02:28,01:02:28,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,27,00:00:27,2026-10-23T01:02:29,01:02:29,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,28,00:00:28,2026-10-23T01:02:30,01:02:30,3,3,17,17,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
2444a2e4,29,00:00:29,2026-10-23T01:02:31,01:02:31,1,1,17,17,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,30,00:00:30,2026-10-23T01:02:32,01:02:32,1,1,18,18,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,31,00:00:31,2026-10-23T01:02:33,01:02:33,1,1,18,18,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,32,00:00:32,2026-10-23T01:02:34,01:02:34,1,1,18,18,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,33,00:00:33,2026-10-23T01:02:35,01:02:35,2,2,19,19,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,34,00:00:34,2026-10-23T01:02:36,01:02:36,1,1,19,19,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,35,00:00:35,2026-10-23T01:02:37,01:02:37,1,1,19,19,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,36,00:00:36,2026-10-23T01:02:38,01:02:38,1,1,19,19,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,37,00:00:37,2026-10-23T01:02:39,01:02:39,1,1,19,19,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,38,00:00:38,2026-10-23T01:02:40,01:02:40,2,2,20,20,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,39,00:00:39,2026-10-23T01:02:41,01:02:41,2,2,20,20,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,40,00:00:40,2026-10-23T01:02:42,01:02:42,1,1,20,20,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
2444a2e4,41,00:00:41,2026-10-23T01:02:43,01:02:43,2,2,21,21,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,42,00:00:42,2026-10-23T01:02:44,01:02:44,2,2,21,21,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,43,00:00:43,2026-10-23T01:02:45,01:02:45,2,2,21,21,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
2444a2e4,44,00:00:44,2026-10-23T01:02:46,01:02:46,2,2,21,21,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
