videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
2444a2e4,2444a2e4:1,985cf7ae,1,0.0,3.93,0.0,2026-10-23T01:02:02,2026-10-23T01:02:05,1:02:02 AM,1:02:05 AM,1:02:02 AM,4,4,0,storage/videos/processed/2444a2e4/tracks/track-1.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:2,f8fbdb83,2,0.0,6.6,1.0,2026-10-23T01:02:02,2026-10-23T01:02:08,1:02:02 AM,1:02:08 AM,1:02:03 AM,7,7,0,storage/videos/processed/2444a2e4/tracks/track-2.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:3,830c89ba,3,0.0,1.4,1.0,2026-10-23T01:02:02,2026-10-23T01:02:03,1:02:02 AM,1:02:03 AM,1:02:03 AM,2,2,0,storage/videos/processed/2444a2e4/tracks/track-3.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:4,a435b2f2,4,0.6,1.6,1.53,2026-10-23T01:02:02,2026-10-23T01:02:03,1:02:02 AM,1:02:03 AM,1:02:03 AM,2,2,0,storage/videos/processed/2444a2e4/tracks/track-4.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:16,1a5e049b,16,4.8,15.8,4.8,2026-10-23T01:02:06,2026-10-23T01:02:17,1:02:06 AM,1:02:17 AM,1:02:06 AM,12,12,0,storage/videos/processed/2444a2e4/tracks/track-16.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:25,dedfddbc,25,5.4,9.93,5.4,2026-10-23T01:02:07,2026-10-23T01:02:11,1:02:07 AM,1:02:11 AM,1:02:07 AM,5,5,0,storage/videos/processed/2444a2e4/tracks/track-25.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:29,8cc1f76a,29,5.6,9.87,7.8,2026-10-23T01:02:07,2026-10-23T01:02:11,1:02:07 AM,1:02:11 AM,1:02:09 AM,5,5,0,storage/videos/processed/2444a2e4/tracks/track-29.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:35,8ab0625c,35,5.73,10.93,7.8,2026-10-23T01:02:07,2026-10-23T01:02:12,1:02:07 AM,1:02:12 AM,1:02:09 AM,6,6,0,storage/videos/processed/2444a2e4/tracks/track-35.jpg,,"Representative crop suggests head region appears purple, upper clothing appears purple, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:42,94c6191b,42,7.73,8.4,8.2,2026-10-23T01:02:09,2026-10-23T01:02:10,1:02:09 AM,1:02:10 AM,1:02:10 AM,2,0,1,storage/videos/processed/2444a2e4/tracks/track-42.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
2444a2e4,2444a2e4:48,df79b971,48,8.4,13.0,8.8,2026-10-23T01:02:10,2026-10-23T01:02:15,1:02:10 AM,1:02:15 AM,1:02:10 AM,5,5,2,storage/videos/processed/2444a2e4/tracks/track-48.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:73,d21fcd69,73,12.6,15.8,12.6,2026-10-23T01:02:14,2026-10-23T01:02:17,1:02:14 AM,1:02:17 AM,1:02:14 AM,4,4,0,storage/videos/processed/2444a2e4/tracks/track-73.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:74,85ba70db,74,12.8,13.33,13.33,2026-10-23T01:02:14,2026-10-23T01:02:15,1:02:14 AM,1:02:15 AM,1:02:15 AM,2,0,2,storage/videos/processed/2444a2e4/tracks/track-74.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows heavy occlusion."
2444a2e4,2444a2e4:75,8794eacd,75,12.87,28.67,14.13,2026-10-23T01:02:14,2026-10-23T01:02:30,1:02:14 AM,1:02:30 AM,1:02:16 AM,17,16,2,storage/videos/processed/2444a2e4/tracks/track-75.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows heavy occlusion."
2444a2e4,2444a2e4:76,8975acc6,76,12.87,12.93,12.93,2026-10-23T01:02:14,2026-10-23T01:02:14,1:02:14 AM,1:02:14 AM,1:02:14 AM,1,0,2,storage/videos/processed/2444a2e4/tracks/track-76.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
2444a2e4,2444a2e4:84,3a9b7c32,84,14.6,17.93,14.8,2026-10-23T01:02:16,2026-10-23T01:02:19,1:02:16 AM,1:02:19 AM,1:02:16 AM,4,4,0,storage/videos/processed/2444a2e4/tracks/track-84.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
2444a2e4,2444a2e4:89,239b4164,89,15.13,15.93,15.93,2026-10-23T01:02:17,2026-10-23T01:02:17,1:02:17 AM,1:02:17 AM,1:02:17 AM,1,0,1,storage/videos/processed/2444a2e4/tracks/track-89.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
2444a2e4,2444a2e4:100,8c146c00,100,15.73,21.07,16.2,2026-10-23T01:02:17,2026-10-23T01:02:23,1:02:17 AM,1:02:23 AM,1:02:18 AM,7,4,2,storage/videos/processed/2444a2e4/tracks/track-100.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
2444a2e4,2444a2e4:104,6b2e4d30,104,16.07,22.67,17.33,2026-10-23T01:02:18,2026-10-23T01:02:24,1:02:18 AM,1:02:24 AM,1:02:19 AM,7,6,2,storage/videos/processed/2444a2e4/tracks/track-104.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows heavy occlusion."
2444a2e4,2444a2e4:107,400819dc,107,16.53,16.6,16.6,2026-10-23T01:02:18,2026-10-23T01:02:18,1:02:18 AM,1:02:18 AM,1:02:18 AM,1,0,2,storage/videos/processed/2444a2e4/tracks/track-107.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows heavy occlusion."
2444a2e4,2444a2e4:112,eb58e09f,112,21.07,21.2,21.2,2026-10-23T01:02:23,2026-10-23T01:02:23,1:02:23 AM,1:02:23 AM,1:02:23 AM,1,0,2,storage/videos/processed/2444a2e4/tracks/track-112.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
