eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
7777b00c,3ca79f7d,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,2,1,0,light occlusion,Light occlusion pedestrian ID #2 detected at frame 1
a5d882f4,3ca79f7d,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,4,1,0,light occlusion,Light occlusion pedestrian ID #4 detected at frame 1
df658d94,3ca79f7d,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
ea436c0c,3ca79f7d,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
f2113fe8,3ca79f7d,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,5,1,0,light occlusion,Light occlusion pedestrian ID #5 detected at frame 1
435d31af,3ca79f7d,detection,EDSA Sec Walk,10:00:00 AM,0.53,00:00:00,6,17,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 17
655f56f8,3ca79f7d,detection,EDSA Sec Walk,10:00:01 AM,1.1,00:00:01,11,34,0,light occlusion,Light occlusion pedestrian ID #11 detected at frame 34
7f7c34aa,3ca79f7d,detection,EDSA Sec Walk,10:00:02 AM,2.33,00:00:02,18,71,0,light occlusion,Light occlusion pedestrian ID #18 detected at frame 71
58dde34b,3ca79f7d,detection,EDSA Sec Walk,10:00:03 AM,3.73,00:00:03,28,113,0,light occlusion,Light occlusion pedestrian ID #28 detected at frame 113
9f1b348a,3ca79f7d,detection,EDSA Sec Walk,10:00:04 AM,4.57,00:00:04,39,138,1,moderate occlusion,Moderate occlusion pedestrian ID #39 detected at frame 138
3cd4d2d8,3ca79f7d,detection,EDSA Sec Walk,10:00:04 AM,4.83,00:00:04,40,146,0,light occlusion,Light occlusion pedestrian ID #40 detected at frame 146
e61827d4,3ca79f7d,detection,EDSA Sec Walk,10:00:06 AM,6.13,00:00:06,46,185,0,light occlusion,Light occlusion pedestrian ID #46 detected at frame 185
a6f13d2e,3ca79f7d,detection,EDSA Sec Walk,10:00:06 AM,6.73,00:00:06,47,203,0,light occlusion,Light occlusion pedestrian ID #47 detected at frame 203
3517eeee,3ca79f7d,detection,EDSA Sec Walk,10:00:07 AM,7.13,00:00:07,48,215,0,light occlusion,Light occlusion pedestrian ID #48 detected at frame 215
0b2e23a4,3ca79f7d,detection,EDSA Sec Walk,10:00:07 AM,7.53,00:00:07,49,227,0,light occlusion,Light occlusion pedestrian ID #49 detected at frame 227
0b15f157,3ca79f7d,detection,EDSA Sec Walk,10:00:07 AM,7.93,00:00:07,59,239,0,light occlusion,Light occlusion pedestrian ID #59 detected at frame 239
0be6572f,3ca79f7d,detection,EDSA Sec Walk,10:00:08 AM,8.7,00:00:08,65,262,0,light occlusion,Light occlusion pedestrian ID #65 detected at frame 262
60988d00,3ca79f7d,detection,EDSA Sec Walk,10:00:08 AM,8.93,00:00:08,69,269,0,light occlusion,Light occlusion pedestrian ID #69 detected at frame 269
d1fec2e9,3ca79f7d,detection,EDSA Sec Walk,10:00:15 AM,15.03,00:00:15,94,452,0,light occlusion,Light occlusion pedestrian ID #94 detected at frame 452
50523524,3ca79f7d,detection,EDSA Sec Walk,10:00:15 AM,15.13,00:00:15,98,455,0,light occlusion,Light occlusion pedestrian ID #98 detected at frame 455
cb131339,3ca79f7d,detection,EDSA Sec Walk,10:00:16 AM,16.13,00:00:16,99,485,0,light occlusion,Light occlusion pedestrian ID #99 detected at frame 485
6ee4f994,3ca79f7d,detection,EDSA Sec Walk,10:00:17 AM,17.73,00:00:17,131,533,0,light occlusion,Light occlusion pedestrian ID #131 detected at frame 533
79dc4f2e,3ca79f7d,detection,EDSA Sec Walk,10:00:18 AM,18.03,00:00:18,133,542,0,light occlusion,Light occlusion pedestrian ID #133 detected at frame 542
e75e115f,3ca79f7d,detection,EDSA Sec Walk,10:00:19 AM,19.47,00:00:19,155,585,0,light occlusion,Light occlusion pedestrian ID #155 detected at frame 585
dc7f7d3c,3ca79f7d,detection,EDSA Sec Walk,10:00:22 AM,22.33,00:00:22,156,671,1,moderate occlusion,Moderate occlusion pedestrian ID #156 detected at frame 671
b8070b6b,3ca79f7d,detection,EDSA Sec Walk,10:00:23 AM,23.93,00:00:23,168,719,0,light occlusion,Light occlusion pedestrian ID #168 detected at frame 719
f9f25234,3ca79f7d,detection,EDSA Sec Walk,10:00:23 AM,23.93,00:00:23,167,719,0,light occlusion,Light occlusion pedestrian ID #167 detected at frame 719
1a0fc945,3ca79f7d,detection,EDSA Sec Walk,10:00:25 AM,25.83,00:00:25,171,776,1,moderate occlusion,Moderate occlusion pedestrian ID #171 detected at frame 776
ad0e3d72,3ca79f7d,detection,EDSA Sec Walk,10:00:26 AM,26.73,00:00:26,173,803,1,moderate occlusion,Moderate occlusion pedestrian ID #173 detected at frame 803
7d8faf88,3ca79f7d,detection,EDSA Sec Walk,10:00:27 AM,27.17,00:00:27,175,816,0,light occlusion,Light occlusion pedestrian ID #175 detected at frame 816
fd8c4613,3ca79f7d,detection,EDSA Sec Walk,10:00:27 AM,27.37,00:00:27,176,822,1,moderate occlusion,Moderate occlusion pedestrian ID #176 detected at frame 822
351f00e5,3ca79f7d,detection,EDSA Sec Walk,10:00:27 AM,27.53,00:00:27,177,827,1,moderate occlusion,Moderate occlusion pedestrian ID #177 detected at frame 827
7492740f,3ca79f7d,detection,EDSA Sec Walk,10:00:29 AM,29.17,00:00:29,179,876,1,moderate occlusion,Moderate occlusion pedestrian ID #179 detected at frame 876
cf9fbf8a,3ca79f7d,detection,EDSA Sec Walk,10:00:32 AM,32.57,00:00:32,180,978,1,moderate occlusion,Moderate occlusion pedestrian ID #180 detected at frame 978
c32dfe9f,3ca79f7d,detection,EDSA Sec Walk,10:00:32 AM,32.97,00:00:32,184,990,0,light occlusion,Light occlusion pedestrian ID #184 detected at frame 990
38737336,3ca79f7d,detection,EDSA Sec Walk,10:00:33 AM,33.03,00:00:33,185,992,1,moderate occlusion,Moderate occlusion pedestrian ID #185 detected at frame 992
8f648da7,3ca79f7d,detection,EDSA Sec Walk,10:00:33 AM,33.27,00:00:33,187,999,0,light occlusion,Light occlusion pedestrian ID #187 detected at frame 999
b6ec34a9,3ca79f7d,detection,EDSA Sec Walk,10:00:33 AM,33.37,00:00:33,189,1002,1,moderate occlusion,Moderate occlusion pedestrian ID #189 detected at frame 1002
bc136fce,3ca79f7d,detection,EDSA Sec Walk,10:00:33 AM,33.37,00:00:33,190,1002,2,heavy occlusion,Heavy occlusion pedestrian ID #190 detected at frame 1002
13bd3556,3ca79f7d,detection,EDSA Sec Walk,10:00:36 AM,36.03,00:00:36,191,1082,0,light occlusion,Light occlusion pedestrian ID #191 detected at frame 1082
1ec42d2b,3ca79f7d,detection,EDSA Sec Walk,10:00:36 AM,36.33,00:00:36,192,1091,0,light occlusion,Light occlusion pedestrian ID #192 detected at frame 1091
53aee135,3ca79f7d,detection,EDSA Sec Walk,10:00:36 AM,36.37,00:00:36,194,1092,0,light occlusion,Light occlusion pedestrian ID #194 detected at frame 1092
5b882b02,3ca79f7d,detection,EDSA Sec Walk,10:00:37 AM,37.13,00:00:37,198,1115,0,light occlusion,Light occlusion pedestrian ID #198 detected at frame 1115
d165a263,3ca79f7d,detection,EDSA Sec Walk,10:00:37 AM,37.23,00:00:37,201,1118,0,light occlusion,Light occlusion pedestrian ID #201 detected at frame 1118
a99af71f,3ca79f7d,detection,EDSA Sec Walk,10:00:37 AM,37.53,00:00:37,208,1127,0,light occlusion,Light occlusion pedestrian ID #208 detected at frame 1127
de8d727f,3ca79f7d,detection,EDSA Sec Walk,10:00:45 AM,45.93,00:00:45,214,1379,0,light occlusion,Light occlusion pedestrian ID #214 detected at frame 1379
08f66df3,3ca79f7d,detection,EDSA Sec Walk,10:00:49 AM,49.23,00:00:49,218,1478,1,moderate occlusion,Moderate occlusion pedestrian ID #218 detected at frame 1478
2e756340,3ca79f7d,detection,EDSA Sec Walk,10:00:49 AM,49.53,00:00:49,219,1487,1,moderate occlusion,Moderate occlusion pedestrian ID #219 detected at frame 1487
286b2628,3ca79f7d,detection,EDSA Sec Walk,10:00:49 AM,49.83,00:00:49,222,1496,0,light occlusion,Light occlusion pedestrian ID #222 detected at frame 1496
de290320,3ca79f7d,detection,EDSA Sec Walk,10:00:52 AM,52.77,00:00:52,227,1584,0,light occlusion,Light occlusion pedestrian ID #227 detected at frame 1584
