eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
7ba20a42,4003efd0,detection,EDSA Sec Walk,10:10:10 AM,0.0,00:00:00,4,1,0,light occlusion,Light occlusion pedestrian ID #4 detected at frame 1
8231f2d9,4003efd0,detection,EDSA Sec Walk,10:10:10 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
c41fa398,4003efd0,detection,EDSA Sec Walk,10:10:10 AM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
c805f36f,4003efd0,detection,EDSA Sec Walk,10:10:10 AM,0.0,00:00:00,2,1,0,light occlusion,Light occlusion pedestrian ID #2 detected at frame 1
0cc5ec5e,4003efd0,detection,EDSA Sec Walk,10:10:10 AM,0.2,00:00:00,6,4,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 4
49cbcf53,4003efd0,detection,EDSA Sec Walk,10:10:10 AM,0.47,00:00:00,7,8,0,light occlusion,Light occlusion pedestrian ID #7 detected at frame 8
49011645,4003efd0,detection,EDSA Sec Walk,10:10:15 AM,5.53,00:00:05,21,84,0,light occlusion,Light occlusion pedestrian ID #21 detected at frame 84
307b6fa9,4003efd0,detection,EDSA Sec Walk,10:10:16 AM,6.33,00:00:06,24,96,0,light occlusion,Light occlusion pedestrian ID #24 detected at frame 96
cd734db8,4003efd0,detection,EDSA Sec Walk,10:10:17 AM,7.6,00:00:07,26,115,1,moderate occlusion,Moderate occlusion pedestrian ID #26 detected at frame 115
c3a4897c,4003efd0,detection,EDSA Sec Walk,10:10:19 AM,9.13,00:00:09,34,138,0,light occlusion,Light occlusion pedestrian ID #34 detected at frame 138
2c49989f,4003efd0,detection,EDSA Sec Walk,10:10:19 AM,9.6,00:00:09,38,145,0,light occlusion,Light occlusion pedestrian ID #38 detected at frame 145
44f967cf,4003efd0,detection,EDSA Sec Walk,10:10:19 AM,9.6,00:00:09,39,145,0,light occlusion,Light occlusion pedestrian ID #39 detected at frame 145
924e3892,4003efd0,detection,EDSA Sec Walk,10:10:20 AM,10.8,00:00:10,64,163,0,light occlusion,Light occlusion pedestrian ID #64 detected at frame 163
36377729,4003efd0,detection,EDSA Sec Walk,10:10:22 AM,12.87,00:00:12,75,194,2,heavy occlusion,Heavy occlusion pedestrian ID #75 detected at frame 194
9b4ace30,4003efd0,detection,EDSA Sec Walk,10:10:22 AM,12.87,00:00:12,76,194,2,heavy occlusion,Heavy occlusion pedestrian ID #76 detected at frame 194
0b929de9,4003efd0,detection,EDSA Sec Walk,10:10:23 AM,13.33,00:00:13,85,201,0,light occlusion,Light occlusion pedestrian ID #85 detected at frame 201
d5b07688,4003efd0,detection,EDSA Sec Walk,10:10:25 AM,15.07,00:00:15,89,227,1,moderate occlusion,Moderate occlusion pedestrian ID #89 detected at frame 227
b957472f,4003efd0,detection,EDSA Sec Walk,10:10:26 AM,16.13,00:00:16,96,243,1,moderate occlusion,Moderate occlusion pedestrian ID #96 detected at frame 243
0ce2ee32,4003efd0,detection,EDSA Sec Walk,10:10:26 AM,16.33,00:00:16,97,246,1,moderate occlusion,Moderate occlusion pedestrian ID #97 detected at frame 246
fbcd1ad5,4003efd0,detection,EDSA Sec Walk,10:10:29 AM,19.4,00:00:19,106,292,1,moderate occlusion,Moderate occlusion pedestrian ID #106 detected at frame 292
8c7276a1,4003efd0,detection,EDSA Sec Walk,10:10:39 AM,29.07,00:00:29,131,437,0,light occlusion,Light occlusion pedestrian ID #131 detected at frame 437
c58d504a,4003efd0,detection,EDSA Sec Walk,10:10:39 AM,29.07,00:00:29,132,437,0,light occlusion,Light occlusion pedestrian ID #132 detected at frame 437
e5765b95,4003efd0,detection,EDSA Sec Walk,10:10:40 AM,30.33,00:00:30,152,456,0,light occlusion,Light occlusion pedestrian ID #152 detected at frame 456
da64c620,4003efd0,detection,EDSA Sec Walk,10:10:41 AM,31.2,00:00:31,159,469,0,light occlusion,Light occlusion pedestrian ID #159 detected at frame 469
39e57800,4003efd0,detection,EDSA Sec Walk,10:10:44 AM,34.87,00:00:34,174,524,0,light occlusion,Light occlusion pedestrian ID #174 detected at frame 524
80209cca,4003efd0,detection,EDSA Sec Walk,10:10:49 AM,39.93,00:00:39,183,600,0,light occlusion,Light occlusion pedestrian ID #183 detected at frame 600
871d14ea,4003efd0,detection,EDSA Sec Walk,10:10:56 AM,46.6,00:00:46,188,700,0,light occlusion,Light occlusion pedestrian ID #188 detected at frame 700
418da90a,4003efd0,detection,EDSA Sec Walk,10:11:01 AM,51.6,00:00:51,189,775,2,heavy occlusion,Heavy occlusion pedestrian ID #189 detected at frame 775
ecc278a5,4003efd0,detection,EDSA Sec Walk,10:11:05 AM,55.47,00:00:55,196,833,0,light occlusion,Light occlusion pedestrian ID #196 detected at frame 833
b5bb1f97,4003efd0,detection,EDSA Sec Walk,10:11:08 AM,58.8,00:00:58,199,883,0,light occlusion,Light occlusion pedestrian ID #199 detected at frame 883
551ce3ac,4003efd0,detection,EDSA Sec Walk,10:11:09 AM,59.87,00:00:59,200,899,1,moderate occlusion,Moderate occlusion pedestrian ID #200 detected at frame 899
b9118fee,4003efd0,detection,EDSA Sec Walk,10:11:10 AM,60.13,00:01:00,204,903,0,light occlusion,Light occlusion pedestrian ID #204 detected at frame 903
