startOffsetSeconds,endOffsetSeconds,severity,score
0.0,12.0,moderate,39.35
12.0,18.0,light,32.24
18.0,21.0,moderate,40.67
21.0,96.0,light,30.69
96.0,102.0,moderate,36.21
102.0,120.0,light,28.69
120.0,123.0,moderate,37.64
123.0,126.0,light,28.69
126.0,144.0,moderate,53.37
144.0,159.0,light,28.69
159.0,168.0,moderate,35.03
168.0,177.0,light,27.5
177.0,192.0,moderate,44.08
192.0,195.0,light,22.76
195.0,210.0,moderate,60.96
210.0,213.0,light,27.5
213.0,255.0,moderate,65.8
255.0,300.0,light,28.69
