videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
4003efd0,0,00:00:00,2026-04-01T10:10:10,10:10:10,6,6,6,6,6,0,0,0.3333,40.53,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
4003efd0,1,00:00:01,2026-04-01T10:10:11,10:10:11,4,4,6,6,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
4003efd0,2,00:00:02,2026-04-01T10:10:12,10:10:12,4,4,6,6,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
4003efd0,3,00:00:03,2026-04-01T10:10:13,10:10:13,4,4,6,6,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
4003efd0,4,00:00:04,2026-04-01T10:10:14,10:10:14,4,4,6,6,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
4003efd0,5,00:00:05,2026-04-01T10:10:15,10:10:15,5,5,7,7,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
4003efd0,6,00:00:06,2026-04-01T10:10:16,10:10:16,5,5,8,8,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
4003efd0,7,00:00:07,2026-04-01T10:10:17,10:10:17,4,4,8,8,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
4003efd0,8,00:00:08,2026-04-01T10:10:18,10:10:18,5,5,9,9,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
4003efd0,9,00:00:09,2026-04-01T10:10:19,10:10:19,5,5,11,11,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
4003efd0,10,00:00:10,2026-04-01T10:10:20,10:10:20,6,6,13,13,6,0,0,0.3333,40.53,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
4003efd0,11,00:00:11,2026-04-01T10:10:21,10:10:21,4,4,13,13,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
4003efd0,12,00:00:12,2026-04-01T10:10:22,10:10:22,4,4,13,13,3,0,1,0.5,31.19,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
4003efd0,13,00:00:13,2026-04-01T10:10:23,10:10:23,3,3,14,14,2,1,0,0.4444,24.43,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,14,00:00:14,2026-04-01T10:10:24,10:10:24,3,3,15,15,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,15,00:00:15,2026-04-01T10:10:25,10:10:25,3,3,15,15,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,16,00:00:16,2026-04-01T10:10:26,10:10:26,3,3,16,16,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,17,00:00:17,2026-04-01T10:10:27,10:10:27,5,5,17,17,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
4003efd0,18,00:00:18,2026-04-01T10:10:28,10:10:28,5,5,17,17,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
4003efd0,19,00:00:19,2026-04-01T10:10:29,10:10:29,6,6,18,18,4,2,0,0.4444,42.19,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
4003efd0,20,00:00:20,2026-04-01T10:10:30,10:10:30,4,4,18,18,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
4003efd0,21,00:00:21,2026-04-01T10:10:31,10:10:31,4,4,18,18,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
4003efd0,22,00:00:22,2026-04-01T10:10:32,10:10:32,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,23,00:00:23,2026-04-01T10:10:33,10:10:33,3,3,18,18,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,24,00:00:24,2026-04-01T10:10:34,10:10:34,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,25,00:00:25,2026-04-01T10:10:35,10:10:35,3,3,18,18,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,26,00:00:26,2026-04-01T10:10:36,10:10:36,3,3,18,18,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,27,00:00:27,2026-04-01T10:10:37,10:10:37,3,3,18,18,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,28,00:00:28,2026-04-01T10:10:38,10:10:38,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,29,00:00:29,2026-04-01T10:10:39,10:10:39,3,3,19,19,2,1,0,0.4444,24.43,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,30,00:00:30,2026-04-01T10:10:40,10:10:40,3,3,20,20,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
4003efd0,31,00:00:31,2026-04-01T10:10:41,10:10:41,2,2,21,21,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,32,00:00:32,2026-04-01T10:10:42,10:10:42,2,2,21,21,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,33,00:00:33,2026-04-01T10:10:43,10:10:43,1,1,21,21,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,34,00:00:34,2026-04-01T10:10:44,10:10:44,2,2,22,22,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,35,00:00:35,2026-04-01T10:10:45,10:10:45,2,2,22,22,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,36,00:00:36,2026-04-01T10:10:46,10:10:46,2,2,22,22,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,37,00:00:37,2026-04-01T10:10:47,10:10:47,2,2,22,22,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,38,00:00:38,2026-04-01T10:10:48,10:10:48,1,1,22,22,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,39,00:00:39,2026-04-01T10:10:49,10:10:49,2,2,23,23,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,40,00:00:40,2026-04-01T10:10:50,10:10:50,1,1,23,23,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,41,00:00:41,2026-04-01T10:10:51,10:10:51,1,1,23,23,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,42,00:00:42,2026-04-01T10:10:52,10:10:52,1,1,23,23,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,43,00:00:43,2026-04-01T10:10:53,10:10:53,1,1,23,23,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,44,00:00:44,2026-04-01T10:10:54,10:10:54,1,1,23,23,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,45,00:00:45,2026-04-01T10:10:55,10:10:55,1,1,23,23,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,46,00:00:46,2026-04-01T10:10:56,10:10:56,2,2,24,24,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,47,00:00:47,2026-04-01T10:10:57,10:10:57,1,1,24,24,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,48,00:00:48,2026-04-01T10:10:58,10:10:58,1,1,24,24,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,49,00:00:49,2026-04-01T10:10:59,10:10:59,1,1,24,24,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,50,00:00:50,2026-04-01T10:11:00,10:11:00,1,1,24,24,1,0,0,0.3333,10.92,A,"very high pedestrian space, free movement",light,roi-testing,,0.357748,14.355,0.0697,
4003efd0,51,00:00:51,2026-04-01T10:11:01,10:11:01,2,2,25,25,1,0,1,0.6667,21.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,52,00:00:52,2026-04-01T10:11:02,10:11:02,2,2,25,25,1,1,0,0.5,19.34,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,53,00:00:53,2026-04-01T10:11:03,10:11:03,2,2,25,25,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,54,00:00:54,2026-04-01T10:11:04,10:11:04,2,2,25,25,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
4003efd0,55,00:00:55,2026-04-01T10:11:05,10:11:05,3,3,26,26,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
