videoId,trackKey,trackId,pedestrianId,offsetSeconds,videoTime,observedAt,clockTime,xNorm,yNorm,occlusionClass,occlusionLabel,insideROI
4003efd0,4003efd0:1,11bb620a,1,0,00:00:00,2026-04-01T10:10:10,10:10:10,0.233854,0.151852,0,light occlusion,true
4003efd0,4003efd0:1,11bb620a,1,1,00:00:01,2026-04-01T10:10:11,10:10:11,0.232813,0.146296,0,light occlusion,true
4003efd0,4003efd0:1,11bb620a,1,2,00:00:02,2026-04-01T10:10:12,10:10:12,0.23099,0.14537,0,light occlusion,true
4003efd0,4003efd0:1,11bb620a,1,3,00:00:03,2026-04-01T10:10:13,10:10:13,0.229167,0.148148,0,light occlusion,true
4003efd0,4003efd0:1,11bb620a,1,4,00:00:04,2026-04-01T10:10:14,10:10:14,0.229948,0.143519,0,light occlusion,true
4003efd0,4003efd0:1,11bb620a,1,5,00:00:05,2026-04-01T10:10:15,10:10:15,0.232552,0.138889,0,light occlusion,true
4003efd0,4003efd0:1,11bb620a,1,6,00:00:06,2026-04-01T10:10:16,10:10:16,0.234896,0.132407,0,light occlusion,true
4003efd0,4003efd0:1,11bb620a,1,7,00:00:07,2026-04-01T10:10:17,10:10:17,0.233594,0.136111,0,light occlusion,true
4003efd0,4003efd0:1,11bb620a,1,8,00:00:08,2026-04-01T10:10:18,10:10:18,0.234635,0.131481,0,light occlusion,true
4003efd0,4003efd0:2,abb79baa,2,0,00:00:00,2026-04-01T10:10:10,10:10:10,0.240625,0.15,0,light occlusion,true
4003efd0,4003efd0:2,abb79baa,2,1,00:00:01,2026-04-01T10:10:11,10:10:11,0.239323,0.15,0,light occlusion,true
4003efd0,4003efd0:2,abb79baa,2,2,00:00:02,2026-04-01T10:10:12,10:10:12,0.240365,0.141667,0,light occlusion,true
4003efd0,4003efd0:2,abb79baa,2,3,00:00:03,2026-04-01T10:10:13,10:10:13,0.240365,0.139815,0,light occlusion,true
4003efd0,4003efd0:2,abb79baa,2,4,00:00:04,2026-04-01T10:10:14,10:10:14,0.242188,0.140741,0,light occlusion,true
4003efd0,4003efd0:2,abb79baa,2,5,00:00:05,2026-04-01T10:10:15,10:10:15,0.247396,0.137963,0,light occlusion,true
4003efd0,4003efd0:2,abb79baa,2,6,00:00:06,2026-04-01T10:10:16,10:10:16,0.245833,0.134259,0,light occlusion,true
4003efd0,4003efd0:3,2d0b8d41,3,0,00:00:00,2026-04-01T10:10:10,10:10:10,0.255469,0.147222,0,light occlusion,true
4003efd0,4003efd0:3,2d0b8d41,3,1,00:00:01,2026-04-01T10:10:11,10:10:11,0.253385,0.15,0,light occlusion,true
4003efd0,4003efd0:3,2d0b8d41,3,2,00:00:02,2026-04-01T10:10:12,10:10:12,0.252865,0.147222,0,light occlusion,true
4003efd0,4003efd0:3,2d0b8d41,3,3,00:00:03,2026-04-01T10:10:13,10:10:13,0.252865,0.139815,0,light occlusion,true
4003efd0,4003efd0:3,2d0b8d41,3,4,00:00:04,2026-04-01T10:10:14,10:10:14,0.252604,0.139815,0,light occlusion,true
4003efd0,4003efd0:3,2d0b8d41,3,5,00:00:05,2026-04-01T10:10:15,10:10:15,0.252865,0.138889,0,light occlusion,true
4003efd0,4003efd0:4,f7d9d606,4,0,00:00:00,2026-04-01T10:10:10,10:10:10,0.258594,0.146296,0,light occlusion,true
4003efd0,4003efd0:4,f7d9d606,4,1,00:00:01,2026-04-01T10:10:11,10:10:11,0.259896,0.144444,0,light occlusion,false
4003efd0,4003efd0:6,25e9db77,6,0,00:00:00,2026-04-01T10:10:10,10:10:10,0.241146,0.14537,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,0,00:00:00,2026-04-01T10:10:10,10:10:10,0.236979,0.150926,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,1,00:00:01,2026-04-01T10:10:11,10:10:11,0.236979,0.149074,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,2,00:00:02,2026-04-01T10:10:12,10:10:12,0.2375,0.147222,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,3,00:00:03,2026-04-01T10:10:13,10:10:13,0.2375,0.144444,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,4,00:00:04,2026-04-01T10:10:14,10:10:14,0.236979,0.142593,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,5,00:00:05,2026-04-01T10:10:15,10:10:15,0.235417,0.140741,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,6,00:00:06,2026-04-01T10:10:16,10:10:16,0.235937,0.136111,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,7,00:00:07,2026-04-01T10:10:17,10:10:17,0.236719,0.138889,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,8,00:00:08,2026-04-01T10:10:18,10:10:18,0.239323,0.133333,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,9,00:00:09,2026-04-01T10:10:19,10:10:19,0.239323,0.12963,0,light occlusion,true
4003efd0,4003efd0:7,a59e9747,7,10,00:00:10,2026-04-01T10:10:20,10:10:20,0.238542,0.12963,0,light occlusion,true
4003efd0,4003efd0:21,ce396b3d,21,5,00:00:05,2026-04-01T10:10:15,10:10:15,0.217969,0.134259,0,light occlusion,true
4003efd0,4003efd0:21,ce396b3d,21,6,00:00:06,2026-04-01T10:10:16,10:10:16,0.21901,0.134259,0,light occlusion,true
4003efd0,4003efd0:21,ce396b3d,21,7,00:00:07,2026-04-01T10:10:17,10:10:17,0.217448,0.135185,0,light occlusion,true
4003efd0,4003efd0:21,ce396b3d,21,8,00:00:08,2026-04-01T10:10:18,10:10:18,0.219531,0.12963,0,light occlusion,true
4003efd0,4003efd0:21,ce396b3d,21,9,00:00:09,2026-04-01T10:10:19,10:10:19,0.220833,0.125,0,light occlusion,true
4003efd0,4003efd0:24,0e107a74,24,6,00:00:06,2026-04-01T10:10:16,10:10:16,0.24349,0.136111,0,light occlusion,true
4003efd0,4003efd0:24,0e107a74,24,7,00:00:07,2026-04-01T10:10:17,10:10:17,0.241667,0.136111,0,light occlusion,true
4003efd0,4003efd0:24,0e107a74,24,8,00:00:08,2026-04-01T10:10:18,10:10:18,0.240625,0.131481,0,light occlusion,true
4003efd0,4003efd0:26,d43fd673,26,7,00:00:07,2026-04-01T10:10:17,10:10:17,0.857552,1.0,1,moderate occlusion,false
4003efd0,4003efd0:26,d43fd673,26,8,00:00:08,2026-04-01T10:10:18,10:10:18,0.666927,0.896296,0,light occlusion,true
4003efd0,4003efd0:26,d43fd673,26,9,00:00:09,2026-04-01T10:10:19,10:10:19,0.558594,0.676852,0,light occlusion,true
4003efd0,4003efd0:26,d43fd673,26,10,00:00:10,2026-04-01T10:10:20,10:10:20,0.504167,0.55463,0,light occlusion,true
4003efd0,4003efd0:26,d43fd673,26,11,00:00:11,2026-04-01T10:10:21,10:10:21,0.498698,0.460185,0,light occlusion,true
4003efd0,4003efd0:26,d43fd673,26,12,00:00:12,2026-04-01T10:10:22,10:10:22,0.547135,0.414815,2,heavy occlusion,true
4003efd0,4003efd0:26,d43fd673,26,13,00:00:13,2026-04-01T10:10:23,10:10:23,0.549479,0.422222,1,moderate occlusion,true
4003efd0,4003efd0:34,31ab548e,34,9,00:00:09,2026-04-01T10:10:19,10:10:19,0.253646,0.133333,0,light occlusion,false
4003efd0,4003efd0:34,31ab548e,34,10,00:00:10,2026-04-01T10:10:20,10:10:20,0.253646,0.132407,0,light occlusion,true
4003efd0,4003efd0:38,9b030ad8,38,9,00:00:09,2026-04-01T10:10:19,10:10:19,0.241146,0.130556,0,light occlusion,true
4003efd0,4003efd0:38,9b030ad8,38,10,00:00:10,2026-04-01T10:10:20,10:10:20,0.241667,0.127778,0,light occlusion,true
4003efd0,4003efd0:38,9b030ad8,38,11,00:00:11,2026-04-01T10:10:21,10:10:21,0.241406,0.126852,0,light occlusion,true
4003efd0,4003efd0:38,9b030ad8,38,12,00:00:12,2026-04-01T10:10:22,10:10:22,0.241406,0.126852,0,light occlusion,true
4003efd0,4003efd0:39,2d1aa857,39,9,00:00:09,2026-04-01T10:10:19,10:10:19,0.242708,0.130556,0,light occlusion,true
4003efd0,4003efd0:39,2d1aa857,39,10,00:00:10,2026-04-01T10:10:20,10:10:20,0.24349,0.127778,0,light occlusion,true
4003efd0,4003efd0:39,2d1aa857,39,11,00:00:11,2026-04-01T10:10:21,10:10:21,0.242969,0.125926,0,light occlusion,true
4003efd0,4003efd0:39,2d1aa857,39,12,00:00:12,2026-04-01T10:10:22,10:10:22,0.243229,0.125926,0,light occlusion,true
4003efd0,4003efd0:39,2d1aa857,39,13,00:00:13,2026-04-01T10:10:23,10:10:23,0.244271,0.125926,0,light occlusion,false
4003efd0,4003efd0:39,2d1aa857,39,14,00:00:14,2026-04-01T10:10:24,10:10:24,0.24401,0.125,0,light occlusion,false
4003efd0,4003efd0:64,4344ee9f,64,10,00:00:10,2026-04-01T10:10:20,10:10:20,0.228906,0.122222,0,light occlusion,true
4003efd0,4003efd0:64,4344ee9f,64,11,00:00:11,2026-04-01T10:10:21,10:10:21,0.228906,0.125,0,light occlusion,true
4003efd0,4003efd0:64,4344ee9f,64,12,00:00:12,2026-04-01T10:10:22,10:10:22,0.229427,0.119444,0,light occlusion,true
4003efd0,4003efd0:64,4344ee9f,64,13,00:00:13,2026-04-01T10:10:23,10:10:23,0.230469,0.121296,0,light occlusion,true
4003efd0,4003efd0:64,4344ee9f,64,14,00:00:14,2026-04-01T10:10:24,10:10:24,0.232552,0.119444,0,light occlusion,true
4003efd0,4003efd0:64,4344ee9f,64,15,00:00:15,2026-04-01T10:10:25,10:10:25,0.230729,0.117593,0,light occlusion,true
