eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
1324beac,66d947df,detection,EDSA Sec Walk,10:10:00 AM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
16d29d91,66d947df,detection,EDSA Sec Walk,10:10:00 AM,0.0,00:00:00,4,1,0,light occlusion,Light occlusion pedestrian ID #4 detected at frame 1
cd11b4d6,66d947df,detection,EDSA Sec Walk,10:10:00 AM,0.0,00:00:00,2,1,0,light occlusion,Light occlusion pedestrian ID #2 detected at frame 1
dac5a980,66d947df,detection,EDSA Sec Walk,10:10:00 AM,0.0,00:00:00,5,1,0,light occlusion,Light occlusion pedestrian ID #5 detected at frame 1
fa689c1c,66d947df,detection,EDSA Sec Walk,10:10:00 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
a48261e3,66d947df,detection,EDSA Sec Walk,10:10:00 AM,0.53,00:00:00,6,17,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 17
60fab820,66d947df,detection,EDSA Sec Walk,10:10:01 AM,1.1,00:00:01,11,34,0,light occlusion,Light occlusion pedestrian ID #11 detected at frame 34
87256ddc,66d947df,detection,EDSA Sec Walk,10:10:02 AM,2.33,00:00:02,18,71,0,light occlusion,Light occlusion pedestrian ID #18 detected at frame 71
5dd4fdb6,66d947df,detection,EDSA Sec Walk,10:10:03 AM,3.73,00:00:03,28,113,0,light occlusion,Light occlusion pedestrian ID #28 detected at frame 113
4eb225bd,66d947df,detection,EDSA Sec Walk,10:10:04 AM,4.57,00:00:04,39,138,1,moderate occlusion,Moderate occlusion pedestrian ID #39 detected at frame 138
10065af8,66d947df,detection,EDSA Sec Walk,10:10:04 AM,4.83,00:00:04,40,146,0,light occlusion,Light occlusion pedestrian ID #40 detected at frame 146
3718cf23,66d947df,detection,EDSA Sec Walk,10:10:06 AM,6.13,00:00:06,46,185,0,light occlusion,Light occlusion pedestrian ID #46 detected at frame 185
e2112382,66d947df,detection,EDSA Sec Walk,10:10:06 AM,6.73,00:00:06,47,203,0,light occlusion,Light occlusion pedestrian ID #47 detected at frame 203
d572e0ec,66d947df,detection,EDSA Sec Walk,10:10:07 AM,7.13,00:00:07,48,215,0,light occlusion,Light occlusion pedestrian ID #48 detected at frame 215
9264a2c1,66d947df,detection,EDSA Sec Walk,10:10:07 AM,7.53,00:00:07,49,227,0,light occlusion,Light occlusion pedestrian ID #49 detected at frame 227
b0f146a9,66d947df,detection,EDSA Sec Walk,10:10:07 AM,7.93,00:00:07,59,239,0,light occlusion,Light occlusion pedestrian ID #59 detected at frame 239
e5061624,66d947df,detection,EDSA Sec Walk,10:10:08 AM,8.7,00:00:08,65,262,0,light occlusion,Light occlusion pedestrian ID #65 detected at frame 262
2b6c79bb,66d947df,detection,EDSA Sec Walk,10:10:08 AM,8.93,00:00:08,69,269,0,light occlusion,Light occlusion pedestrian ID #69 detected at frame 269
160f920f,66d947df,detection,EDSA Sec Walk,10:10:15 AM,15.03,00:00:15,94,452,0,light occlusion,Light occlusion pedestrian ID #94 detected at frame 452
3e4895ba,66d947df,detection,EDSA Sec Walk,10:10:15 AM,15.13,00:00:15,98,455,0,light occlusion,Light occlusion pedestrian ID #98 detected at frame 455
9f4bd30b,66d947df,detection,EDSA Sec Walk,10:10:16 AM,16.13,00:00:16,99,485,0,light occlusion,Light occlusion pedestrian ID #99 detected at frame 485
835d0bd1,66d947df,detection,EDSA Sec Walk,10:10:17 AM,17.73,00:00:17,131,533,0,light occlusion,Light occlusion pedestrian ID #131 detected at frame 533
1e6fe61e,66d947df,detection,EDSA Sec Walk,10:10:18 AM,18.03,00:00:18,133,542,0,light occlusion,Light occlusion pedestrian ID #133 detected at frame 542
09cbc74c,66d947df,detection,EDSA Sec Walk,10:10:19 AM,19.47,00:00:19,155,585,0,light occlusion,Light occlusion pedestrian ID #155 detected at frame 585
9df41017,66d947df,detection,EDSA Sec Walk,10:10:22 AM,22.33,00:00:22,156,671,1,moderate occlusion,Moderate occlusion pedestrian ID #156 detected at frame 671
63ac2dc7,66d947df,detection,EDSA Sec Walk,10:10:23 AM,23.93,00:00:23,167,719,0,light occlusion,Light occlusion pedestrian ID #167 detected at frame 719
ea3f9251,66d947df,detection,EDSA Sec Walk,10:10:23 AM,23.93,00:00:23,168,719,0,light occlusion,Light occlusion pedestrian ID #168 detected at frame 719
4189b969,66d947df,detection,EDSA Sec Walk,10:10:25 AM,25.83,00:00:25,171,776,1,moderate occlusion,Moderate occlusion pedestrian ID #171 detected at frame 776
a007047e,66d947df,detection,EDSA Sec Walk,10:10:26 AM,26.73,00:00:26,173,803,1,moderate occlusion,Moderate occlusion pedestrian ID #173 detected at frame 803
7a198ded,66d947df,detection,EDSA Sec Walk,10:10:27 AM,27.17,00:00:27,175,816,0,light occlusion,Light occlusion pedestrian ID #175 detected at frame 816
b6ee6d03,66d947df,detection,EDSA Sec Walk,10:10:27 AM,27.37,00:00:27,176,822,1,moderate occlusion,Moderate occlusion pedestrian ID #176 detected at frame 822
13c220e0,66d947df,detection,EDSA Sec Walk,10:10:27 AM,27.53,00:00:27,177,827,1,moderate occlusion,Moderate occlusion pedestrian ID #177 detected at frame 827
