videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
66d947df,0,00:00:00,2026-05-09T10:10:00,10:10:00,4,4,4,4,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
66d947df,1,00:00:01,2026-05-09T10:10:01,10:10:01,3,3,5,5,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
66d947df,2,00:00:02,2026-05-09T10:10:02,10:10:02,4,4,6,6,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
66d947df,3,00:00:03,2026-05-09T10:10:03,10:10:03,5,5,7,7,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
66d947df,4,00:00:04,2026-05-09T10:10:04,10:10:04,5,5,9,9,4,1,0,0.4,35.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
66d947df,5,00:00:05,2026-05-09T10:10:05,10:10:05,3,3,9,9,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
66d947df,6,00:00:06,2026-05-09T10:10:06,10:10:06,5,5,11,11,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
66d947df,7,00:00:07,2026-05-09T10:10:07,10:10:07,8,8,14,14,8,0,0,0.3333,52.37,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.5573,
66d947df,8,00:00:08,2026-05-09T10:10:08,10:10:08,7,7,16,16,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
66d947df,9,00:00:09,2026-05-09T10:10:09,10:10:09,3,3,16,16,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
66d947df,10,00:00:10,2026-05-09T10:10:10,10:10:10,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,11,00:00:11,2026-05-09T10:10:11,10:10:11,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,12,00:00:12,2026-05-09T10:10:12,10:10:12,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,13,00:00:13,2026-05-09T10:10:13,10:10:13,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,14,00:00:14,2026-05-09T10:10:14,10:10:14,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,15,00:00:15,2026-05-09T10:10:15,10:10:15,3,3,17,17,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
66d947df,16,00:00:16,2026-05-09T10:10:16,10:10:16,3,3,18,18,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
66d947df,17,00:00:17,2026-05-09T10:10:17,10:10:17,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,18,00:00:18,2026-05-09T10:10:18,10:10:18,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,19,00:00:19,2026-05-09T10:10:19,10:10:19,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,20,00:00:20,2026-05-09T10:10:20,10:10:20,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,21,00:00:21,2026-05-09T10:10:21,10:10:21,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
66d947df,22,00:00:22,2026-05-09T10:10:22,10:10:22,3,3,19,19,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
66d947df,23,00:00:23,2026-05-09T10:10:23,10:10:23,6,6,22,22,6,0,0,0.3333,40.53,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
66d947df,24,00:00:24,2026-05-09T10:10:24,10:10:24,6,6,22,22,6,0,0,0.3333,40.53,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
66d947df,25,00:00:25,2026-05-09T10:10:25,10:10:25,5,5,22,22,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
