videoId,trackKey,trackId,pedestrianId,offsetSeconds,videoTime,observedAt,clockTime,xNorm,yNorm,occlusionClass,occlusionLabel,insideROI
66d947df,66d947df:1,3a705a5c,1,0,00:00:00,2026-05-09T10:10:00,10:10:00,0.258073,0.803704,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,1,00:00:01,2026-05-09T10:10:01,10:10:01,0.255729,0.801852,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,2,00:00:02,2026-05-09T10:10:02,10:10:02,0.258854,0.800926,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,3,00:00:03,2026-05-09T10:10:03,10:10:03,0.259375,0.80463,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,4,00:00:04,2026-05-09T10:10:04,10:10:04,0.257552,0.803704,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,5,00:00:05,2026-05-09T10:10:05,10:10:05,0.258073,0.798148,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,6,00:00:06,2026-05-09T10:10:06,10:10:06,0.258073,0.801852,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,7,00:00:07,2026-05-09T10:10:07,10:10:07,0.260156,0.803704,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,8,00:00:08,2026-05-09T10:10:08,10:10:08,0.258594,0.803704,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,9,00:00:09,2026-05-09T10:10:09,10:10:09,0.25599,0.800926,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,10,00:00:10,2026-05-09T10:10:10,10:10:10,0.257292,0.799074,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,11,00:00:11,2026-05-09T10:10:11,10:10:11,0.260417,0.801852,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,12,00:00:12,2026-05-09T10:10:12,10:10:12,0.258594,0.800926,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,13,00:00:13,2026-05-09T10:10:13,10:10:13,0.258333,0.803704,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,14,00:00:14,2026-05-09T10:10:14,10:10:14,0.258333,0.802778,0,light occlusion,true
66d947df,66d947df:1,3a705a5c,1,15,00:00:15,2026-05-09T10:10:15,10:10:15,0.259635,0.801852,0,light occlusion,true
