eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
25c5f977,6b504d34,detection,Kostka Walk,10:10:10 AM,0.0,00:00:00,2,1,2,heavy occlusion,Heavy occlusion pedestrian ID #2 detected at frame 1
370bd637,6b504d34,detection,Kostka Walk,10:10:10 AM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
78d65696,6b504d34,detection,Kostka Walk,10:10:10 AM,0.0,00:00:00,5,1,2,heavy occlusion,Heavy occlusion pedestrian ID #5 detected at frame 1
c348d64f,6b504d34,detection,Kostka Walk,10:10:10 AM,0.0,00:00:00,4,1,2,heavy occlusion,Heavy occlusion pedestrian ID #4 detected at frame 1
d4a127fb,6b504d34,detection,Kostka Walk,10:10:10 AM,0.0,00:00:00,1,1,1,moderate occlusion,Moderate occlusion pedestrian ID #1 detected at frame 1
f49405d4,6b504d34,detection,Kostka Walk,10:10:10 AM,0.23,00:00:00,6,15,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 15
e6c4884b,6b504d34,detection,Kostka Walk,10:10:10 AM,0.37,00:00:00,7,23,2,heavy occlusion,Heavy occlusion pedestrian ID #7 detected at frame 23
06799954,6b504d34,detection,Kostka Walk,10:10:10 AM,0.43,00:00:00,8,27,0,light occlusion,Light occlusion pedestrian ID #8 detected at frame 27
68fbe17d,6b504d34,detection,Kostka Walk,10:10:10 AM,0.52,00:00:00,11,32,0,light occlusion,Light occlusion pedestrian ID #11 detected at frame 32
8d1d749a,6b504d34,detection,Kostka Walk,10:10:10 AM,0.62,00:00:00,13,38,2,heavy occlusion,Heavy occlusion pedestrian ID #13 detected at frame 38
e5689d2c,6b504d34,detection,Kostka Walk,10:10:11 AM,1.02,00:00:01,14,62,0,light occlusion,Light occlusion pedestrian ID #14 detected at frame 62
401bf4e2,6b504d34,detection,Kostka Walk,10:10:11 AM,1.35,00:00:01,15,82,0,light occlusion,Light occlusion pedestrian ID #15 detected at frame 82
81ab13db,6b504d34,detection,Kostka Walk,10:10:11 AM,1.57,00:00:01,16,95,0,light occlusion,Light occlusion pedestrian ID #16 detected at frame 95
fa846a9b,6b504d34,detection,Kostka Walk,10:10:11 AM,1.69,00:00:01,17,102,0,light occlusion,Light occlusion pedestrian ID #17 detected at frame 102
8c1e8b85,6b504d34,detection,Kostka Walk,10:10:11 AM,1.7,00:00:01,18,103,1,moderate occlusion,Moderate occlusion pedestrian ID #18 detected at frame 103
db0cdd79,6b504d34,detection,Kostka Walk,10:10:11 AM,1.77,00:00:01,19,107,1,moderate occlusion,Moderate occlusion pedestrian ID #19 detected at frame 107
cf9fc3c0,6b504d34,detection,Kostka Walk,10:10:13 AM,3.29,00:00:03,25,198,1,moderate occlusion,Moderate occlusion pedestrian ID #25 detected at frame 198
aff70ed3,6b504d34,detection,Kostka Walk,10:10:13 AM,3.44,00:00:03,26,207,0,light occlusion,Light occlusion pedestrian ID #26 detected at frame 207
b3fb2662,6b504d34,detection,Kostka Walk,10:10:13 AM,3.59,00:00:03,29,216,0,light occlusion,Light occlusion pedestrian ID #29 detected at frame 216
27687c13,6b504d34,detection,Kostka Walk,10:10:13 AM,3.94,00:00:03,36,237,0,light occlusion,Light occlusion pedestrian ID #36 detected at frame 237
f451d790,6b504d34,detection,Kostka Walk,10:10:14 AM,4.1,00:00:04,38,247,1,moderate occlusion,Moderate occlusion pedestrian ID #38 detected at frame 247
735221bc,6b504d34,detection,Kostka Walk,10:10:14 AM,4.74,00:00:04,40,285,1,moderate occlusion,Moderate occlusion pedestrian ID #40 detected at frame 285
f245d749,6b504d34,detection,Kostka Walk,10:10:16 AM,6.92,00:00:06,47,416,1,moderate occlusion,Moderate occlusion pedestrian ID #47 detected at frame 416
448e847d,6b504d34,detection,Kostka Walk,10:10:16 AM,6.99,00:00:06,48,420,1,moderate occlusion,Moderate occlusion pedestrian ID #48 detected at frame 420
bbf50ec4,6b504d34,detection,Kostka Walk,10:10:17 AM,7.17,00:00:07,49,431,1,moderate occlusion,Moderate occlusion pedestrian ID #49 detected at frame 431
396d3914,6b504d34,detection,Kostka Walk,10:10:17 AM,7.36,00:00:07,50,442,1,moderate occlusion,Moderate occlusion pedestrian ID #50 detected at frame 442
0bb850ad,6b504d34,detection,Kostka Walk,10:10:17 AM,7.82,00:00:07,52,470,0,light occlusion,Light occlusion pedestrian ID #52 detected at frame 470
5f1d3a89,6b504d34,detection,Kostka Walk,10:10:18 AM,8.41,00:00:08,54,505,1,moderate occlusion,Moderate occlusion pedestrian ID #54 detected at frame 505
ee4eb024,6b504d34,detection,Kostka Walk,10:10:18 AM,8.59,00:00:08,56,516,0,light occlusion,Light occlusion pedestrian ID #56 detected at frame 516
2abb9f64,6b504d34,detection,Kostka Walk,10:10:18 AM,8.78,00:00:08,58,527,2,heavy occlusion,Heavy occlusion pedestrian ID #58 detected at frame 527
2dc0a467,6b504d34,detection,Kostka Walk,10:10:19 AM,9.14,00:00:09,68,549,2,heavy occlusion,Heavy occlusion pedestrian ID #68 detected at frame 549
ba2e0f17,6b504d34,detection,Kostka Walk,10:10:19 AM,9.24,00:00:09,70,555,2,heavy occlusion,Heavy occlusion pedestrian ID #70 detected at frame 555
775561bb,6b504d34,detection,Kostka Walk,10:10:20 AM,10.09,00:00:10,75,606,1,moderate occlusion,Moderate occlusion pedestrian ID #75 detected at frame 606
65867282,6b504d34,detection,Kostka Walk,10:10:20 AM,10.93,00:00:10,81,656,1,moderate occlusion,Moderate occlusion pedestrian ID #81 detected at frame 656
7314dc50,6b504d34,detection,Kostka Walk,10:10:21 AM,11.11,00:00:11,84,667,0,light occlusion,Light occlusion pedestrian ID #84 detected at frame 667
f6cdb9a9,6b504d34,detection,Kostka Walk,10:10:21 AM,11.23,00:00:11,86,674,0,light occlusion,Light occlusion pedestrian ID #86 detected at frame 674
a7ffd878,6b504d34,detection,Kostka Walk,10:10:21 AM,11.31,00:00:11,87,679,0,light occlusion,Light occlusion pedestrian ID #87 detected at frame 679
14e4cc56,6b504d34,detection,Kostka Walk,10:10:21 AM,11.43,00:00:11,88,686,1,moderate occlusion,Moderate occlusion pedestrian ID #88 detected at frame 686
7d240c86,6b504d34,detection,Kostka Walk,10:10:21 AM,11.83,00:00:11,92,710,1,moderate occlusion,Moderate occlusion pedestrian ID #92 detected at frame 710
8fd30aa1,6b504d34,detection,Kostka Walk,10:10:22 AM,12.08,00:00:12,93,725,0,light occlusion,Light occlusion pedestrian ID #93 detected at frame 725
ba0fcccb,6b504d34,detection,Kostka Walk,10:10:22 AM,12.26,00:00:12,94,736,1,moderate occlusion,Moderate occlusion pedestrian ID #94 detected at frame 736
0cfb6e30,6b504d34,detection,Kostka Walk,10:10:22 AM,12.53,00:00:12,99,752,0,light occlusion,Light occlusion pedestrian ID #99 detected at frame 752
5b87865f,6b504d34,detection,Kostka Walk,10:10:22 AM,12.56,00:00:12,101,754,2,heavy occlusion,Heavy occlusion pedestrian ID #101 detected at frame 754
5654e2b4,6b504d34,detection,Kostka Walk,10:10:23 AM,13.0,00:00:13,111,780,2,heavy occlusion,Heavy occlusion pedestrian ID #111 detected at frame 780
ae5fde0d,6b504d34,detection,Kostka Walk,10:10:23 AM,13.06,00:00:13,112,784,2,heavy occlusion,Heavy occlusion pedestrian ID #112 detected at frame 784
2765d319,6b504d34,detection,Kostka Walk,10:10:23 AM,13.45,00:00:13,116,807,2,heavy occlusion,Heavy occlusion pedestrian ID #116 detected at frame 807
28a3aa62,6b504d34,detection,Kostka Walk,10:10:23 AM,13.7,00:00:13,124,822,2,heavy occlusion,Heavy occlusion pedestrian ID #124 detected at frame 822
7e0668ba,6b504d34,detection,Kostka Walk,10:10:23 AM,13.85,00:00:13,129,831,2,heavy occlusion,Heavy occlusion pedestrian ID #129 detected at frame 831
e08fa8ec,6b504d34,detection,Kostka Walk,10:10:23 AM,13.85,00:00:13,130,831,2,heavy occlusion,Heavy occlusion pedestrian ID #130 detected at frame 831
6092ee29,6b504d34,detection,Kostka Walk,10:10:23 AM,13.93,00:00:13,132,836,2,heavy occlusion,Heavy occlusion pedestrian ID #132 detected at frame 836
