videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
6b504d34,0,00:00:00,2026-04-01T10:10:10,10:10:10,10,10,10,10,2,3,5,0.7667,46.92,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.4167,
6b504d34,1,00:00:01,2026-04-01T10:10:11,10:10:11,7,7,16,16,3,4,0,0.5238,32.65,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.2917,
6b504d34,2,00:00:02,2026-04-01T10:10:12,10:10:12,2,2,16,16,1,1,0,0.5,14.58,A,"very high pedestrian space, free movement",light,roi-testing,,1.0,24.0,0.0833,
6b504d34,3,00:00:03,2026-04-01T10:10:13,10:10:13,5,5,20,20,2,3,0,0.5333,25.71,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.2083,
6b504d34,4,00:00:04,2026-04-01T10:10:14,10:10:14,5,5,22,22,0,5,0,0.6667,27.71,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.2083,
6b504d34,5,00:00:05,2026-04-01T10:10:15,10:10:15,4,4,22,22,0,4,0,0.6667,24.17,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.1667,
6b504d34,6,00:00:06,2026-04-01T10:10:16,10:10:16,6,6,24,24,2,4,0,0.5556,29.58,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.25,
6b504d34,7,00:00:07,2026-04-01T10:10:17,10:10:17,7,7,27,27,1,6,0,0.619,34.08,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.2917,
6b504d34,8,00:00:08,2026-04-01T10:10:18,10:10:18,8,8,30,30,1,5,2,0.7083,38.96,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.3333,
6b504d34,9,00:00:09,2026-04-01T10:10:19,10:10:19,5,5,32,32,1,0,4,0.8667,30.71,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.2083,
6b504d34,10,00:00:10,2026-04-01T10:10:20,10:10:20,2,2,34,34,0,2,0,0.6667,17.08,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.0833,
6b504d34,11,00:00:11,2026-04-01T10:10:21,10:10:21,6,6,39,39,2,3,1,0.6111,30.42,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.25,
6b504d34,12,00:00:12,2026-04-01T10:10:22,10:10:22,7,7,44,44,1,3,3,0.7619,36.22,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.2917,
6b504d34,13,00:00:13,2026-04-01T10:10:23,10:10:23,9,9,50,50,1,0,8,0.9259,45.76,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.375,
6b504d34,14,00:00:14,2026-04-01T10:10:24,10:10:24,5,5,51,51,1,0,4,0.8667,30.71,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.2083,
6b504d34,15,00:00:15,2026-04-01T10:10:25,10:10:25,3,3,52,52,1,2,0,0.5556,18.96,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.125,
6b504d34,16,00:00:16,2026-04-01T10:10:26,10:10:26,4,4,54,54,1,3,0,0.5833,22.92,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.1667,
6b504d34,17,00:00:17,2026-04-01T10:10:27,10:10:27,8,8,60,60,0,4,4,0.8333,40.83,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.3333,
6b504d34,18,00:00:18,2026-04-01T10:10:28,10:10:28,8,8,64,64,1,4,3,0.75,39.58,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.3333,
6b504d34,19,00:00:19,2026-04-01T10:10:29,10:10:29,9,9,69,69,1,6,2,0.7037,42.43,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.375,
6b504d34,20,00:00:20,2026-04-01T10:10:30,10:10:30,7,7,74,74,0,6,1,0.7143,35.51,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.2917,
6b504d34,21,00:00:21,2026-04-01T10:10:31,10:10:31,8,8,80,80,0,8,0,0.6667,38.33,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.3333,
6b504d34,22,00:00:22,2026-04-01T10:10:32,10:10:32,7,7,84,84,0,6,1,0.7143,35.51,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.2917,
6b504d34,23,00:00:23,2026-04-01T10:10:33,10:10:33,7,7,87,87,2,2,3,0.7143,35.51,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.2917,
6b504d34,24,00:00:24,2026-04-01T10:10:34,10:10:34,8,8,92,92,1,1,6,0.875,41.46,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,1.0,24.0,0.3333,
6b504d34,25,00:00:25,2026-04-01T10:10:35,10:10:35,5,5,94,94,0,0,5,1.0,32.71,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.2083,
6b504d34,26,00:00:26,2026-04-01T10:10:36,10:10:36,3,3,95,95,0,0,3,1.0,25.62,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.125,
6b504d34,27,00:00:27,2026-04-01T10:10:37,10:10:37,2,2,96,96,0,0,2,1.0,22.08,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.0833,
6b504d34,28,00:00:28,2026-04-01T10:10:38,10:10:38,0,0,96,96,0,0,0,0.0,0.0,,,neutral,roi-testing,,1.0,24.0,0.0,
6b504d34,29,00:00:29,2026-04-01T10:10:39,10:10:39,1,1,97,97,0,0,1,1.0,18.54,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.0417,
6b504d34,30,00:00:30,2026-04-01T10:10:40,10:10:40,2,2,99,99,1,0,1,0.6667,17.08,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.0833,
6b504d34,31,00:00:31,2026-04-01T10:10:41,10:10:41,1,1,99,99,1,0,0,0.3333,8.54,A,"very high pedestrian space, free movement",light,roi-testing,,1.0,24.0,0.0417,
6b504d34,32,00:00:32,2026-04-01T10:10:42,10:10:42,3,3,102,102,1,2,0,0.5556,18.96,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.125,
6b504d34,33,00:00:33,2026-04-01T10:10:43,10:10:43,3,3,104,104,1,1,1,0.6667,20.62,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.125,
6b504d34,34,00:00:34,2026-04-01T10:10:44,10:10:44,1,1,104,104,0,0,1,1.0,18.54,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.0417,
6b504d34,35,00:00:35,2026-04-01T10:10:45,10:10:45,0,0,104,104,0,0,0,0.0,0.0,,,neutral,roi-testing,,1.0,24.0,0.0,
6b504d34,36,00:00:36,2026-04-01T10:10:46,10:10:46,2,2,106,106,0,2,0,0.6667,17.08,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.0833,
6b504d34,37,00:00:37,2026-04-01T10:10:47,10:10:47,0,0,106,106,0,0,0,0.0,0.0,,,neutral,roi-testing,,1.0,24.0,0.0,
6b504d34,38,00:00:38,2026-04-01T10:10:48,10:10:48,0,0,106,106,0,0,0,0.0,0.0,,,neutral,roi-testing,,1.0,24.0,0.0,
6b504d34,39,00:00:39,2026-04-01T10:10:49,10:10:49,0,0,106,106,0,0,0,0.0,0.0,,,neutral,roi-testing,,1.0,24.0,0.0,
6b504d34,40,00:00:40,2026-04-01T10:10:50,10:10:50,1,1,107,107,0,0,1,1.0,18.54,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.0417,
6b504d34,41,00:00:41,2026-04-01T10:10:51,10:10:51,3,3,109,109,1,1,1,0.6667,20.62,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.125,
6b504d34,42,00:00:42,2026-04-01T10:10:52,10:10:52,4,4,112,112,1,0,3,0.8333,26.67,B,"high pedestrian space, comfortable movement",light,roi-testing,,1.0,24.0,0.1667,
