eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
4792fb95,73c1ecaf,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
487c2abb,73c1ecaf,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,5,1,0,light occlusion,Light occlusion pedestrian ID #5 detected at frame 1
59680fdf,73c1ecaf,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,4,1,0,light occlusion,Light occlusion pedestrian ID #4 detected at frame 1
5ff6c866,73c1ecaf,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
da45378e,73c1ecaf,detection,EDSA Sec Walk,10:00:00 AM,0.0,00:00:00,2,1,0,light occlusion,Light occlusion pedestrian ID #2 detected at frame 1
c86a299c,73c1ecaf,detection,EDSA Sec Walk,10:00:00 AM,0.53,00:00:00,6,17,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 17
f4e2710f,73c1ecaf,detection,EDSA Sec Walk,10:00:01 AM,1.1,00:00:01,11,34,0,light occlusion,Light occlusion pedestrian ID #11 detected at frame 34
8587e3e4,73c1ecaf,detection,EDSA Sec Walk,10:00:02 AM,2.33,00:00:02,18,71,0,light occlusion,Light occlusion pedestrian ID #18 detected at frame 71
4048b763,73c1ecaf,detection,EDSA Sec Walk,10:00:03 AM,3.73,00:00:03,28,113,0,light occlusion,Light occlusion pedestrian ID #28 detected at frame 113
b7a55da6,73c1ecaf,detection,EDSA Sec Walk,10:00:04 AM,4.57,00:00:04,39,138,1,moderate occlusion,Moderate occlusion pedestrian ID #39 detected at frame 138
3d2222a3,73c1ecaf,detection,EDSA Sec Walk,10:00:04 AM,4.83,00:00:04,40,146,0,light occlusion,Light occlusion pedestrian ID #40 detected at frame 146
f2bcc080,73c1ecaf,detection,EDSA Sec Walk,10:00:06 AM,6.13,00:00:06,46,185,0,light occlusion,Light occlusion pedestrian ID #46 detected at frame 185
935183de,73c1ecaf,detection,EDSA Sec Walk,10:00:06 AM,6.73,00:00:06,47,203,0,light occlusion,Light occlusion pedestrian ID #47 detected at frame 203
dac1018d,73c1ecaf,detection,EDSA Sec Walk,10:00:07 AM,7.13,00:00:07,48,215,0,light occlusion,Light occlusion pedestrian ID #48 detected at frame 215
3db95042,73c1ecaf,detection,EDSA Sec Walk,10:00:07 AM,7.53,00:00:07,49,227,0,light occlusion,Light occlusion pedestrian ID #49 detected at frame 227
a802f1bb,73c1ecaf,detection,EDSA Sec Walk,10:00:07 AM,7.93,00:00:07,59,239,0,light occlusion,Light occlusion pedestrian ID #59 detected at frame 239
951b7c20,73c1ecaf,detection,EDSA Sec Walk,10:00:08 AM,8.7,00:00:08,65,262,0,light occlusion,Light occlusion pedestrian ID #65 detected at frame 262
fba45776,73c1ecaf,detection,EDSA Sec Walk,10:00:08 AM,8.93,00:00:08,69,269,0,light occlusion,Light occlusion pedestrian ID #69 detected at frame 269
b3c391d7,73c1ecaf,detection,EDSA Sec Walk,10:00:15 AM,15.03,00:00:15,94,452,0,light occlusion,Light occlusion pedestrian ID #94 detected at frame 452
ac1bc827,73c1ecaf,detection,EDSA Sec Walk,10:00:15 AM,15.13,00:00:15,98,455,0,light occlusion,Light occlusion pedestrian ID #98 detected at frame 455
d40210c9,73c1ecaf,detection,EDSA Sec Walk,10:00:16 AM,16.13,00:00:16,99,485,0,light occlusion,Light occlusion pedestrian ID #99 detected at frame 485
e28e40c2,73c1ecaf,detection,EDSA Sec Walk,10:00:17 AM,17.73,00:00:17,131,533,0,light occlusion,Light occlusion pedestrian ID #131 detected at frame 533
8bb28af6,73c1ecaf,detection,EDSA Sec Walk,10:00:18 AM,18.03,00:00:18,133,542,0,light occlusion,Light occlusion pedestrian ID #133 detected at frame 542
ab8fd8c8,73c1ecaf,detection,EDSA Sec Walk,10:00:19 AM,19.47,00:00:19,155,585,0,light occlusion,Light occlusion pedestrian ID #155 detected at frame 585
1715ea16,73c1ecaf,detection,EDSA Sec Walk,10:00:22 AM,22.33,00:00:22,156,671,1,moderate occlusion,Moderate occlusion pedestrian ID #156 detected at frame 671
8fa26e41,73c1ecaf,detection,EDSA Sec Walk,10:00:23 AM,23.93,00:00:23,167,719,0,light occlusion,Light occlusion pedestrian ID #167 detected at frame 719
ea423753,73c1ecaf,detection,EDSA Sec Walk,10:00:23 AM,23.93,00:00:23,168,719,0,light occlusion,Light occlusion pedestrian ID #168 detected at frame 719
18a07f1b,73c1ecaf,detection,EDSA Sec Walk,10:00:25 AM,25.83,00:00:25,171,776,1,moderate occlusion,Moderate occlusion pedestrian ID #171 detected at frame 776
2d0b7141,73c1ecaf,detection,EDSA Sec Walk,10:00:26 AM,26.73,00:00:26,173,803,1,moderate occlusion,Moderate occlusion pedestrian ID #173 detected at frame 803
7c768705,73c1ecaf,detection,EDSA Sec Walk,10:00:27 AM,27.17,00:00:27,175,816,0,light occlusion,Light occlusion pedestrian ID #175 detected at frame 816
ad9169cf,73c1ecaf,detection,EDSA Sec Walk,10:00:27 AM,27.37,00:00:27,176,822,1,moderate occlusion,Moderate occlusion pedestrian ID #176 detected at frame 822
b9c4a307,73c1ecaf,detection,EDSA Sec Walk,10:00:27 AM,27.53,00:00:27,177,827,1,moderate occlusion,Moderate occlusion pedestrian ID #177 detected at frame 827
b4797569,73c1ecaf,detection,EDSA Sec Walk,10:00:29 AM,29.17,00:00:29,179,876,1,moderate occlusion,Moderate occlusion pedestrian ID #179 detected at frame 876
856900da,73c1ecaf,detection,EDSA Sec Walk,10:00:32 AM,32.57,00:00:32,180,978,1,moderate occlusion,Moderate occlusion pedestrian ID #180 detected at frame 978
5fe05954,73c1ecaf,detection,EDSA Sec Walk,10:00:32 AM,32.97,00:00:32,184,990,0,light occlusion,Light occlusion pedestrian ID #184 detected at frame 990
a351d256,73c1ecaf,detection,EDSA Sec Walk,10:00:33 AM,33.03,00:00:33,185,992,1,moderate occlusion,Moderate occlusion pedestrian ID #185 detected at frame 992
d1a3df80,73c1ecaf,detection,EDSA Sec Walk,10:00:33 AM,33.27,00:00:33,187,999,0,light occlusion,Light occlusion pedestrian ID #187 detected at frame 999
686c4e0b,73c1ecaf,detection,EDSA Sec Walk,10:00:33 AM,33.37,00:00:33,189,1002,1,moderate occlusion,Moderate occlusion pedestrian ID #189 detected at frame 1002
d6559bd2,73c1ecaf,detection,EDSA Sec Walk,10:00:33 AM,33.37,00:00:33,190,1002,2,heavy occlusion,Heavy occlusion pedestrian ID #190 detected at frame 1002
b15e4da7,73c1ecaf,detection,EDSA Sec Walk,10:00:36 AM,36.03,00:00:36,191,1082,0,light occlusion,Light occlusion pedestrian ID #191 detected at frame 1082
4eac21b1,73c1ecaf,detection,EDSA Sec Walk,10:00:36 AM,36.33,00:00:36,192,1091,0,light occlusion,Light occlusion pedestrian ID #192 detected at frame 1091
b316b5fa,73c1ecaf,detection,EDSA Sec Walk,10:00:36 AM,36.37,00:00:36,194,1092,0,light occlusion,Light occlusion pedestrian ID #194 detected at frame 1092
