videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
73c1ecaf,73c1ecaf:1,e37c2857,1,0.0,59.2,20.7,2026-05-10T10:00:00,2026-05-10T10:00:59,10:00:00 AM,10:00:59 AM,10:00:20 AM,60,60,0,storage/videos/processed/73c1ecaf/tracks/track-1.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
73c1ecaf,73c1ecaf:2,fced7bc6,2,0.0,33.37,32.77,2026-05-10T10:00:00,2026-05-10T10:00:33,10:00:00 AM,10:00:33 AM,10:00:32 AM,34,9,2,storage/videos/processed/73c1ecaf/tracks/track-2.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows moderate occlusion."
73c1ecaf,73c1ecaf:3,90e05f0f,3,0.0,18.77,17.77,2026-05-10T10:00:00,2026-05-10T10:00:18,10:00:00 AM,10:00:18 AM,10:00:17 AM,19,17,1,storage/videos/processed/73c1ecaf/tracks/track-3.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
73c1ecaf,73c1ecaf:4,d61e7e02,4,0.0,1.47,1.43,2026-05-10T10:00:00,2026-05-10T10:00:01,10:00:00 AM,10:00:01 AM,10:00:01 AM,2,0,0,storage/videos/processed/73c1ecaf/tracks/track-4.jpg,,"Representative crop suggests head region appears purple, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
73c1ecaf,73c1ecaf:5,bd8b5504,5,0.0,0.17,0.0,2026-05-10T10:00:00,2026-05-10T10:00:00,10:00:00 AM,10:00:00 AM,10:00:00 AM,1,1,0,storage/videos/processed/73c1ecaf/tracks/track-5.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
73c1ecaf,73c1ecaf:6,df4c8e7e,6,0.53,0.7,0.7,2026-05-10T10:00:00,2026-05-10T10:00:00,10:00:00 AM,10:00:00 AM,10:00:00 AM,1,1,0,storage/videos/processed/73c1ecaf/tracks/track-6.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
73c1ecaf,73c1ecaf:11,b8ca1962,11,1.1,3.77,3.23,2026-05-10T10:00:01,2026-05-10T10:00:03,10:00:01 AM,10:00:03 AM,10:00:03 AM,3,3,0,storage/videos/processed/73c1ecaf/tracks/track-11.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
73c1ecaf,73c1ecaf:18,01755774,18,2.33,3.07,2.73,2026-05-10T10:00:02,2026-05-10T10:00:03,10:00:02 AM,10:00:03 AM,10:00:02 AM,2,2,0,storage/videos/processed/73c1ecaf/tracks/track-18.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
73c1ecaf,73c1ecaf:28,8bb6bb99,28,3.73,4.17,3.93,2026-05-10T10:00:03,2026-05-10T10:00:04,10:00:03 AM,10:00:04 AM,10:00:03 AM,2,2,0,storage/videos/processed/73c1ecaf/tracks/track-28.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
73c1ecaf,73c1ecaf:39,f36f2f70,39,4.57,4.77,4.57,2026-05-10T10:00:04,2026-05-10T10:00:04,10:00:04 AM,10:00:04 AM,10:00:04 AM,1,1,1,storage/videos/processed/73c1ecaf/tracks/track-39.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
