eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
0503bcb0,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
28397691,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
30fdff63,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.0,00:00:00,5,1,1,moderate occlusion,Moderate occlusion pedestrian ID #5 detected at frame 1
3acd1b37,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.0,00:00:00,4,1,1,moderate occlusion,Moderate occlusion pedestrian ID #4 detected at frame 1
3f2c6485,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.0,00:00:00,2,1,0,light occlusion,Light occlusion pedestrian ID #2 detected at frame 1
515a9491,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.0,00:00:00,7,1,0,light occlusion,Light occlusion pedestrian ID #7 detected at frame 1
9aa440f4,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.0,00:00:00,6,1,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 1
c0ea014f,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.0,00:00:00,8,1,0,light occlusion,Light occlusion pedestrian ID #8 detected at frame 1
af4f9b45,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.27,00:00:00,11,5,0,light occlusion,Light occlusion pedestrian ID #11 detected at frame 5
dce86b66,74d5d2f0,detection,EDSA Sec Walk,10:45:00 AM,0.27,00:00:00,10,5,0,light occlusion,Light occlusion pedestrian ID #10 detected at frame 5
e540e17d,74d5d2f0,detection,EDSA Sec Walk,10:45:02 AM,2.6,00:00:02,16,40,0,light occlusion,Light occlusion pedestrian ID #16 detected at frame 40
0f833691,74d5d2f0,detection,EDSA Sec Walk,10:45:03 AM,3.07,00:00:03,20,47,1,moderate occlusion,Moderate occlusion pedestrian ID #20 detected at frame 47
98c6bd72,74d5d2f0,detection,EDSA Sec Walk,10:45:04 AM,4.8,00:00:04,24,73,1,moderate occlusion,Moderate occlusion pedestrian ID #24 detected at frame 73
99f67e70,74d5d2f0,detection,EDSA Sec Walk,10:45:05 AM,5.4,00:00:05,31,82,0,light occlusion,Light occlusion pedestrian ID #31 detected at frame 82
5345e3ec,74d5d2f0,detection,EDSA Sec Walk,10:45:06 AM,6.47,00:00:06,33,98,1,moderate occlusion,Moderate occlusion pedestrian ID #33 detected at frame 98
d6c8f2f8,74d5d2f0,detection,EDSA Sec Walk,10:45:06 AM,6.47,00:00:06,32,98,1,moderate occlusion,Moderate occlusion pedestrian ID #32 detected at frame 98
af626b9f,74d5d2f0,detection,EDSA Sec Walk,10:45:06 AM,6.8,00:00:06,39,103,0,light occlusion,Light occlusion pedestrian ID #39 detected at frame 103
7c34079f,74d5d2f0,detection,EDSA Sec Walk,10:45:08 AM,8.33,00:00:08,42,126,1,moderate occlusion,Moderate occlusion pedestrian ID #42 detected at frame 126
ef64269d,74d5d2f0,detection,EDSA Sec Walk,10:45:11 AM,11.07,00:00:11,46,167,0,light occlusion,Light occlusion pedestrian ID #46 detected at frame 167
633ad8e0,74d5d2f0,detection,EDSA Sec Walk,10:45:12 AM,12.73,00:00:12,55,192,0,light occlusion,Light occlusion pedestrian ID #55 detected at frame 192
5f3dfd1f,74d5d2f0,detection,EDSA Sec Walk,10:45:13 AM,13.4,00:00:13,59,202,1,moderate occlusion,Moderate occlusion pedestrian ID #59 detected at frame 202
19fe0551,74d5d2f0,detection,EDSA Sec Walk,10:45:13 AM,13.67,00:00:13,61,206,1,moderate occlusion,Moderate occlusion pedestrian ID #61 detected at frame 206
d4d75ebf,74d5d2f0,detection,EDSA Sec Walk,10:45:14 AM,14.07,00:00:14,64,212,0,light occlusion,Light occlusion pedestrian ID #64 detected at frame 212
dae04481,74d5d2f0,detection,EDSA Sec Walk,10:45:14 AM,14.87,00:00:14,71,224,0,light occlusion,Light occlusion pedestrian ID #71 detected at frame 224
1f5183fa,74d5d2f0,detection,EDSA Sec Walk,10:45:15 AM,15.27,00:00:15,74,230,1,moderate occlusion,Moderate occlusion pedestrian ID #74 detected at frame 230
2f5ccacb,74d5d2f0,detection,EDSA Sec Walk,10:45:15 AM,15.27,00:00:15,73,230,1,moderate occlusion,Moderate occlusion pedestrian ID #73 detected at frame 230
2523bc8d,74d5d2f0,detection,EDSA Sec Walk,10:45:15 AM,15.33,00:00:15,75,231,0,light occlusion,Light occlusion pedestrian ID #75 detected at frame 231
c0b88b9a,74d5d2f0,detection,EDSA Sec Walk,10:45:15 AM,15.47,00:00:15,79,233,1,moderate occlusion,Moderate occlusion pedestrian ID #79 detected at frame 233
c7153daa,74d5d2f0,detection,EDSA Sec Walk,10:45:15 AM,15.47,00:00:15,78,233,0,light occlusion,Light occlusion pedestrian ID #78 detected at frame 233
e9c7bf33,74d5d2f0,detection,EDSA Sec Walk,10:45:16 AM,16.33,00:00:16,91,246,0,light occlusion,Light occlusion pedestrian ID #91 detected at frame 246
e94a9cb3,74d5d2f0,detection,EDSA Sec Walk,10:45:17 AM,17.4,00:00:17,94,262,1,moderate occlusion,Moderate occlusion pedestrian ID #94 detected at frame 262
294fbfc2,74d5d2f0,detection,EDSA Sec Walk,10:45:19 AM,19.13,00:00:19,103,288,0,light occlusion,Light occlusion pedestrian ID #103 detected at frame 288
11b63a61,74d5d2f0,detection,EDSA Sec Walk,10:45:20 AM,20.6,00:00:20,109,310,0,light occlusion,Light occlusion pedestrian ID #109 detected at frame 310
81c2d9df,74d5d2f0,detection,EDSA Sec Walk,10:45:23 AM,23.13,00:00:23,121,348,1,moderate occlusion,Moderate occlusion pedestrian ID #121 detected at frame 348
19eebe15,74d5d2f0,detection,EDSA Sec Walk,10:45:23 AM,23.8,00:00:23,131,358,0,light occlusion,Light occlusion pedestrian ID #131 detected at frame 358
0c4f3b47,74d5d2f0,detection,EDSA Sec Walk,10:45:23 AM,23.93,00:00:23,133,360,0,light occlusion,Light occlusion pedestrian ID #133 detected at frame 360
4a875970,74d5d2f0,detection,EDSA Sec Walk,10:45:24 AM,24.47,00:00:24,138,368,1,moderate occlusion,Moderate occlusion pedestrian ID #138 detected at frame 368
e60b571c,74d5d2f0,detection,EDSA Sec Walk,10:45:24 AM,24.8,00:00:24,142,373,0,light occlusion,Light occlusion pedestrian ID #142 detected at frame 373
8167f4ee,74d5d2f0,detection,EDSA Sec Walk,10:45:25 AM,25.2,00:00:25,147,379,0,light occlusion,Light occlusion pedestrian ID #147 detected at frame 379
ebc6ea6b,74d5d2f0,detection,EDSA Sec Walk,10:45:25 AM,25.4,00:00:25,154,382,1,moderate occlusion,Moderate occlusion pedestrian ID #154 detected at frame 382
6fccb240,74d5d2f0,detection,EDSA Sec Walk,10:45:25 AM,25.6,00:00:25,162,385,1,moderate occlusion,Moderate occlusion pedestrian ID #162 detected at frame 385
05a65a19,74d5d2f0,detection,EDSA Sec Walk,10:45:25 AM,25.67,00:00:25,164,386,0,light occlusion,Light occlusion pedestrian ID #164 detected at frame 386
071f5790,74d5d2f0,detection,EDSA Sec Walk,10:45:25 AM,25.73,00:00:25,165,387,0,light occlusion,Light occlusion pedestrian ID #165 detected at frame 387
36e5f64e,74d5d2f0,detection,EDSA Sec Walk,10:45:25 AM,25.87,00:00:25,166,389,0,light occlusion,Light occlusion pedestrian ID #166 detected at frame 389
5c8cbb12,74d5d2f0,detection,EDSA Sec Walk,10:45:26 AM,26.87,00:00:26,173,404,1,moderate occlusion,Moderate occlusion pedestrian ID #173 detected at frame 404
c0e5017d,74d5d2f0,detection,EDSA Sec Walk,10:45:27 AM,27.47,00:00:27,179,413,1,moderate occlusion,Moderate occlusion pedestrian ID #179 detected at frame 413
e16f94ae,74d5d2f0,detection,EDSA Sec Walk,10:45:27 AM,27.67,00:00:27,180,416,1,moderate occlusion,Moderate occlusion pedestrian ID #180 detected at frame 416
a512f99e,74d5d2f0,detection,EDSA Sec Walk,10:45:27 AM,27.87,00:00:27,181,419,0,light occlusion,Light occlusion pedestrian ID #181 detected at frame 419
7ec4b1d1,74d5d2f0,detection,EDSA Sec Walk,10:45:28 AM,28.0,00:00:28,184,421,0,light occlusion,Light occlusion pedestrian ID #184 detected at frame 421
e0e4561f,74d5d2f0,detection,EDSA Sec Walk,10:45:28 AM,28.07,00:00:28,186,422,0,light occlusion,Light occlusion pedestrian ID #186 detected at frame 422
