startOffsetSeconds,endOffsetSeconds,severity,score
0.0,14.992,moderate,48.31
14.992,29.983,heavy,74.24
29.983,44.975,moderate,52.75
44.975,59.967,heavy,68.44
59.967,194.892,moderate,64.81
194.892,869.517,heavy,95.77
869.517,884.508,moderate,60.97
884.508,1034.425,heavy,94.57
1034.425,1064.408,moderate,62.67
1064.408,1079.4,light,28.69
1079.4,1109.383,moderate,60.67
1109.383,1124.375,heavy,67.76
1124.375,1169.35,moderate,53.37
1169.35,1184.342,heavy,71.68
1184.342,1199.333,moderate,65.81
1199.333,1229.317,light,28.69
1229.317,1274.292,moderate,47.16
1274.292,1334.258,light,32.24
1334.258,1364.242,moderate,47.16
1364.242,1394.225,heavy,79.26
1394.225,1409.217,moderate,34.61
1409.217,1529.15,light,30.47
1529.15,1574.125,moderate,46.45
1574.125,1649.083,light,32.24
1649.083,1694.058,moderate,41.86
1694.058,1739.033,light,27.5
1739.033,1769.017,neutral,
1769.017,1784.008,light,10.92
1784.008,1799.0,neutral,
