videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
74d5d2f0,0,00:00:00,2025-10-07T10:45:00,10:45:00,8,8,8,8,6,2,0,0.4167,53.62,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.5573,
74d5d2f0,1,00:00:01,2025-10-07T10:45:01,10:45:01,5,5,8,8,4,1,0,0.4,35.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
74d5d2f0,2,00:00:02,2025-10-07T10:45:02,10:45:02,5,5,9,9,4,1,0,0.4,35.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
74d5d2f0,3,00:00:03,2025-10-07T10:45:03,10:45:03,4,4,9,9,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
74d5d2f0,4,00:00:04,2025-10-07T10:45:04,10:45:04,5,5,10,10,4,1,0,0.4,35.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
74d5d2f0,5,00:00:05,2025-10-07T10:45:05,10:45:05,6,6,11,11,5,1,0,0.3889,41.36,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,6,00:00:06,2025-10-07T10:45:06,10:45:06,7,7,14,14,5,2,0,0.4286,47.88,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,7,00:00:07,2025-10-07T10:45:07,10:45:07,6,6,14,14,4,2,0,0.4444,42.19,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,8,00:00:08,2025-10-07T10:45:08,10:45:08,7,7,15,15,4,3,0,0.4762,48.59,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,9,00:00:09,2025-10-07T10:45:09,10:45:09,5,5,15,15,4,1,0,0.4,35.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
74d5d2f0,10,00:00:10,2025-10-07T10:45:10,10:45:10,5,5,15,15,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
74d5d2f0,11,00:00:11,2025-10-07T10:45:11,10:45:11,5,5,15,15,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
74d5d2f0,12,00:00:12,2025-10-07T10:45:12,10:45:12,6,6,16,16,5,1,0,0.3889,41.36,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,13,00:00:13,2025-10-07T10:45:13,10:45:13,6,6,17,17,5,1,0,0.3889,41.36,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,14,00:00:14,2025-10-07T10:45:14,10:45:14,6,6,19,19,4,1,1,0.5,43.03,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,15,00:00:15,2025-10-07T10:45:15,10:45:15,9,9,23,23,4,3,2,0.5926,62.18,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.627,
74d5d2f0,16,00:00:16,2025-10-07T10:45:16,10:45:16,6,6,23,23,4,2,0,0.4444,42.19,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,17,00:00:17,2025-10-07T10:45:17,10:45:17,6,6,24,24,5,1,0,0.3889,41.36,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,18,00:00:18,2025-10-07T10:45:18,10:45:18,5,5,24,24,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
74d5d2f0,19,00:00:19,2025-10-07T10:45:19,10:45:19,6,6,25,25,6,0,0,0.3333,40.53,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,20,00:00:20,2025-10-07T10:45:20,10:45:20,7,7,26,26,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,21,00:00:21,2025-10-07T10:45:21,10:45:21,7,7,26,26,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,22,00:00:22,2025-10-07T10:45:22,10:45:22,7,7,26,26,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,23,00:00:23,2025-10-07T10:45:23,10:45:23,8,8,27,27,8,0,0,0.3333,52.37,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.5573,
74d5d2f0,24,00:00:24,2025-10-07T10:45:24,10:45:24,10,10,29,29,10,0,0,0.3333,64.21,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.6966,
74d5d2f0,25,00:00:25,2025-10-07T10:45:25,10:45:25,10,10,31,31,10,0,0,0.3333,64.21,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.6966,
74d5d2f0,26,00:00:26,2025-10-07T10:45:26,10:45:26,9,9,32,32,7,2,0,0.4074,59.4,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.627,
74d5d2f0,27,00:00:27,2025-10-07T10:45:27,10:45:27,11,11,35,35,8,3,0,0.4242,71.5,E,"crowded conditions, frequent interference",heavy,roi-testing,,0.357748,14.355,0.7663,
74d5d2f0,28,00:00:28,2025-10-07T10:45:28,10:45:28,12,12,38,38,12,0,0,0.3333,76.06,E,"crowded conditions, frequent interference",heavy,roi-testing,,0.357748,14.355,0.836,
74d5d2f0,29,00:00:29,2025-10-07T10:45:29,10:45:29,12,12,41,41,9,1,2,0.4722,78.14,E,"crowded conditions, frequent interference",heavy,roi-testing,,0.357748,14.355,0.836,
74d5d2f0,30,00:00:30,2025-10-07T10:45:30,10:45:30,8,8,41,41,6,2,0,0.4167,53.62,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.5573,
74d5d2f0,31,00:00:31,2025-10-07T10:45:31,10:45:31,8,8,42,42,7,1,0,0.375,53.0,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.5573,
74d5d2f0,32,00:00:32,2025-10-07T10:45:32,10:45:32,8,8,44,44,8,0,0,0.3333,52.37,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.5573,
74d5d2f0,33,00:00:33,2025-10-07T10:45:33,10:45:33,7,7,45,45,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,34,00:00:34,2025-10-07T10:45:34,10:45:34,7,7,46,46,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,35,00:00:35,2025-10-07T10:45:35,10:45:35,7,7,48,48,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,36,00:00:36,2025-10-07T10:45:36,10:45:36,7,7,48,48,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,37,00:00:37,2025-10-07T10:45:37,10:45:37,6,6,49,49,4,2,0,0.4444,42.19,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,38,00:00:38,2025-10-07T10:45:38,10:45:38,4,4,49,49,3,1,0,0.4167,29.94,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
74d5d2f0,39,00:00:39,2025-10-07T10:45:39,10:45:39,6,6,52,52,6,0,0,0.3333,40.53,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,40,00:00:40,2025-10-07T10:45:40,10:45:40,7,7,55,55,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,41,00:00:41,2025-10-07T10:45:41,10:45:41,7,7,55,55,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
74d5d2f0,42,00:00:42,2025-10-07T10:45:42,10:45:42,5,5,55,55,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
74d5d2f0,43,00:00:43,2025-10-07T10:45:43,10:45:43,5,5,56,56,4,0,1,0.4667,36.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
74d5d2f0,44,00:00:44,2025-10-07T10:45:44,10:45:44,4,4,56,56,3,1,0,0.4167,29.94,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
74d5d2f0,45,00:00:45,2025-10-07T10:45:45,10:45:45,6,6,58,58,6,0,0,0.3333,40.53,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
74d5d2f0,46,00:00:46,2025-10-07T10:45:46,10:45:46,8,8,60,60,6,2,0,0.4167,53.62,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.5573,
