videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
74d5d2f0,74d5d2f0:1,89a790ab,1,0.0,36.67,17.2,2025-10-07T10:45:00,2025-10-07T10:45:36,10:45:00 AM,10:45:36 AM,10:45:17 AM,36,35,1,storage/videos/processed/74d5d2f0/tracks/track-1.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
74d5d2f0,74d5d2f0:2,03a75834,2,0.0,28.4,0.73,2025-10-07T10:45:00,2025-10-07T10:45:28,10:45:00 AM,10:45:28 AM,10:45:00 AM,29,29,0,storage/videos/processed/74d5d2f0/tracks/track-2.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
74d5d2f0,74d5d2f0:3,bf6d771b,3,0.0,1.33,0.53,2025-10-07T10:45:00,2025-10-07T10:45:01,10:45:00 AM,10:45:01 AM,10:45:00 AM,2,2,1,storage/videos/processed/74d5d2f0/tracks/track-3.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
74d5d2f0,74d5d2f0:4,fa012d0d,4,0.0,15.33,14.47,2025-10-07T10:45:00,2025-10-07T10:45:15,10:45:00 AM,10:45:15 AM,10:45:14 AM,16,14,1,storage/videos/processed/74d5d2f0/tracks/track-4.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
74d5d2f0,74d5d2f0:5,fc605cca,5,0.0,98.46,10.73,2025-10-07T10:45:00,2025-10-07T10:46:38,10:45:00 AM,10:46:38 AM,10:45:10 AM,99,11,1,storage/videos/processed/74d5d2f0/tracks/track-5.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
74d5d2f0,74d5d2f0:6,0548622d,6,0.0,2.67,0.87,2025-10-07T10:45:00,2025-10-07T10:45:02,10:45:00 AM,10:45:02 AM,10:45:00 AM,3,3,1,storage/videos/processed/74d5d2f0/tracks/track-6.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
74d5d2f0,74d5d2f0:7,9a0107bf,7,0.0,0.47,0.27,2025-10-07T10:45:00,2025-10-07T10:45:00,10:45:00 AM,10:45:00 AM,10:45:00 AM,1,1,0,storage/videos/processed/74d5d2f0/tracks/track-7.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
74d5d2f0,74d5d2f0:8,1d383a73,8,0.0,0.47,0.47,2025-10-07T10:45:00,2025-10-07T10:45:00,10:45:00 AM,10:45:00 AM,10:45:00 AM,1,1,0,storage/videos/processed/74d5d2f0/tracks/track-8.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
74d5d2f0,74d5d2f0:10,54d70c3f,10,0.27,2.0,2.0,2025-10-07T10:45:00,2025-10-07T10:45:02,10:45:00 AM,10:45:02 AM,10:45:02 AM,2,0,1,storage/videos/processed/74d5d2f0/tracks/track-10.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
74d5d2f0,74d5d2f0:11,3e907026,11,0.27,0.67,0.47,2025-10-07T10:45:00,2025-10-07T10:45:00,10:45:00 AM,10:45:00 AM,10:45:00 AM,1,1,0,storage/videos/processed/74d5d2f0/tracks/track-11.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
74d5d2f0,74d5d2f0:16,ca051d99,16,2.6,15.93,14.27,2025-10-07T10:45:02,2025-10-07T10:45:15,10:45:02 AM,10:45:15 AM,10:45:14 AM,14,12,2,storage/videos/processed/74d5d2f0/tracks/track-16.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
74d5d2f0,74d5d2f0:20,b1bb1ffe,20,3.07,10.87,5.4,2025-10-07T10:45:03,2025-10-07T10:45:10,10:45:03 AM,10:45:10 AM,10:45:05 AM,8,0,1,storage/videos/processed/74d5d2f0/tracks/track-20.jpg,,"Representative crop suggests head region appears purple, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
74d5d2f0,74d5d2f0:24,53598139,24,4.8,5.73,4.8,2025-10-07T10:45:04,2025-10-07T10:45:05,10:45:04 AM,10:45:05 AM,10:45:04 AM,2,2,1,storage/videos/processed/74d5d2f0/tracks/track-24.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
