videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
7ce78b09,0,00:00:00,2026-04-01T12:11:11,12:11:11,23,23,23,23,9,11,3,0.5797,93.7,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,1,00:00:01,2026-04-01T12:11:12,12:11:12,23,23,30,30,8,6,9,0.6812,95.22,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,2,00:00:02,2026-04-01T12:11:13,12:11:13,23,23,38,38,6,10,7,0.6812,95.22,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,3,00:00:03,2026-04-01T12:11:14,12:11:14,23,23,42,42,6,6,11,0.7391,96.09,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,4,00:00:04,2026-04-01T12:11:15,12:11:15,30,30,50,50,7,9,14,0.7444,96.17,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,5,00:00:05,2026-04-01T12:11:16,12:11:16,28,28,56,56,6,11,11,0.7262,95.89,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,6,00:00:06,2026-04-01T12:11:17,12:11:17,26,26,63,63,5,11,10,0.7308,95.96,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,7,00:00:07,2026-04-01T12:11:18,12:11:18,30,30,71,71,10,12,8,0.6444,94.67,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,8,00:00:08,2026-04-01T12:11:19,12:11:19,28,28,80,80,11,13,4,0.5833,93.75,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,9,00:00:09,2026-04-01T12:11:20,12:11:20,26,26,85,85,6,15,5,0.6538,94.81,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
7ce78b09,10,00:00:10,2026-04-01T12:11:21,12:11:21,23,23,89,89,8,7,8,0.6667,95.0,F,"severely congested conditions, breakdown of smooth movement",heavy,roi-testing,,0.357748,14.355,1.0,
