eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
c557cdb7,8e6835a6,detection,Ateneo Gate 1 Entrance,6:00:00 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
628a10cc,8e6835a6,detection,Ateneo Gate 1 Entrance,6:00:45 AM,45.72,00:00:45,13,686,2,heavy occlusion,Heavy occlusion pedestrian ID #13 detected at frame 686
37057679,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:08 AM,68.74,00:01:08,23,1031,0,light occlusion,Light occlusion pedestrian ID #23 detected at frame 1031
4ce2efae,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:09 AM,69.41,00:01:09,24,1041,0,light occlusion,Light occlusion pedestrian ID #24 detected at frame 1041
5599d4fd,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:15 AM,75.08,00:01:15,33,1126,2,heavy occlusion,Heavy occlusion pedestrian ID #33 detected at frame 1126
1dac373b,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:17 AM,77.89,00:01:17,37,1168,0,light occlusion,Light occlusion pedestrian ID #37 detected at frame 1168
a628b9b1,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:26 AM,86.09,00:01:26,41,1291,2,heavy occlusion,Heavy occlusion pedestrian ID #41 detected at frame 1291
4d6c1204,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:29 AM,89.16,00:01:29,43,1337,0,light occlusion,Light occlusion pedestrian ID #43 detected at frame 1337
7a9c9e49,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:35 AM,95.04,00:01:35,49,1425,2,heavy occlusion,Heavy occlusion pedestrian ID #49 detected at frame 1425
790136bc,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:36 AM,96.57,00:01:36,50,1448,0,light occlusion,Light occlusion pedestrian ID #50 detected at frame 1448
75933f71,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:38 AM,98.44,00:01:38,55,1476,0,light occlusion,Light occlusion pedestrian ID #55 detected at frame 1476
ce227461,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:41 AM,101.65,00:01:41,59,1524,1,moderate occlusion,Moderate occlusion pedestrian ID #59 detected at frame 1524
4e4981db,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:45 AM,105.05,00:01:45,63,1575,2,heavy occlusion,Heavy occlusion pedestrian ID #63 detected at frame 1575
6cb90aad,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:48 AM,108.05,00:01:48,64,1620,0,light occlusion,Light occlusion pedestrian ID #64 detected at frame 1620
e59e5640,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:55 AM,115.46,00:01:55,66,1731,1,moderate occlusion,Moderate occlusion pedestrian ID #66 detected at frame 1731
2eacec1b,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:57 AM,117.33,00:01:57,68,1759,1,moderate occlusion,Moderate occlusion pedestrian ID #68 detected at frame 1759
c7d42b7e,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:59 AM,119.2,00:01:59,75,1787,0,light occlusion,Light occlusion pedestrian ID #75 detected at frame 1787
f3f92f80,8e6835a6,detection,Ateneo Gate 1 Entrance,6:01:59 AM,119.46,00:01:59,78,1791,2,heavy occlusion,Heavy occlusion pedestrian ID #78 detected at frame 1791
c20f3741,8e6835a6,detection,Ateneo Gate 1 Entrance,6:02:05 AM,125.2,00:02:05,88,1877,0,light occlusion,Light occlusion pedestrian ID #88 detected at frame 1877
533beda6,8e6835a6,detection,Ateneo Gate 1 Entrance,6:02:06 AM,126.47,00:02:06,89,1896,2,heavy occlusion,Heavy occlusion pedestrian ID #89 detected at frame 1896
e1151e86,8e6835a6,detection,Ateneo Gate 1 Entrance,6:02:07 AM,127.21,00:02:07,92,1907,0,light occlusion,Light occlusion pedestrian ID #92 detected at frame 1907
d651eebb,8e6835a6,detection,Ateneo Gate 1 Entrance,6:02:20 AM,140.49,00:02:20,96,2106,0,light occlusion,Light occlusion pedestrian ID #96 detected at frame 2106
c032153b,8e6835a6,detection,Ateneo Gate 1 Entrance,6:03:01 AM,181.0,00:03:01,112,2713,0,light occlusion,Light occlusion pedestrian ID #112 detected at frame 2713
6fb67f92,8e6835a6,detection,Ateneo Gate 1 Entrance,6:03:08 AM,188.87,00:03:08,114,2831,0,light occlusion,Light occlusion pedestrian ID #114 detected at frame 2831
0c2c1a48,8e6835a6,detection,Ateneo Gate 1 Entrance,6:03:28 AM,208.36,00:03:28,118,3123,0,light occlusion,Light occlusion pedestrian ID #118 detected at frame 3123
d1cc3b57,8e6835a6,detection,Ateneo Gate 1 Entrance,6:03:28 AM,208.43,00:03:28,120,3124,0,light occlusion,Light occlusion pedestrian ID #120 detected at frame 3124
e46dc600,8e6835a6,detection,Ateneo Gate 1 Entrance,6:03:34 AM,214.24,00:03:34,126,3211,2,heavy occlusion,Heavy occlusion pedestrian ID #126 detected at frame 3211
72d4bdb8,8e6835a6,detection,Ateneo Gate 1 Entrance,6:03:35 AM,215.9,00:03:35,129,3236,1,moderate occlusion,Moderate occlusion pedestrian ID #129 detected at frame 3236
d12484f9,8e6835a6,detection,Ateneo Gate 1 Entrance,6:03:43 AM,223.85,00:03:43,131,3355,0,light occlusion,Light occlusion pedestrian ID #131 detected at frame 3355
0a706ba9,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:07 AM,247.47,00:04:07,136,3709,2,heavy occlusion,Heavy occlusion pedestrian ID #136 detected at frame 3709
1e127570,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:17 AM,257.22,00:04:17,142,3855,0,light occlusion,Light occlusion pedestrian ID #142 detected at frame 3855
62d946dd,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:17 AM,257.82,00:04:17,143,3864,0,light occlusion,Light occlusion pedestrian ID #143 detected at frame 3864
b414fa70,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:19 AM,259.55,00:04:19,144,3890,0,light occlusion,Light occlusion pedestrian ID #144 detected at frame 3890
1613b2ab,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:21 AM,261.62,00:04:21,148,3921,1,moderate occlusion,Moderate occlusion pedestrian ID #148 detected at frame 3921
64deefb7,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:22 AM,262.22,00:04:22,149,3930,2,heavy occlusion,Heavy occlusion pedestrian ID #149 detected at frame 3930
639f3e4c,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:24 AM,264.89,00:04:24,157,3970,2,heavy occlusion,Heavy occlusion pedestrian ID #157 detected at frame 3970
9fac764e,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:27 AM,267.49,00:04:27,160,4009,1,moderate occlusion,Moderate occlusion pedestrian ID #160 detected at frame 4009
63d7f2b2,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:30 AM,270.36,00:04:30,163,4052,0,light occlusion,Light occlusion pedestrian ID #163 detected at frame 4052
3e5d48a7,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:38 AM,278.04,00:04:38,165,4167,1,moderate occlusion,Moderate occlusion pedestrian ID #165 detected at frame 4167
67a64428,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:41 AM,281.38,00:04:41,168,4217,2,heavy occlusion,Heavy occlusion pedestrian ID #168 detected at frame 4217
80e4043e,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:42 AM,282.71,00:04:42,172,4237,0,light occlusion,Light occlusion pedestrian ID #172 detected at frame 4237
feccdab3,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:43 AM,283.85,00:04:43,177,4254,0,light occlusion,Light occlusion pedestrian ID #177 detected at frame 4254
d2bc1fcb,8e6835a6,detection,Ateneo Gate 1 Entrance,6:04:45 AM,285.71,00:04:45,181,4282,1,moderate occlusion,Moderate occlusion pedestrian ID #181 detected at frame 4282
b49629f6,8e6835a6,detection,Ateneo Gate 1 Entrance,6:05:00 AM,300.26,00:05:00,204,4500,0,light occlusion,Light occlusion pedestrian ID #204 detected at frame 4500
a9b611a9,8e6835a6,detection,Ateneo Gate 1 Entrance,6:05:03 AM,303.2,00:05:03,205,4544,2,heavy occlusion,Heavy occlusion pedestrian ID #205 detected at frame 4544
a803d16f,8e6835a6,detection,Ateneo Gate 1 Entrance,6:05:07 AM,307.67,00:05:07,211,4611,0,light occlusion,Light occlusion pedestrian ID #211 detected at frame 4611
4998ce1a,8e6835a6,detection,Ateneo Gate 1 Entrance,6:05:11 AM,311.21,00:05:11,215,4664,0,light occlusion,Light occlusion pedestrian ID #215 detected at frame 4664
d6c2ecff,8e6835a6,detection,Ateneo Gate 1 Entrance,6:05:11 AM,311.68,00:05:11,217,4671,0,light occlusion,Light occlusion pedestrian ID #217 detected at frame 4671
3cd8bc5a,8e6835a6,detection,Ateneo Gate 1 Entrance,6:05:13 AM,313.61,00:05:13,224,4700,0,light occlusion,Light occlusion pedestrian ID #224 detected at frame 4700
bf645e06,8e6835a6,detection,Ateneo Gate 1 Entrance,6:05:15 AM,315.15,00:05:15,225,4723,0,light occlusion,Light occlusion pedestrian ID #225 detected at frame 4723
