startOffsetSeconds,endOffsetSeconds,severity,score
0.0,13.133,light,15.33
13.133,39.4,neutral,
39.4,157.6,light,30.65
157.6,170.733,neutral,
170.733,223.267,light,23.59
223.267,236.4,neutral,
236.4,249.533,light,19.83
249.533,262.667,moderate,37.08
262.667,275.8,light,16.33
275.8,288.933,moderate,38.31
288.933,315.2,light,26.59
315.2,367.733,neutral,
367.733,420.267,light,30.65
420.267,433.4,neutral,
433.4,459.667,light,18.83
459.667,472.8,neutral,
472.8,512.2,light,15.33
512.2,564.733,moderate,57.16
564.733,577.867,light,15.33
577.867,591.0,moderate,36.65
591.0,643.533,light,30.65
643.533,656.667,moderate,42.64
656.667,774.867,light,28.15
774.867,788.0,moderate,48.57
788.0,801.133,light,15.33
801.133,814.267,moderate,36.09
814.267,827.4,light,30.38
827.4,853.667,moderate,40.98
853.667,971.867,light,32.25
971.867,998.133,moderate,56.66
998.133,1024.4,light,25.65
1024.4,1050.667,moderate,46.9
1050.667,1168.867,light,29.1
1168.867,1182.0,moderate,39.87
1182.0,1195.133,light,28.15
1195.133,1208.267,moderate,43.7
1208.267,1260.8,light,25.65
1260.8,1326.467,moderate,56.36
1326.467,1392.133,light,27.9
1392.133,1405.267,moderate,40.65
1405.267,1457.8,light,31.52
1457.8,1484.067,moderate,50.92
1484.067,1576.0,light,31.18
