videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
8e6835a6,8e6835a6:1,51dc6ff8,1,0.0,5.41,0.0,2026-03-12T06:00:00,2026-03-12T06:00:05,6:00:00 AM,6:00:05 AM,6:00:00 AM,6,6,0,storage/videos/processed/8e6835a6/tracks/track-1.jpg,,"Representative crop suggests head region appears pink, upper clothing appears red, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:13,95df280b,13,45.72,55.79,46.78,2026-03-12T06:00:45,2026-03-12T06:00:55,6:00:45 AM,6:00:55 AM,6:00:46 AM,11,9,2,storage/videos/processed/8e6835a6/tracks/track-13.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:23,c2077591,23,68.74,68.81,68.81,2026-03-12T06:01:08,2026-03-12T06:01:08,6:01:08 AM,6:01:08 AM,6:01:08 AM,1,1,0,storage/videos/processed/8e6835a6/tracks/track-23.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:24,cd771e71,24,69.41,75.75,74.68,2026-03-12T06:01:09,2026-03-12T06:01:15,6:01:09 AM,6:01:15 AM,6:01:14 AM,7,6,2,storage/videos/processed/8e6835a6/tracks/track-24.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:33,df235a47,33,75.08,75.22,75.08,2026-03-12T06:01:15,2026-03-12T06:01:15,6:01:15 AM,6:01:15 AM,6:01:15 AM,1,0,2,storage/videos/processed/8e6835a6/tracks/track-33.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:37,9b4c196a,37,77.89,85.76,85.63,2026-03-12T06:01:17,2026-03-12T06:01:25,6:01:17 AM,6:01:25 AM,6:01:25 AM,9,7,1,storage/videos/processed/8e6835a6/tracks/track-37.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears black. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:41,b8b9f4fd,41,86.09,86.5,86.16,2026-03-12T06:01:26,2026-03-12T06:01:26,6:01:26 AM,6:01:26 AM,6:01:26 AM,1,0,2,storage/videos/processed/8e6835a6/tracks/track-41.jpg,,"Representative crop suggests head region appears gray, upper clothing appears brown, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:43,82b6ff85,43,89.16,95.57,94.37,2026-03-12T06:01:29,2026-03-12T06:01:35,6:01:29 AM,6:01:35 AM,6:01:34 AM,7,5,2,storage/videos/processed/8e6835a6/tracks/track-43.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:49,aeb78324,49,95.04,95.04,95.04,2026-03-12T06:01:35,2026-03-12T06:01:35,6:01:35 AM,6:01:35 AM,6:01:35 AM,1,0,2,storage/videos/processed/8e6835a6/tracks/track-49.jpg,,"Representative crop suggests head region appears gray, upper clothing appears brown, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:50,3e7c1b43,50,96.57,104.92,104.38,2026-03-12T06:01:36,2026-03-12T06:01:44,6:01:36 AM,6:01:44 AM,6:01:44 AM,9,7,2,storage/videos/processed/8e6835a6/tracks/track-50.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:55,a2a7ad9e,55,98.44,102.38,100.58,2026-03-12T06:01:38,2026-03-12T06:01:42,6:01:38 AM,6:01:42 AM,6:01:40 AM,4,1,1,storage/videos/processed/8e6835a6/tracks/track-55.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:59,bcff0b81,59,101.65,102.25,102.11,2026-03-12T06:01:41,2026-03-12T06:01:42,6:01:41 AM,6:01:42 AM,6:01:42 AM,2,2,1,storage/videos/processed/8e6835a6/tracks/track-59.jpg,,"Representative crop suggests head region appears gray, upper clothing appears yellow, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:63,1b6e8778,63,105.05,105.05,105.05,2026-03-12T06:01:45,2026-03-12T06:01:45,6:01:45 AM,6:01:45 AM,6:01:45 AM,1,0,2,storage/videos/processed/8e6835a6/tracks/track-63.jpg,,"Representative crop suggests head region appears gray, upper clothing appears black, lower clothing appears brown. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:64,101493a7,64,108.05,119.2,118.06,2026-03-12T06:01:48,2026-03-12T06:01:59,6:01:48 AM,6:01:59 AM,6:01:58 AM,12,9,2,storage/videos/processed/8e6835a6/tracks/track-64.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:66,09cfd580,66,115.46,120.6,119.87,2026-03-12T06:01:55,2026-03-12T06:02:00,6:01:55 AM,6:02:00 AM,6:01:59 AM,6,4,2,storage/videos/processed/8e6835a6/tracks/track-66.jpg,,"Representative crop suggests head region appears gray, upper clothing appears pink, lower clothing appears pink. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:68,e128ab85,68,117.33,119.66,117.33,2026-03-12T06:01:57,2026-03-12T06:01:59,6:01:57 AM,6:01:59 AM,6:01:57 AM,2,2,1,storage/videos/processed/8e6835a6/tracks/track-68.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:75,b9a38c6f,75,119.2,121.07,119.26,2026-03-12T06:01:59,2026-03-12T06:02:01,6:01:59 AM,6:02:01 AM,6:01:59 AM,3,1,2,storage/videos/processed/8e6835a6/tracks/track-75.jpg,,"Representative crop suggests head region appears gray, upper clothing appears pink, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:78,179d85d0,78,119.46,128.81,121.33,2026-03-12T06:01:59,2026-03-12T06:02:08,6:01:59 AM,6:02:08 AM,6:02:01 AM,10,8,2,storage/videos/processed/8e6835a6/tracks/track-78.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:88,ea92d61e,88,125.2,132.48,131.41,2026-03-12T06:02:05,2026-03-12T06:02:12,6:02:05 AM,6:02:12 AM,6:02:11 AM,8,6,2,storage/videos/processed/8e6835a6/tracks/track-88.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:89,7c881dcd,89,126.47,127.21,127.21,2026-03-12T06:02:06,2026-03-12T06:02:07,6:02:06 AM,6:02:07 AM,6:02:07 AM,2,0,2,storage/videos/processed/8e6835a6/tracks/track-89.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:92,526ba951,92,127.21,135.35,127.74,2026-03-12T06:02:07,2026-03-12T06:02:15,6:02:07 AM,6:02:15 AM,6:02:07 AM,9,8,0,storage/videos/processed/8e6835a6/tracks/track-92.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:96,e380b6bf,96,140.49,149.36,148.36,2026-03-12T06:02:20,2026-03-12T06:02:29,6:02:20 AM,6:02:29 AM,6:02:28 AM,10,7,2,storage/videos/processed/8e6835a6/tracks/track-96.jpg,,"Representative crop suggests head region appears gray, upper clothing appears orange, lower clothing appears brown. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:112,c9556931,112,181.0,188.87,188.74,2026-03-12T06:03:01,2026-03-12T06:03:08,6:03:01 AM,6:03:08 AM,6:03:08 AM,9,8,1,storage/videos/processed/8e6835a6/tracks/track-112.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears red. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:114,6575115d,114,188.87,189.68,188.87,2026-03-12T06:03:08,2026-03-12T06:03:09,6:03:08 AM,6:03:09 AM,6:03:08 AM,2,0,2,storage/videos/processed/8e6835a6/tracks/track-114.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:118,5687c855,118,208.36,208.43,208.43,2026-03-12T06:03:28,2026-03-12T06:03:28,6:03:28 AM,6:03:28 AM,6:03:28 AM,1,1,0,storage/videos/processed/8e6835a6/tracks/track-118.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:120,333e1d2d,120,208.43,213.3,212.83,2026-03-12T06:03:28,2026-03-12T06:03:33,6:03:28 AM,6:03:33 AM,6:03:32 AM,6,4,2,storage/videos/processed/8e6835a6/tracks/track-120.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:126,a57b626d,126,214.24,215.97,215.97,2026-03-12T06:03:34,2026-03-12T06:03:35,6:03:34 AM,6:03:35 AM,6:03:35 AM,2,0,2,storage/videos/processed/8e6835a6/tracks/track-126.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:129,ca4c3960,129,215.9,220.11,216.04,2026-03-12T06:03:35,2026-03-12T06:03:40,6:03:35 AM,6:03:40 AM,6:03:36 AM,6,5,1,storage/videos/processed/8e6835a6/tracks/track-129.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:131,d9e686d9,131,223.85,232.39,224.31,2026-03-12T06:03:43,2026-03-12T06:03:52,6:03:43 AM,6:03:52 AM,6:03:44 AM,10,0,0,storage/videos/processed/8e6835a6/tracks/track-131.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:136,b028af6d,136,247.47,256.28,248.01,2026-03-12T06:04:07,2026-03-12T06:04:16,6:04:07 AM,6:04:16 AM,6:04:08 AM,10,9,2,storage/videos/processed/8e6835a6/tracks/track-136.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:142,5c85a2cd,142,257.22,257.35,257.22,2026-03-12T06:04:17,2026-03-12T06:04:17,6:04:17 AM,6:04:17 AM,6:04:17 AM,1,1,0,storage/videos/processed/8e6835a6/tracks/track-142.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:143,44b6695e,143,257.82,264.76,264.22,2026-03-12T06:04:17,2026-03-12T06:04:24,6:04:17 AM,6:04:24 AM,6:04:24 AM,8,6,2,storage/videos/processed/8e6835a6/tracks/track-143.jpg,,"Representative crop suggests head region appears cyan, upper clothing appears blue, lower clothing appears cyan. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:144,b173856a,144,259.55,261.02,261.02,2026-03-12T06:04:19,2026-03-12T06:04:21,6:04:19 AM,6:04:21 AM,6:04:21 AM,3,3,1,storage/videos/processed/8e6835a6/tracks/track-144.jpg,,"Representative crop suggests head region appears blue, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:148,feadf51e,148,261.62,268.16,266.96,2026-03-12T06:04:21,2026-03-12T06:04:28,6:04:21 AM,6:04:28 AM,6:04:26 AM,8,5,2,storage/videos/processed/8e6835a6/tracks/track-148.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:149,3e66dc4f,149,262.22,262.22,262.22,2026-03-12T06:04:22,2026-03-12T06:04:22,6:04:22 AM,6:04:22 AM,6:04:22 AM,1,1,2,storage/videos/processed/8e6835a6/tracks/track-149.jpg,,"Representative crop suggests head region appears blue, upper clothing appears blue, lower clothing appears blue. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:157,86adbc75,157,264.89,264.96,264.89,2026-03-12T06:04:24,2026-03-12T06:04:24,6:04:24 AM,6:04:24 AM,6:04:24 AM,1,0,2,storage/videos/processed/8e6835a6/tracks/track-157.jpg,,"Representative crop suggests head region appears cyan, upper clothing appears blue, lower clothing appears blue. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:160,caeca5e4,160,267.49,267.49,267.49,2026-03-12T06:04:27,2026-03-12T06:04:27,6:04:27 AM,6:04:27 AM,6:04:27 AM,1,0,1,storage/videos/processed/8e6835a6/tracks/track-160.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:163,1ea15edc,163,270.36,279.57,278.37,2026-03-12T06:04:30,2026-03-12T06:04:39,6:04:30 AM,6:04:39 AM,6:04:38 AM,10,7,2,storage/videos/processed/8e6835a6/tracks/track-163.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:165,9a03747b,165,278.04,278.71,278.31,2026-03-12T06:04:38,2026-03-12T06:04:38,6:04:38 AM,6:04:38 AM,6:04:38 AM,1,0,1,storage/videos/processed/8e6835a6/tracks/track-165.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:168,3110256e,168,281.38,282.78,282.71,2026-03-12T06:04:41,2026-03-12T06:04:42,6:04:41 AM,6:04:42 AM,6:04:42 AM,2,0,2,storage/videos/processed/8e6835a6/tracks/track-168.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:172,b02d6137,172,282.71,291.19,282.98,2026-03-12T06:04:42,2026-03-12T06:04:51,6:04:42 AM,6:04:51 AM,6:04:42 AM,10,9,1,storage/videos/processed/8e6835a6/tracks/track-172.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:177,f98ba8b2,177,283.85,292.52,291.65,2026-03-12T06:04:43,2026-03-12T06:04:52,6:04:43 AM,6:04:52 AM,6:04:51 AM,10,7,2,storage/videos/processed/8e6835a6/tracks/track-177.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears black. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:181,edfdfee7,181,285.71,286.58,285.91,2026-03-12T06:04:45,2026-03-12T06:04:46,6:04:45 AM,6:04:46 AM,6:04:45 AM,2,2,1,storage/videos/processed/8e6835a6/tracks/track-181.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:204,2f927f08,204,300.26,301.46,300.86,2026-03-12T06:05:00,2026-03-12T06:05:01,6:05:00 AM,6:05:01 AM,6:05:00 AM,2,0,0,storage/videos/processed/8e6835a6/tracks/track-204.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows light occlusion."
8e6835a6,8e6835a6:205,558a6f1d,205,303.2,307.81,304.0,2026-03-12T06:05:03,2026-03-12T06:05:07,6:05:03 AM,6:05:07 AM,6:05:04 AM,5,4,2,storage/videos/processed/8e6835a6/tracks/track-205.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:211,fa12d108,211,307.67,316.15,315.35,2026-03-12T06:05:07,2026-03-12T06:05:16,6:05:07 AM,6:05:16 AM,6:05:15 AM,10,7,2,storage/videos/processed/8e6835a6/tracks/track-211.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:215,3a038c7e,215,311.21,311.41,311.28,2026-03-12T06:05:11,2026-03-12T06:05:11,6:05:11 AM,6:05:11 AM,6:05:11 AM,1,0,0,storage/videos/processed/8e6835a6/tracks/track-215.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:217,669c2ce4,217,311.68,311.81,311.81,2026-03-12T06:05:11,2026-03-12T06:05:11,6:05:11 AM,6:05:11 AM,6:05:11 AM,1,0,0,storage/videos/processed/8e6835a6/tracks/track-217.jpg,,"Representative crop suggests head region appears gray, upper clothing appears white, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:224,481a5599,224,313.61,315.21,313.61,2026-03-12T06:05:13,2026-03-12T06:05:15,6:05:13 AM,6:05:15 AM,6:05:13 AM,3,0,0,storage/videos/processed/8e6835a6/tracks/track-224.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:225,f104fb5e,225,315.15,315.35,315.28,2026-03-12T06:05:15,2026-03-12T06:05:15,6:05:15 AM,6:05:15 AM,6:05:15 AM,1,0,1,storage/videos/processed/8e6835a6/tracks/track-225.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:226,835861f4,226,316.35,316.48,316.35,2026-03-12T06:05:16,2026-03-12T06:05:16,6:05:16 AM,6:05:16 AM,6:05:16 AM,1,0,2,storage/videos/processed/8e6835a6/tracks/track-226.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears brown. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:244,c14232ce,244,376.81,386.63,385.76,2026-03-12T06:06:16,2026-03-12T06:06:26,6:06:16 AM,6:06:26 AM,6:06:25 AM,11,8,2,storage/videos/processed/8e6835a6/tracks/track-244.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears black. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:247,b4af6040,247,380.62,380.62,380.62,2026-03-12T06:06:20,2026-03-12T06:06:20,6:06:20 AM,6:06:20 AM,6:06:20 AM,1,0,0,storage/videos/processed/8e6835a6/tracks/track-247.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:248,0437da00,248,381.49,387.23,387.09,2026-03-12T06:06:21,2026-03-12T06:06:27,6:06:21 AM,6:06:27 AM,6:06:27 AM,7,5,2,storage/videos/processed/8e6835a6/tracks/track-248.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:256,7c87729e,256,385.82,386.36,386.36,2026-03-12T06:06:25,2026-03-12T06:06:26,6:06:25 AM,6:06:26 AM,6:06:26 AM,2,1,1,storage/videos/processed/8e6835a6/tracks/track-256.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:261,c6e81153,261,386.96,388.09,387.09,2026-03-12T06:06:26,2026-03-12T06:06:28,6:06:26 AM,6:06:28 AM,6:06:27 AM,3,1,2,storage/videos/processed/8e6835a6/tracks/track-261.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:266,9ec8c72f,266,395.23,401.98,401.98,2026-03-12T06:06:35,2026-03-12T06:06:41,6:06:35 AM,6:06:41 AM,6:06:41 AM,7,5,1,storage/videos/processed/8e6835a6/tracks/track-266.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:267,bb407808,267,400.77,400.84,400.84,2026-03-12T06:06:40,2026-03-12T06:06:40,6:06:40 AM,6:06:40 AM,6:06:40 AM,1,1,1,storage/videos/processed/8e6835a6/tracks/track-267.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:269,a11cb0ec,269,401.44,402.24,401.44,2026-03-12T06:06:41,2026-03-12T06:06:42,6:06:41 AM,6:06:42 AM,6:06:41 AM,2,0,2,storage/videos/processed/8e6835a6/tracks/track-269.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:272,52efd7e5,272,402.31,402.71,402.31,2026-03-12T06:06:42,2026-03-12T06:06:42,6:06:42 AM,6:06:42 AM,6:06:42 AM,1,0,2,storage/videos/processed/8e6835a6/tracks/track-272.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e6835a6,8e6835a6:277,f4b4c9c6,277,405.31,415.46,414.19,2026-03-12T06:06:45,2026-03-12T06:06:55,6:06:45 AM,6:06:55 AM,6:06:54 AM,11,8,2,storage/videos/processed/8e6835a6/tracks/track-277.jpg,,"Representative crop suggests head region appears orange, upper clothing appears gray, lower clothing appears black. Visibility shows light occlusion."
8e6835a6,8e6835a6:281,bb27ee53,281,414.79,414.86,414.79,2026-03-12T06:06:54,2026-03-12T06:06:54,6:06:54 AM,6:06:54 AM,6:06:54 AM,1,0,2,storage/videos/processed/8e6835a6/tracks/track-281.jpg,,"Representative crop suggests head region appears gray, upper clothing appears brown, lower clothing appears gray. Visibility shows moderate occlusion."
8e6835a6,8e6835a6:294,b5eb16ba,294,434.08,434.14,434.08,2026-03-12T06:07:14,2026-03-12T06:07:14,6:07:14 AM,6:07:14 AM,6:07:14 AM,1,0,0,storage/videos/processed/8e6835a6/tracks/track-294.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:299,4a3b3fa0,299,439.22,443.09,440.75,2026-03-12T06:07:19,2026-03-12T06:07:23,6:07:19 AM,6:07:23 AM,6:07:20 AM,5,4,1,storage/videos/processed/8e6835a6/tracks/track-299.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:309,9056778a,309,456.9,456.9,456.9,2026-03-12T06:07:36,2026-03-12T06:07:36,6:07:36 AM,6:07:36 AM,6:07:36 AM,1,1,0,storage/videos/processed/8e6835a6/tracks/track-309.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e6835a6,8e6835a6:310,52038fd6,310,474.92,475.06,474.99,2026-03-12T06:07:54,2026-03-12T06:07:55,6:07:54 AM,6:07:55 AM,6:07:54 AM,2,2,0,storage/videos/processed/8e6835a6/tracks/track-310.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
