eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
12a602fa,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:20 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
c83fb1ee,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:20 AM,0.0,00:00:00,2,1,1,moderate occlusion,Moderate occlusion pedestrian ID #2 detected at frame 1
d55f7f6c,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:20 AM,0.0,00:00:00,3,1,2,heavy occlusion,Heavy occlusion pedestrian ID #3 detected at frame 1
e21a2f73,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:20 AM,0.87,00:00:00,8,14,0,light occlusion,Light occlusion pedestrian ID #8 detected at frame 14
090ef4c2,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:22 AM,2.74,00:00:02,15,42,0,light occlusion,Light occlusion pedestrian ID #15 detected at frame 42
6a166f45,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:23 AM,3.4,00:00:03,16,52,0,light occlusion,Light occlusion pedestrian ID #16 detected at frame 52
7be571db,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:25 AM,5.54,00:00:05,18,84,0,light occlusion,Light occlusion pedestrian ID #18 detected at frame 84
14c2a273,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:25 AM,5.87,00:00:05,20,89,2,heavy occlusion,Heavy occlusion pedestrian ID #20 detected at frame 89
536a8259,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:26 AM,6.54,00:00:06,25,99,1,moderate occlusion,Moderate occlusion pedestrian ID #25 detected at frame 99
476b5c44,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:26 AM,6.74,00:00:06,27,102,1,moderate occlusion,Moderate occlusion pedestrian ID #27 detected at frame 102
c0f49ac0,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:28 AM,8.94,00:00:08,41,135,2,heavy occlusion,Heavy occlusion pedestrian ID #41 detected at frame 135
20aa28f4,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:29 AM,9.14,00:00:09,44,138,0,light occlusion,Light occlusion pedestrian ID #44 detected at frame 138
5391ae29,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:29 AM,9.34,00:00:09,47,141,1,moderate occlusion,Moderate occlusion pedestrian ID #47 detected at frame 141
2a8e0fde,8e858459,detection,Ateneo Gate 2.5 Overpass,10:23:30 AM,10.94,00:00:10,51,165,1,moderate occlusion,Moderate occlusion pedestrian ID #51 detected at frame 165
