videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
8e858459,8e858459:1,cf10278d,1,0.0,11.01,10.94,2025-01-23T10:23:20,2025-01-23T10:23:31,10:23:20 AM,10:23:31 AM,10:23:30 AM,12,10,1,storage/videos/processed/8e858459/tracks/track-1.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
8e858459,8e858459:2,1df238b8,2,0.0,1.33,1.0,2025-01-23T10:23:20,2025-01-23T10:23:21,10:23:20 AM,10:23:21 AM,10:23:21 AM,2,0,1,storage/videos/processed/8e858459/tracks/track-2.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears brown. Visibility shows moderate occlusion."
8e858459,8e858459:3,1d498c1c,3,0.0,4.6,0.33,2025-01-23T10:23:20,2025-01-23T10:23:24,10:23:20 AM,10:23:24 AM,10:23:20 AM,5,0,2,storage/videos/processed/8e858459/tracks/track-3.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e858459,8e858459:8,a77896f9,8,0.87,4.07,3.34,2025-01-23T10:23:20,2025-01-23T10:23:24,10:23:20 AM,10:23:24 AM,10:23:23 AM,5,0,1,storage/videos/processed/8e858459/tracks/track-8.jpg,,"Representative crop suggests head region appears orange, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e858459,8e858459:15,01c8c30d,15,2.74,2.74,2.74,2025-01-23T10:23:22,2025-01-23T10:23:22,10:23:22 AM,10:23:22 AM,10:23:22 AM,1,0,0,storage/videos/processed/8e858459/tracks/track-15.jpg,,"Representative crop suggests head region appears orange, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e858459,8e858459:16,6105b932,16,3.4,7.67,7.61,2025-01-23T10:23:23,2025-01-23T10:23:27,10:23:23 AM,10:23:27 AM,10:23:27 AM,5,0,0,storage/videos/processed/8e858459/tracks/track-16.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e858459,8e858459:18,9e823982,18,5.54,5.67,5.54,2025-01-23T10:23:25,2025-01-23T10:23:25,10:23:25 AM,10:23:25 AM,10:23:25 AM,1,0,0,storage/videos/processed/8e858459/tracks/track-18.jpg,,"Representative crop suggests head region appears brown, upper clothing appears gray, lower clothing appears orange. Visibility shows light occlusion."
8e858459,8e858459:20,88978f84,20,5.87,35.1,10.41,2025-01-23T10:23:25,2025-01-23T10:23:55,10:23:25 AM,10:23:55 AM,10:23:30 AM,31,30,2,storage/videos/processed/8e858459/tracks/track-20.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e858459,8e858459:25,d20585c7,25,6.54,6.61,6.61,2025-01-23T10:23:26,2025-01-23T10:23:26,10:23:26 AM,10:23:26 AM,10:23:26 AM,1,1,1,storage/videos/processed/8e858459/tracks/track-25.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e858459,8e858459:27,e6ab2278,27,6.74,9.08,8.67,2025-01-23T10:23:26,2025-01-23T10:23:29,10:23:26 AM,10:23:29 AM,10:23:28 AM,4,1,1,storage/videos/processed/8e858459/tracks/track-27.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e858459,8e858459:41,a9651f0f,41,8.94,10.88,9.14,2025-01-23T10:23:28,2025-01-23T10:23:30,10:23:28 AM,10:23:30 AM,10:23:29 AM,3,0,2,storage/videos/processed/8e858459/tracks/track-41.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e858459,8e858459:44,06fbe973,44,9.14,17.88,14.01,2025-01-23T10:23:29,2025-01-23T10:23:37,10:23:29 AM,10:23:37 AM,10:23:34 AM,9,3,1,storage/videos/processed/8e858459/tracks/track-44.jpg,,"Representative crop suggests head region appears brown, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e858459,8e858459:47,b8bb0baf,47,9.34,12.41,9.34,2025-01-23T10:23:29,2025-01-23T10:23:32,10:23:29 AM,10:23:32 AM,10:23:29 AM,4,0,1,storage/videos/processed/8e858459/tracks/track-47.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
8e858459,8e858459:51,5e431f85,51,10.94,11.01,11.01,2025-01-23T10:23:30,2025-01-23T10:23:31,10:23:30 AM,10:23:31 AM,10:23:31 AM,2,2,1,storage/videos/processed/8e858459/tracks/track-51.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears orange. Visibility shows moderate occlusion."
8e858459,8e858459:59,e226ba45,59,23.02,27.23,23.62,2025-01-23T10:23:43,2025-01-23T10:23:47,10:23:43 AM,10:23:47 AM,10:23:43 AM,5,0,2,storage/videos/processed/8e858459/tracks/track-59.jpg,,"Representative crop suggests head region appears brown, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
8e858459,8e858459:61,a01a8576,61,27.29,27.56,27.29,2025-01-23T10:23:47,2025-01-23T10:23:47,10:23:47 AM,10:23:47 AM,10:23:47 AM,1,0,0,storage/videos/processed/8e858459/tracks/track-61.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
8e858459,8e858459:63,f93cb139,63,27.89,27.96,27.96,2025-01-23T10:23:47,2025-01-23T10:23:47,10:23:47 AM,10:23:47 AM,10:23:47 AM,1,0,0,storage/videos/processed/8e858459/tracks/track-63.jpg,,"Representative crop suggests head region appears gray, upper clothing appears yellow, lower clothing appears gray. Visibility shows light occlusion."
