videoId,trackKey,trackId,pedestrianId,offsetSeconds,videoTime,observedAt,clockTime,xNorm,yNorm,occlusionClass,occlusionLabel,insideROI
8e858459,8e858459:1,cf10278d,1,0,00:00:00,2025-01-23T10:23:20,10:23:20,0.489063,0.440741,0,light occlusion,true
8e858459,8e858459:1,cf10278d,1,1,00:00:01,2025-01-23T10:23:21,10:23:21,0.489323,0.441667,0,light occlusion,true
8e858459,8e858459:1,cf10278d,1,2,00:00:02,2025-01-23T10:23:22,10:23:22,0.489583,0.440741,0,light occlusion,true
8e858459,8e858459:1,cf10278d,1,3,00:00:03,2025-01-23T10:23:23,10:23:23,0.489323,0.438889,0,light occlusion,true
8e858459,8e858459:1,cf10278d,1,4,00:00:04,2025-01-23T10:23:24,10:23:24,0.489844,0.439815,0,light occlusion,true
8e858459,8e858459:1,cf10278d,1,5,00:00:05,2025-01-23T10:23:25,10:23:25,0.489844,0.438889,0,light occlusion,true
8e858459,8e858459:1,cf10278d,1,6,00:00:06,2025-01-23T10:23:26,10:23:26,0.490365,0.505556,1,moderate occlusion,true
8e858459,8e858459:1,cf10278d,1,7,00:00:07,2025-01-23T10:23:27,10:23:27,0.457031,0.584259,0,light occlusion,true
8e858459,8e858459:1,cf10278d,1,8,00:00:08,2025-01-23T10:23:28,10:23:28,0.457292,0.712963,0,light occlusion,true
8e858459,8e858459:1,cf10278d,1,9,00:00:09,2025-01-23T10:23:29,10:23:29,0.573438,0.80463,0,light occlusion,true
8e858459,8e858459:1,cf10278d,1,10,00:00:10,2025-01-23T10:23:30,10:23:30,0.754167,0.892593,1,moderate occlusion,false
8e858459,8e858459:1,cf10278d,1,11,00:00:11,2025-01-23T10:23:31,10:23:31,0.752865,0.900926,0,light occlusion,false
8e858459,8e858459:2,1df238b8,2,0,00:00:00,2025-01-23T10:23:20,10:23:20,0.652344,0.215741,1,moderate occlusion,false
8e858459,8e858459:2,1df238b8,2,1,00:00:01,2025-01-23T10:23:21,10:23:21,0.652083,0.203704,1,moderate occlusion,false
8e858459,8e858459:3,1d498c1c,3,0,00:00:00,2025-01-23T10:23:20,10:23:20,0.179948,0.968519,2,heavy occlusion,false
8e858459,8e858459:3,1d498c1c,3,1,00:00:01,2025-01-23T10:23:21,10:23:21,0.180729,0.968519,2,heavy occlusion,false
8e858459,8e858459:3,1d498c1c,3,2,00:00:02,2025-01-23T10:23:22,10:23:22,0.182292,0.969444,2,heavy occlusion,false
8e858459,8e858459:3,1d498c1c,3,3,00:00:03,2025-01-23T10:23:23,10:23:23,0.180729,0.972222,2,heavy occlusion,false
8e858459,8e858459:3,1d498c1c,3,4,00:00:04,2025-01-23T10:23:24,10:23:24,0.180469,0.972222,2,heavy occlusion,false
8e858459,8e858459:8,a77896f9,8,0,00:00:00,2025-01-23T10:23:20,10:23:20,0.610677,0.202778,1,moderate occlusion,false
8e858459,8e858459:8,a77896f9,8,1,00:00:01,2025-01-23T10:23:21,10:23:21,0.602083,0.234259,1,moderate occlusion,false
8e858459,8e858459:8,a77896f9,8,2,00:00:02,2025-01-23T10:23:22,10:23:22,0.595313,0.282407,1,moderate occlusion,false
8e858459,8e858459:8,a77896f9,8,3,00:00:03,2025-01-23T10:23:23,10:23:23,0.5875,0.303704,1,moderate occlusion,false
8e858459,8e858459:8,a77896f9,8,4,00:00:04,2025-01-23T10:23:24,10:23:24,0.585156,0.300926,1,moderate occlusion,false
8e858459,8e858459:15,01c8c30d,15,2,00:00:02,2025-01-23T10:23:22,10:23:22,0.409896,0.262037,0,light occlusion,false
8e858459,8e858459:16,6105b932,16,3,00:00:03,2025-01-23T10:23:23,10:23:23,0.423698,0.286111,0,light occlusion,false
8e858459,8e858459:16,6105b932,16,4,00:00:04,2025-01-23T10:23:24,10:23:24,0.416927,0.307407,0,light occlusion,false
8e858459,8e858459:16,6105b932,16,5,00:00:05,2025-01-23T10:23:25,10:23:25,0.405729,0.334259,0,light occlusion,false
8e858459,8e858459:16,6105b932,16,6,00:00:06,2025-01-23T10:23:26,10:23:26,0.390885,0.346296,0,light occlusion,false
8e858459,8e858459:16,6105b932,16,7,00:00:07,2025-01-23T10:23:27,10:23:27,0.373177,0.402778,0,light occlusion,false
8e858459,8e858459:18,9e823982,18,5,00:00:05,2025-01-23T10:23:25,10:23:25,0.599219,0.267593,0,light occlusion,false
8e858459,8e858459:20,88978f84,20,5,00:00:05,2025-01-23T10:23:25,10:23:25,0.543229,0.424074,2,heavy occlusion,true
8e858459,8e858459:20,88978f84,20,6,00:00:06,2025-01-23T10:23:26,10:23:26,0.523177,0.42037,1,moderate occlusion,true
8e858459,8e858459:20,88978f84,20,7,00:00:07,2025-01-23T10:23:27,10:23:27,0.488281,0.436111,1,moderate occlusion,true
8e858459,8e858459:20,88978f84,20,8,00:00:08,2025-01-23T10:23:28,10:23:28,0.495052,0.428704,1,moderate occlusion,true
8e858459,8e858459:20,88978f84,20,9,00:00:09,2025-01-23T10:23:29,10:23:29,0.490885,0.441667,1,moderate occlusion,true
8e858459,8e858459:20,88978f84,20,10,00:00:10,2025-01-23T10:23:30,10:23:30,0.489323,0.439815,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,11,00:00:11,2025-01-23T10:23:31,10:23:31,0.489844,0.430556,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,12,00:00:12,2025-01-23T10:23:32,10:23:32,0.490104,0.440741,1,moderate occlusion,true
8e858459,8e858459:20,88978f84,20,13,00:00:13,2025-01-23T10:23:33,10:23:33,0.489844,0.439815,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,14,00:00:14,2025-01-23T10:23:34,10:23:34,0.489063,0.438889,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,15,00:00:15,2025-01-23T10:23:35,10:23:35,0.488802,0.438889,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,16,00:00:16,2025-01-23T10:23:36,10:23:36,0.489583,0.438889,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,17,00:00:17,2025-01-23T10:23:37,10:23:37,0.489583,0.437037,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,18,00:00:18,2025-01-23T10:23:38,10:23:38,0.489583,0.436111,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,19,00:00:19,2025-01-23T10:23:39,10:23:39,0.489844,0.435185,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,20,00:00:20,2025-01-23T10:23:40,10:23:40,0.490104,0.439815,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,21,00:00:21,2025-01-23T10:23:41,10:23:41,0.490104,0.438889,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,22,00:00:22,2025-01-23T10:23:42,10:23:42,0.490625,0.438889,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,23,00:00:23,2025-01-23T10:23:43,10:23:43,0.490365,0.440741,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,24,00:00:24,2025-01-23T10:23:44,10:23:44,0.490365,0.437963,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,25,00:00:25,2025-01-23T10:23:45,10:23:45,0.490365,0.437963,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,26,00:00:26,2025-01-23T10:23:46,10:23:46,0.490104,0.432407,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,27,00:00:27,2025-01-23T10:23:47,10:23:47,0.490104,0.430556,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,28,00:00:28,2025-01-23T10:23:48,10:23:48,0.490365,0.435185,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,29,00:00:29,2025-01-23T10:23:49,10:23:49,0.490104,0.436111,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,30,00:00:30,2025-01-23T10:23:50,10:23:50,0.488802,0.437037,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,31,00:00:31,2025-01-23T10:23:51,10:23:51,0.488802,0.436111,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,32,00:00:32,2025-01-23T10:23:52,10:23:52,0.490365,0.437037,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,33,00:00:33,2025-01-23T10:23:53,10:23:53,0.491146,0.440741,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,34,00:00:34,2025-01-23T10:23:54,10:23:54,0.489583,0.417593,0,light occlusion,true
8e858459,8e858459:20,88978f84,20,35,00:00:35,2025-01-23T10:23:55,10:23:55,0.490104,0.388889,1,moderate occlusion,false
8e858459,8e858459:25,d20585c7,25,6,00:00:06,2025-01-23T10:23:26,10:23:26,0.489063,0.439815,1,moderate occlusion,true
8e858459,8e858459:27,e6ab2278,27,6,00:00:06,2025-01-23T10:23:26,10:23:26,0.579688,0.302778,1,moderate occlusion,false
8e858459,8e858459:27,e6ab2278,27,7,00:00:07,2025-01-23T10:23:27,10:23:27,0.572135,0.322222,1,moderate occlusion,true
8e858459,8e858459:27,e6ab2278,27,8,00:00:08,2025-01-23T10:23:28,10:23:28,0.509635,0.298148,1,moderate occlusion,false
8e858459,8e858459:27,e6ab2278,27,9,00:00:09,2025-01-23T10:23:29,10:23:29,0.505208,0.285185,1,moderate occlusion,false
8e858459,8e858459:41,a9651f0f,41,8,00:00:08,2025-01-23T10:23:28,10:23:28,0.182552,0.972222,2,heavy occlusion,false
8e858459,8e858459:41,a9651f0f,41,9,00:00:09,2025-01-23T10:23:29,10:23:29,0.183073,0.971296,2,heavy occlusion,false
8e858459,8e858459:41,a9651f0f,41,10,00:00:10,2025-01-23T10:23:30,10:23:30,0.181771,0.968519,2,heavy occlusion,false
8e858459,8e858459:44,06fbe973,44,9,00:00:09,2025-01-23T10:23:29,10:23:29,0.438281,0.511111,0,light occlusion,true
8e858459,8e858459:44,06fbe973,44,10,00:00:10,2025-01-23T10:23:30,10:23:30,0.432031,0.608333,0,light occlusion,true
8e858459,8e858459:44,06fbe973,44,11,00:00:11,2025-01-23T10:23:31,10:23:31,0.463802,0.758333,1,moderate occlusion,true
8e858459,8e858459:44,06fbe973,44,12,00:00:12,2025-01-23T10:23:32,10:23:32,0.569271,0.902778,0,light occlusion,false
8e858459,8e858459:44,06fbe973,44,13,00:00:13,2025-01-23T10:23:33,10:23:33,0.659375,0.937963,0,light occlusion,false
8e858459,8e858459:44,06fbe973,44,14,00:00:14,2025-01-23T10:23:34,10:23:34,0.678906,0.943519,0,light occlusion,false
8e858459,8e858459:44,06fbe973,44,15,00:00:15,2025-01-23T10:23:35,10:23:35,0.696094,0.9,0,light occlusion,false
8e858459,8e858459:44,06fbe973,44,16,00:00:16,2025-01-23T10:23:36,10:23:36,0.696875,0.915741,0,light occlusion,false
8e858459,8e858459:44,06fbe973,44,17,00:00:17,2025-01-23T10:23:37,10:23:37,0.738542,0.878704,0,light occlusion,false
8e858459,8e858459:47,b8bb0baf,47,9,00:00:09,2025-01-23T10:23:29,10:23:29,0.500781,0.293519,1,moderate occlusion,false
8e858459,8e858459:47,b8bb0baf,47,10,00:00:10,2025-01-23T10:23:30,10:23:30,0.511719,0.283333,1,moderate occlusion,false
8e858459,8e858459:47,b8bb0baf,47,11,00:00:11,2025-01-23T10:23:31,10:23:31,0.536979,0.273148,0,light occlusion,false
8e858459,8e858459:47,b8bb0baf,47,12,00:00:12,2025-01-23T10:23:32,10:23:32,0.546615,0.255556,0,light occlusion,false
8e858459,8e858459:51,5e431f85,51,10,00:00:10,2025-01-23T10:23:30,10:23:30,0.431771,0.611111,1,moderate occlusion,true
8e858459,8e858459:51,5e431f85,51,11,00:00:11,2025-01-23T10:23:31,10:23:31,0.434635,0.626852,0,light occlusion,true
8e858459,8e858459:59,e226ba45,59,23,00:00:23,2025-01-23T10:23:43,10:23:43,0.177865,0.975,2,heavy occlusion,false
8e858459,8e858459:59,e226ba45,59,24,00:00:24,2025-01-23T10:23:44,10:23:44,0.177604,0.974074,2,heavy occlusion,false
8e858459,8e858459:59,e226ba45,59,25,00:00:25,2025-01-23T10:23:45,10:23:45,0.178125,0.975926,2,heavy occlusion,false
8e858459,8e858459:59,e226ba45,59,26,00:00:26,2025-01-23T10:23:46,10:23:46,0.178906,0.964815,2,heavy occlusion,false
8e858459,8e858459:59,e226ba45,59,27,00:00:27,2025-01-23T10:23:47,10:23:47,0.179167,0.963889,2,heavy occlusion,false
8e858459,8e858459:61,a01a8576,61,27,00:00:27,2025-01-23T10:23:47,10:23:47,0.141406,0.423148,0,light occlusion,false
8e858459,8e858459:63,f93cb139,63,27,00:00:27,2025-01-23T10:23:47,10:23:47,0.160677,0.42037,0,light occlusion,false
8e858459,8e858459:65,2290ae03,65,28,00:00:28,2025-01-23T10:23:48,10:23:48,0.189844,0.371296,0,light occlusion,false
8e858459,8e858459:67,2d6c51ef,67,29,00:00:29,2025-01-23T10:23:49,10:23:49,0.245573,0.327778,0,light occlusion,false
8e858459,8e858459:67,2d6c51ef,67,30,00:00:30,2025-01-23T10:23:50,10:23:50,0.28099,0.315741,0,light occlusion,false
8e858459,8e858459:67,2d6c51ef,67,31,00:00:31,2025-01-23T10:23:51,10:23:51,0.31224,0.292593,0,light occlusion,false
8e858459,8e858459:67,2d6c51ef,67,32,00:00:32,2025-01-23T10:23:52,10:23:52,0.339844,0.268519,0,light occlusion,false
8e858459,8e858459:67,2d6c51ef,67,33,00:00:33,2025-01-23T10:23:53,10:23:53,0.35,0.275,0,light occlusion,false
8e858459,8e858459:68,c96f3d82,68,31,00:00:31,2025-01-23T10:23:51,10:23:51,0.177083,0.973148,2,heavy occlusion,false
8e858459,8e858459:68,c96f3d82,68,32,00:00:32,2025-01-23T10:23:52,10:23:52,0.180729,0.962963,2,heavy occlusion,false
8e858459,8e858459:68,c96f3d82,68,33,00:00:33,2025-01-23T10:23:53,10:23:53,0.180729,0.964815,2,heavy occlusion,false
8e858459,8e858459:68,c96f3d82,68,34,00:00:34,2025-01-23T10:23:54,10:23:54,0.179688,0.971296,2,heavy occlusion,false
8e858459,8e858459:68,c96f3d82,68,35,00:00:35,2025-01-23T10:23:55,10:23:55,0.177865,0.974074,2,heavy occlusion,false
8e858459,8e858459:68,c96f3d82,68,36,00:00:36,2025-01-23T10:23:56,10:23:56,0.179427,0.973148,2,heavy occlusion,false
8e858459,8e858459:71,9afd5cf3,71,32,00:00:32,2025-01-23T10:23:52,10:23:52,0.743229,0.619444,0,light occlusion,true
8e858459,8e858459:71,9afd5cf3,71,33,00:00:33,2025-01-23T10:23:53,10:23:53,0.630208,0.642593,1,moderate occlusion,true
8e858459,8e858459:71,9afd5cf3,71,34,00:00:34,2025-01-23T10:23:54,10:23:54,0.51276,0.692593,0,light occlusion,true
8e858459,8e858459:71,9afd5cf3,71,35,00:00:35,2025-01-23T10:23:55,10:23:55,0.455208,0.650926,0,light occlusion,true
8e858459,8e858459:71,9afd5cf3,71,36,00:00:36,2025-01-23T10:23:56,10:23:56,0.467448,0.549074,1,moderate occlusion,true
8e858459,8e858459:71,9afd5cf3,71,37,00:00:37,2025-01-23T10:23:57,10:23:57,0.485938,0.508333,0,light occlusion,true
8e858459,8e858459:71,9afd5cf3,71,38,00:00:38,2025-01-23T10:23:58,10:23:58,0.489583,0.437963,0,light occlusion,true
8e858459,8e858459:71,9afd5cf3,71,39,00:00:39,2025-01-23T10:23:59,10:23:59,0.489583,0.44537,0,light occlusion,true
8e858459,8e858459:71,9afd5cf3,71,40,00:00:40,2025-01-23T10:24:00,10:24:00,0.49974,0.431481,0,light occlusion,true
8e858459,8e858459:74,0dcc7977,74,34,00:00:34,2025-01-23T10:23:54,10:23:54,0.392448,0.262963,0,light occlusion,false
8e858459,8e858459:74,0dcc7977,74,35,00:00:35,2025-01-23T10:23:55,10:23:55,0.410938,0.242593,0,light occlusion,false
8e858459,8e858459:74,0dcc7977,74,36,00:00:36,2025-01-23T10:23:56,10:23:56,0.430208,0.224074,0,light occlusion,false
8e858459,8e858459:74,0dcc7977,74,37,00:00:37,2025-01-23T10:23:57,10:23:57,0.435156,0.225926,0,light occlusion,false
8e858459,8e858459:74,0dcc7977,74,38,00:00:38,2025-01-23T10:23:58,10:23:58,0.454427,0.217593,0,light occlusion,false
8e858459,8e858459:76,777de07a,76,36,00:00:36,2025-01-23T10:23:56,10:23:56,0.489844,0.424074,1,moderate occlusion,true
8e858459,8e858459:76,777de07a,76,37,00:00:37,2025-01-23T10:23:57,10:23:57,0.489583,0.412963,2,heavy occlusion,false
8e858459,8e858459:86,32710a54,86,39,00:00:39,2025-01-23T10:23:59,10:23:59,0.535417,0.17963,0,light occlusion,false
8e858459,8e858459:88,37f2282b,88,39,00:00:39,2025-01-23T10:23:59,10:23:59,0.154427,0.562963,0,light occlusion,false
8e858459,8e858459:88,37f2282b,88,40,00:00:40,2025-01-23T10:24:00,10:24:00,0.246094,0.518519,0,light occlusion,false
8e858459,8e858459:88,37f2282b,88,41,00:00:41,2025-01-23T10:24:01,10:24:01,0.303125,0.497222,2,heavy occlusion,false
8e858459,8e858459:94,e8a48ab3,94,42,00:00:42,2025-01-23T10:24:02,10:24:02,0.413021,0.459259,0,light occlusion,false
8e858459,8e858459:94,e8a48ab3,94,43,00:00:43,2025-01-23T10:24:03,10:24:03,0.497656,0.437963,0,light occlusion,true
8e858459,8e858459:94,e8a48ab3,94,44,00:00:44,2025-01-23T10:24:04,10:24:04,0.53776,0.412963,2,heavy occlusion,true
8e858459,8e858459:109,3c163986,109,46,00:00:46,2025-01-23T10:24:06,10:24:06,0.608073,0.221296,1,moderate occlusion,false
8e858459,8e858459:111,90a2307f,111,46,00:00:46,2025-01-23T10:24:06,10:24:06,0.598698,0.24537,1,moderate occlusion,false
8e858459,8e858459:111,90a2307f,111,47,00:00:47,2025-01-23T10:24:07,10:24:07,0.602083,0.248148,1,moderate occlusion,false
8e858459,8e858459:112,71bfa9dc,112,46,00:00:46,2025-01-23T10:24:06,10:24:06,0.36901,0.243519,0,light occlusion,false
8e858459,8e858459:112,71bfa9dc,112,47,00:00:47,2025-01-23T10:24:07,10:24:07,0.367448,0.24537,0,light occlusion,false
8e858459,8e858459:123,20e60aa8,123,49,00:00:49,2025-01-23T10:24:09,10:24:09,0.58776,0.315741,1,moderate occlusion,false
8e858459,8e858459:123,20e60aa8,123,50,00:00:50,2025-01-23T10:24:10,10:24:10,0.592187,0.319444,1,moderate occlusion,false
8e858459,8e858459:124,6c6f854f,124,49,00:00:49,2025-01-23T10:24:09,10:24:09,0.369271,0.277778,0,light occlusion,false
8e858459,8e858459:124,6c6f854f,124,50,00:00:50,2025-01-23T10:24:10,10:24:10,0.366927,0.268519,0,light occlusion,false
8e858459,8e858459:127,a5440246,127,50,00:00:50,2025-01-23T10:24:10,10:24:10,0.430208,0.22037,0,light occlusion,false
8e858459,8e858459:127,a5440246,127,51,00:00:51,2025-01-23T10:24:11,10:24:11,0.419531,0.235185,0,light occlusion,false
8e858459,8e858459:127,a5440246,127,52,00:00:52,2025-01-23T10:24:12,10:24:12,0.395052,0.237037,0,light occlusion,false
8e858459,8e858459:127,a5440246,127,53,00:00:53,2025-01-23T10:24:13,10:24:13,0.373958,0.257407,0,light occlusion,false
8e858459,8e858459:127,a5440246,127,54,00:00:54,2025-01-23T10:24:14,10:24:14,0.370573,0.264815,0,light occlusion,false
8e858459,8e858459:138,2a426654,138,53,00:00:53,2025-01-23T10:24:13,10:24:13,0.364844,0.263889,0,light occlusion,false
8e858459,8e858459:138,2a426654,138,54,00:00:54,2025-01-23T10:24:14,10:24:14,0.353906,0.265741,0,light occlusion,false
8e858459,8e858459:144,8f64be54,144,54,00:00:54,2025-01-23T10:24:14,10:24:14,0.530469,0.437037,1,moderate occlusion,true
8e858459,8e858459:144,8f64be54,144,55,00:00:55,2025-01-23T10:24:15,10:24:15,0.501302,0.44537,1,moderate occlusion,true
8e858459,8e858459:144,8f64be54,144,56,00:00:56,2025-01-23T10:24:16,10:24:16,0.483333,0.525,1,moderate occlusion,true
8e858459,8e858459:144,8f64be54,144,57,00:00:57,2025-01-23T10:24:17,10:24:17,0.461719,0.577778,0,light occlusion,true
8e858459,8e858459:144,8f64be54,144,58,00:00:58,2025-01-23T10:24:18,10:24:18,0.463542,0.652778,0,light occlusion,true
8e858459,8e858459:144,8f64be54,144,59,00:00:59,2025-01-23T10:24:19,10:24:19,0.490885,0.72963,1,moderate occlusion,true
