eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
9a2b6e9a,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:20 AM,0.0,00:00:00,1,1,2,heavy occlusion,Heavy occlusion pedestrian ID #1 detected at frame 1
e793e78d,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:20 AM,0.73,00:00:00,6,12,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 12
5c7cf409,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:21 AM,1.2,00:00:01,8,19,0,light occlusion,Light occlusion pedestrian ID #8 detected at frame 19
c0aadbc9,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:21 AM,1.33,00:00:01,9,21,0,light occlusion,Light occlusion pedestrian ID #9 detected at frame 21
b1057f0c,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:21 AM,1.8,00:00:01,12,28,2,heavy occlusion,Heavy occlusion pedestrian ID #12 detected at frame 28
d3430b04,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:22 AM,2.27,00:00:02,14,35,1,moderate occlusion,Moderate occlusion pedestrian ID #14 detected at frame 35
cba734be,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:22 AM,2.8,00:00:02,15,43,1,moderate occlusion,Moderate occlusion pedestrian ID #15 detected at frame 43
46b645f1,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:26 AM,6.13,00:00:06,21,93,1,moderate occlusion,Moderate occlusion pedestrian ID #21 detected at frame 93
8b69b282,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:26 AM,6.2,00:00:06,22,94,0,light occlusion,Light occlusion pedestrian ID #22 detected at frame 94
cdd69479,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:26 AM,6.27,00:00:06,23,95,1,moderate occlusion,Moderate occlusion pedestrian ID #23 detected at frame 95
88e37f00,916bd20d,detection,Ateneo Gate 1 Entrance,10:23:27 AM,7.67,00:00:07,28,116,0,light occlusion,Light occlusion pedestrian ID #28 detected at frame 116
