videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
916bd20d,916bd20d:1,929a9b05,1,0.0,1.53,1.53,2025-01-23T10:23:20,2025-01-23T10:23:21,10:23:20 AM,10:23:21 AM,10:23:21 AM,2,2,2,storage/videos/processed/916bd20d/tracks/track-1.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
916bd20d,916bd20d:6,6b031dc1,6,0.73,1.2,0.73,2025-01-23T10:23:20,2025-01-23T10:23:21,10:23:20 AM,10:23:21 AM,10:23:20 AM,2,2,0,storage/videos/processed/916bd20d/tracks/track-6.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
916bd20d,916bd20d:8,9afe0c07,8,1.2,4.4,1.73,2025-01-23T10:23:21,2025-01-23T10:23:24,10:23:21 AM,10:23:24 AM,10:23:21 AM,4,4,2,storage/videos/processed/916bd20d/tracks/track-8.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
916bd20d,916bd20d:9,73e31dd8,9,1.33,6.93,6.87,2025-01-23T10:23:21,2025-01-23T10:23:26,10:23:21 AM,10:23:26 AM,10:23:26 AM,6,6,0,storage/videos/processed/916bd20d/tracks/track-9.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
916bd20d,916bd20d:12,0221a1b4,12,1.8,2.6,2.6,2025-01-23T10:23:21,2025-01-23T10:23:22,10:23:21 AM,10:23:22 AM,10:23:22 AM,2,0,2,storage/videos/processed/916bd20d/tracks/track-12.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows heavy occlusion."
916bd20d,916bd20d:14,2794cac8,14,2.27,6.47,3.07,2025-01-23T10:23:22,2025-01-23T10:23:26,10:23:22 AM,10:23:26 AM,10:23:23 AM,5,4,1,storage/videos/processed/916bd20d/tracks/track-14.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
916bd20d,916bd20d:15,206ad260,15,2.8,3.2,2.8,2025-01-23T10:23:22,2025-01-23T10:23:23,10:23:22 AM,10:23:23 AM,10:23:22 AM,2,2,1,storage/videos/processed/916bd20d/tracks/track-15.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
916bd20d,916bd20d:21,14756139,21,6.13,8.27,6.13,2025-01-23T10:23:26,2025-01-23T10:23:28,10:23:26 AM,10:23:28 AM,10:23:26 AM,3,3,1,storage/videos/processed/916bd20d/tracks/track-21.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
916bd20d,916bd20d:22,bb0d2962,22,6.2,7.33,6.33,2025-01-23T10:23:26,2025-01-23T10:23:27,10:23:26 AM,10:23:27 AM,10:23:26 AM,2,2,0,storage/videos/processed/916bd20d/tracks/track-22.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
916bd20d,916bd20d:23,ae2b05c7,23,6.27,6.27,6.27,2025-01-23T10:23:26,2025-01-23T10:23:26,10:23:26 AM,10:23:26 AM,10:23:26 AM,1,1,1,storage/videos/processed/916bd20d/tracks/track-23.jpg,,"Representative crop suggests head region appears blue, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
916bd20d,916bd20d:28,17b8f9a1,28,7.67,14.53,13.4,2025-01-23T10:23:27,2025-01-23T10:23:34,10:23:27 AM,10:23:34 AM,10:23:33 AM,8,6,2,storage/videos/processed/916bd20d/tracks/track-28.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
916bd20d,916bd20d:32,6290865d,32,9.13,17.67,9.13,2025-01-23T10:23:29,2025-01-23T10:23:37,10:23:29 AM,10:23:37 AM,10:23:29 AM,9,0,0,storage/videos/processed/916bd20d/tracks/track-32.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
916bd20d,916bd20d:35,70e0ef56,35,10.73,11.27,10.8,2025-01-23T10:23:30,2025-01-23T10:23:31,10:23:30 AM,10:23:31 AM,10:23:30 AM,2,2,0,storage/videos/processed/916bd20d/tracks/track-35.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
916bd20d,916bd20d:39,1600761f,39,13.0,17.27,13.0,2025-01-23T10:23:33,2025-01-23T10:23:37,10:23:33 AM,10:23:37 AM,10:23:33 AM,4,4,0,storage/videos/processed/916bd20d/tracks/track-39.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
916bd20d,916bd20d:40,b9675218,40,13.07,13.73,13.13,2025-01-23T10:23:33,2025-01-23T10:23:33,10:23:33 AM,10:23:33 AM,10:23:33 AM,1,1,0,storage/videos/processed/916bd20d/tracks/track-40.jpg,,"Representative crop suggests head region appears white, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
916bd20d,916bd20d:41,7d52781a,41,14.47,15.27,14.47,2025-01-23T10:23:34,2025-01-23T10:23:35,10:23:34 AM,10:23:35 AM,10:23:34 AM,2,0,2,storage/videos/processed/916bd20d/tracks/track-41.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears black. Visibility shows moderate occlusion."
916bd20d,916bd20d:46,a64a5035,46,15.33,22.87,21.93,2025-01-23T10:23:35,2025-01-23T10:23:42,10:23:35 AM,10:23:42 AM,10:23:41 AM,8,6,2,storage/videos/processed/916bd20d/tracks/track-46.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
916bd20d,916bd20d:55,4f3917c7,55,18.4,22.33,21.53,2025-01-23T10:23:38,2025-01-23T10:23:42,10:23:38 AM,10:23:42 AM,10:23:41 AM,5,3,2,storage/videos/processed/916bd20d/tracks/track-55.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
916bd20d,916bd20d:61,9a0ab954,61,19.67,30.6,29.6,2025-01-23T10:23:39,2025-01-23T10:23:50,10:23:39 AM,10:23:50 AM,10:23:49 AM,12,9,2,storage/videos/processed/916bd20d/tracks/track-61.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
916bd20d,916bd20d:64,e559f26f,64,19.8,23.0,20.93,2025-01-23T10:23:39,2025-01-23T10:23:43,10:23:39 AM,10:23:43 AM,10:23:40 AM,5,0,0,storage/videos/processed/916bd20d/tracks/track-64.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
916bd20d,916bd20d:76,73409cb1,76,21.33,21.53,21.47,2025-01-23T10:23:41,2025-01-23T10:23:41,10:23:41 AM,10:23:41 AM,10:23:41 AM,1,0,1,storage/videos/processed/916bd20d/tracks/track-76.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
916bd20d,916bd20d:82,d360ecb7,82,22.4,22.53,22.47,2025-01-23T10:23:42,2025-01-23T10:23:42,10:23:42 AM,10:23:42 AM,10:23:42 AM,1,0,1,storage/videos/processed/916bd20d/tracks/track-82.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
916bd20d,916bd20d:87,178517cc,87,23.07,31.4,31.4,2025-01-23T10:23:43,2025-01-23T10:23:51,10:23:43 AM,10:23:51 AM,10:23:51 AM,9,7,2,storage/videos/processed/916bd20d/tracks/track-87.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
916bd20d,916bd20d:92,7e674eb1,92,28.27,32.13,31.33,2025-01-23T10:23:48,2025-01-23T10:23:52,10:23:48 AM,10:23:52 AM,10:23:51 AM,5,3,2,storage/videos/processed/916bd20d/tracks/track-92.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears brown. Visibility shows heavy occlusion."
916bd20d,916bd20d:97,42c244c1,97,28.8,28.8,28.8,2025-01-23T10:23:48,2025-01-23T10:23:48,10:23:48 AM,10:23:48 AM,10:23:48 AM,1,1,1,storage/videos/processed/916bd20d/tracks/track-97.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
916bd20d,916bd20d:121,79865fc5,121,32.07,33.07,32.07,2025-01-23T10:23:52,2025-01-23T10:23:53,10:23:52 AM,10:23:53 AM,10:23:52 AM,2,0,2,storage/videos/processed/916bd20d/tracks/track-121.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
916bd20d,916bd20d:124,70ed3e0b,124,36.53,44.4,44.0,2025-01-23T10:23:56,2025-01-23T10:24:04,10:23:56 AM,10:24:04 AM,10:24:04 AM,9,7,2,storage/videos/processed/916bd20d/tracks/track-124.jpg,,"Representative crop suggests head region appears gray, upper clothing appears green, lower clothing appears cyan. Visibility shows moderate occlusion."
916bd20d,916bd20d:125,f7be1691,125,36.93,37.0,37.0,2025-01-23T10:23:56,2025-01-23T10:23:57,10:23:56 AM,10:23:57 AM,10:23:57 AM,2,2,0,storage/videos/processed/916bd20d/tracks/track-125.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
916bd20d,916bd20d:130,874a569d,130,40.13,40.33,40.13,2025-01-23T10:24:00,2025-01-23T10:24:00,10:24:00 AM,10:24:00 AM,10:24:00 AM,1,1,1,storage/videos/processed/916bd20d/tracks/track-130.jpg,,"Representative crop suggests head region appears gray, upper clothing appears white, lower clothing appears gray. Visibility shows light occlusion."
