eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
16950600,d03fc8c9,detection,EDSA Sec Walk,9:03:00 AM,0.0,00:00:00,2,1,0,light occlusion,Light occlusion pedestrian ID #2 detected at frame 1
7dfe9a88,d03fc8c9,detection,EDSA Sec Walk,9:03:00 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
7e5ff5a0,d03fc8c9,detection,EDSA Sec Walk,9:03:00 AM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
3585f9e6,d03fc8c9,detection,EDSA Sec Walk,9:03:01 AM,1.2,00:00:01,11,19,0,light occlusion,Light occlusion pedestrian ID #11 detected at frame 19
bf728b88,d03fc8c9,detection,EDSA Sec Walk,9:03:01 AM,1.47,00:00:01,18,23,0,light occlusion,Light occlusion pedestrian ID #18 detected at frame 23
519803a0,d03fc8c9,detection,EDSA Sec Walk,9:03:02 AM,2.2,00:00:02,22,34,0,light occlusion,Light occlusion pedestrian ID #22 detected at frame 34
ed38c0e8,d03fc8c9,detection,EDSA Sec Walk,9:03:03 AM,3.53,00:00:03,26,54,0,light occlusion,Light occlusion pedestrian ID #26 detected at frame 54
f54c2e1b,d03fc8c9,detection,EDSA Sec Walk,9:03:04 AM,4.27,00:00:04,29,65,0,light occlusion,Light occlusion pedestrian ID #29 detected at frame 65
74188619,d03fc8c9,detection,EDSA Sec Walk,9:03:11 AM,11.53,00:00:11,49,174,0,light occlusion,Light occlusion pedestrian ID #49 detected at frame 174
5c1e4224,d03fc8c9,detection,EDSA Sec Walk,9:03:12 AM,12.2,00:00:12,50,184,1,moderate occlusion,Moderate occlusion pedestrian ID #50 detected at frame 184
32f6be29,d03fc8c9,detection,EDSA Sec Walk,9:03:12 AM,12.27,00:00:12,51,185,0,light occlusion,Light occlusion pedestrian ID #51 detected at frame 185
4039a25b,d03fc8c9,detection,EDSA Sec Walk,9:03:12 AM,12.47,00:00:12,55,188,0,light occlusion,Light occlusion pedestrian ID #55 detected at frame 188
768de264,d03fc8c9,detection,EDSA Sec Walk,9:03:13 AM,13.53,00:00:13,61,204,2,heavy occlusion,Heavy occlusion pedestrian ID #61 detected at frame 204
3a894c4e,d03fc8c9,detection,EDSA Sec Walk,9:03:13 AM,13.73,00:00:13,62,207,0,light occlusion,Light occlusion pedestrian ID #62 detected at frame 207
91dc49d2,d03fc8c9,detection,EDSA Sec Walk,9:03:15 AM,15.13,00:00:15,72,228,0,light occlusion,Light occlusion pedestrian ID #72 detected at frame 228
89e8a9a0,d03fc8c9,detection,EDSA Sec Walk,9:03:18 AM,18.33,00:00:18,86,276,1,moderate occlusion,Moderate occlusion pedestrian ID #86 detected at frame 276
64766077,d03fc8c9,detection,EDSA Sec Walk,9:03:21 AM,21.0,00:00:21,118,316,0,light occlusion,Light occlusion pedestrian ID #118 detected at frame 316
fe87055c,d03fc8c9,detection,EDSA Sec Walk,9:03:21 AM,21.0,00:00:21,119,316,0,light occlusion,Light occlusion pedestrian ID #119 detected at frame 316
ac266cbc,d03fc8c9,detection,EDSA Sec Walk,9:03:22 AM,22.33,00:00:22,123,336,0,light occlusion,Light occlusion pedestrian ID #123 detected at frame 336
0f87fa8a,d03fc8c9,detection,EDSA Sec Walk,9:03:22 AM,22.53,00:00:22,124,339,2,heavy occlusion,Heavy occlusion pedestrian ID #124 detected at frame 339
f49ed554,d03fc8c9,detection,EDSA Sec Walk,9:03:23 AM,23.06,00:00:23,131,347,1,moderate occlusion,Moderate occlusion pedestrian ID #131 detected at frame 347
e7b744f5,d03fc8c9,detection,EDSA Sec Walk,9:03:23 AM,23.26,00:00:23,135,350,0,light occlusion,Light occlusion pedestrian ID #135 detected at frame 350
24c034c7,d03fc8c9,detection,EDSA Sec Walk,9:03:24 AM,24.33,00:00:24,141,366,0,light occlusion,Light occlusion pedestrian ID #141 detected at frame 366
6ea18603,d03fc8c9,detection,EDSA Sec Walk,9:03:24 AM,24.46,00:00:24,143,368,0,light occlusion,Light occlusion pedestrian ID #143 detected at frame 368
cd6e11f3,d03fc8c9,detection,EDSA Sec Walk,9:03:24 AM,24.93,00:00:24,146,375,0,light occlusion,Light occlusion pedestrian ID #146 detected at frame 375
8c9217d5,d03fc8c9,detection,EDSA Sec Walk,9:03:25 AM,25.13,00:00:25,148,378,0,light occlusion,Light occlusion pedestrian ID #148 detected at frame 378
00663528,d03fc8c9,detection,EDSA Sec Walk,9:03:26 AM,26.53,00:00:26,156,399,0,light occlusion,Light occlusion pedestrian ID #156 detected at frame 399
6f5283f1,d03fc8c9,detection,EDSA Sec Walk,9:03:27 AM,27.2,00:00:27,167,409,0,light occlusion,Light occlusion pedestrian ID #167 detected at frame 409
edbd4e12,d03fc8c9,detection,EDSA Sec Walk,9:03:27 AM,27.2,00:00:27,168,409,0,light occlusion,Light occlusion pedestrian ID #168 detected at frame 409
94fe35da,d03fc8c9,detection,EDSA Sec Walk,9:03:28 AM,28.33,00:00:28,188,426,1,moderate occlusion,Moderate occlusion pedestrian ID #188 detected at frame 426
c98faaa8,d03fc8c9,detection,EDSA Sec Walk,9:03:29 AM,29.66,00:00:29,190,446,0,light occlusion,Light occlusion pedestrian ID #190 detected at frame 446
05ad3d59,d03fc8c9,detection,EDSA Sec Walk,9:03:29 AM,29.86,00:00:29,194,449,0,light occlusion,Light occlusion pedestrian ID #194 detected at frame 449
ba4c2598,d03fc8c9,detection,EDSA Sec Walk,9:03:30 AM,30.53,00:00:30,199,459,0,light occlusion,Light occlusion pedestrian ID #199 detected at frame 459
1bb9a24c,d03fc8c9,detection,EDSA Sec Walk,9:03:32 AM,32.66,00:00:32,207,491,1,moderate occlusion,Moderate occlusion pedestrian ID #207 detected at frame 491
f91bc7c6,d03fc8c9,detection,EDSA Sec Walk,9:03:33 AM,33.8,00:00:33,216,508,0,light occlusion,Light occlusion pedestrian ID #216 detected at frame 508
070876f8,d03fc8c9,detection,EDSA Sec Walk,9:03:33 AM,33.93,00:00:33,221,510,0,light occlusion,Light occlusion pedestrian ID #221 detected at frame 510
