startOffsetSeconds,endOffsetSeconds,severity,score
0.0,3.0,moderate,33.43
3.0,12.0,light,28.69
12.0,15.0,moderate,33.43
15.0,21.0,light,27.5
21.0,48.0,moderate,60.4
48.0,54.0,heavy,70.95
54.0,84.0,moderate,64.45
84.0,87.0,heavy,70.34
87.0,150.0,moderate,60.27
150.0,183.0,light,27.51
183.0,186.0,moderate,34.61
186.0,189.0,light,28.69
189.0,192.0,moderate,55.79
192.0,195.0,heavy,88.26
195.0,213.0,moderate,65.36
213.0,225.0,heavy,86.53
225.0,231.0,moderate,60.28
231.0,240.0,heavy,85.49
240.0,255.0,moderate,64.45
255.0,261.0,heavy,71.34
261.0,288.0,moderate,59.26
288.0,291.0,heavy,66.01
291.0,297.0,moderate,65.36
297.0,300.0,heavy,87.75
