videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
d03fc8c9,d03fc8c9:1,01912012,1,0.0,25.0,0.07,2026-04-01T09:03:00,2026-04-01T09:03:25,9:03:00 AM,9:03:25 AM,9:03:00 AM,25,25,0,storage/videos/processed/d03fc8c9/tracks/track-1.jpg,,"Representative crop suggests head region appears gray, upper clothing appears purple, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:2,865dec61,2,0.0,13.6,12.6,2026-04-01T09:03:00,2026-04-01T09:03:13,9:03:00 AM,9:03:13 AM,9:03:12 AM,14,12,2,storage/videos/processed/d03fc8c9/tracks/track-2.jpg,,"Representative crop suggests head region appears gray, upper clothing appears purple, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:3,2c546b91,3,0.0,11.6,0.13,2026-04-01T09:03:00,2026-04-01T09:03:11,9:03:00 AM,9:03:11 AM,9:03:00 AM,12,12,0,storage/videos/processed/d03fc8c9/tracks/track-3.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:11,a2591d4e,11,1.2,2.0,1.2,2026-04-01T09:03:01,2026-04-01T09:03:02,9:03:01 AM,9:03:02 AM,9:03:01 AM,1,1,0,storage/videos/processed/d03fc8c9/tracks/track-11.jpg,,"Representative crop suggests head region appears blue, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:18,28db64fe,18,1.47,1.87,1.8,2026-04-01T09:03:01,2026-04-01T09:03:01,9:03:01 AM,9:03:01 AM,9:03:01 AM,1,1,0,storage/videos/processed/d03fc8c9/tracks/track-18.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:22,3348482e,22,2.2,2.33,2.27,2026-04-01T09:03:02,2026-04-01T09:03:02,9:03:02 AM,9:03:02 AM,9:03:02 AM,1,1,0,storage/videos/processed/d03fc8c9/tracks/track-22.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:26,725d0961,26,3.53,4.0,3.93,2026-04-01T09:03:03,2026-04-01T09:03:04,9:03:03 AM,9:03:04 AM,9:03:03 AM,1,1,0,storage/videos/processed/d03fc8c9/tracks/track-26.jpg,,"Representative crop suggests head region appears blue, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:29,8ae2aa44,29,4.27,5.13,4.27,2026-04-01T09:03:04,2026-04-01T09:03:05,9:03:04 AM,9:03:05 AM,9:03:04 AM,2,2,0,storage/videos/processed/d03fc8c9/tracks/track-29.jpg,,"Representative crop suggests head region appears purple, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:49,4848f684,49,11.53,12.27,11.93,2026-04-01T09:03:11,2026-04-01T09:03:12,9:03:11 AM,9:03:12 AM,9:03:11 AM,2,2,0,storage/videos/processed/d03fc8c9/tracks/track-49.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:50,eaeb1f48,50,12.2,18.53,13.53,2026-04-01T09:03:12,2026-04-01T09:03:18,9:03:12 AM,9:03:18 AM,9:03:13 AM,7,5,2,storage/videos/processed/d03fc8c9/tracks/track-50.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
d03fc8c9,d03fc8c9:51,3f737f4b,51,12.27,13.46,12.67,2026-04-01T09:03:12,2026-04-01T09:03:13,9:03:12 AM,9:03:13 AM,9:03:12 AM,2,2,0,storage/videos/processed/d03fc8c9/tracks/track-51.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:55,e60acfc0,55,12.47,13.86,12.6,2026-04-01T09:03:12,2026-04-01T09:03:13,9:03:12 AM,9:03:13 AM,9:03:12 AM,2,2,0,storage/videos/processed/d03fc8c9/tracks/track-55.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:61,cfad91a8,61,13.53,13.86,13.53,2026-04-01T09:03:13,2026-04-01T09:03:13,9:03:13 AM,9:03:13 AM,9:03:13 AM,1,0,2,storage/videos/processed/d03fc8c9/tracks/track-61.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows heavy occlusion."
d03fc8c9,d03fc8c9:62,d4484fba,62,13.73,16.46,14.0,2026-04-01T09:03:13,2026-04-01T09:03:16,9:03:13 AM,9:03:16 AM,9:03:14 AM,4,2,0,storage/videos/processed/d03fc8c9/tracks/track-62.jpg,,"Representative crop suggests head region appears blue, upper clothing appears purple, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:72,a769cb42,72,15.13,19.8,15.66,2026-04-01T09:03:15,2026-04-01T09:03:19,9:03:15 AM,9:03:19 AM,9:03:15 AM,5,5,0,storage/videos/processed/d03fc8c9/tracks/track-72.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:86,b97125fa,86,18.33,41.93,19.86,2026-04-01T09:03:18,2026-04-01T09:03:41,9:03:18 AM,9:03:41 AM,9:03:19 AM,24,23,1,storage/videos/processed/d03fc8c9/tracks/track-86.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
d03fc8c9,d03fc8c9:118,85929f3c,118,21.0,21.0,21.0,2026-04-01T09:03:21,2026-04-01T09:03:21,9:03:21 AM,9:03:21 AM,9:03:21 AM,1,1,0,storage/videos/processed/d03fc8c9/tracks/track-118.jpg,,"Representative crop suggests head region appears gray, upper clothing appears purple, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:119,06200fd2,119,21.0,22.93,22.6,2026-04-01T09:03:21,2026-04-01T09:03:22,9:03:21 AM,9:03:22 AM,9:03:22 AM,3,3,0,storage/videos/processed/d03fc8c9/tracks/track-119.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:123,93ba3992,123,22.33,38.0,37.53,2026-04-01T09:03:22,2026-04-01T09:03:38,9:03:22 AM,9:03:38 AM,9:03:37 AM,16,16,0,storage/videos/processed/d03fc8c9/tracks/track-123.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:124,f31e1144,124,22.53,23.26,23.0,2026-04-01T09:03:22,2026-04-01T09:03:23,9:03:22 AM,9:03:23 AM,9:03:23 AM,2,2,2,storage/videos/processed/d03fc8c9/tracks/track-124.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
d03fc8c9,d03fc8c9:131,b9fc8745,131,23.06,29.0,27.46,2026-04-01T09:03:23,2026-04-01T09:03:29,9:03:23 AM,9:03:29 AM,9:03:27 AM,6,4,2,storage/videos/processed/d03fc8c9/tracks/track-131.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
d03fc8c9,d03fc8c9:135,77a30037,135,23.26,23.66,23.66,2026-04-01T09:03:23,2026-04-01T09:03:23,9:03:23 AM,9:03:23 AM,9:03:23 AM,1,1,0,storage/videos/processed/d03fc8c9/tracks/track-135.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:141,b016caca,141,24.33,24.33,24.33,2026-04-01T09:03:24,2026-04-01T09:03:24,9:03:24 AM,9:03:24 AM,9:03:24 AM,1,1,0,storage/videos/processed/d03fc8c9/tracks/track-141.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:143,61dd62b1,143,24.46,26.4,25.13,2026-04-01T09:03:24,2026-04-01T09:03:26,9:03:24 AM,9:03:26 AM,9:03:25 AM,3,3,0,storage/videos/processed/d03fc8c9/tracks/track-143.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:146,daedb533,146,24.93,25.13,25.06,2026-04-01T09:03:24,2026-04-01T09:03:25,9:03:24 AM,9:03:25 AM,9:03:25 AM,2,2,0,storage/videos/processed/d03fc8c9/tracks/track-146.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:148,ae716eb6,148,25.13,25.4,25.13,2026-04-01T09:03:25,2026-04-01T09:03:25,9:03:25 AM,9:03:25 AM,9:03:25 AM,1,1,0,storage/videos/processed/d03fc8c9/tracks/track-148.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
d03fc8c9,d03fc8c9:156,f1b2ae4f,156,26.53,53.19,28.33,2026-04-01T09:03:26,2026-04-01T09:03:53,9:03:26 AM,9:03:53 AM,9:03:28 AM,28,27,1,storage/videos/processed/d03fc8c9/tracks/track-156.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows moderate occlusion."
d03fc8c9,d03fc8c9:167,35f63582,167,27.2,27.4,27.2,2026-04-01T09:03:27,2026-04-01T09:03:27,9:03:27 AM,9:03:27 AM,9:03:27 AM,1,1,1,storage/videos/processed/d03fc8c9/tracks/track-167.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
