eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
04a52e2a,ffccbf1e,detection,EDSA Sec Walk,11:05:51 AM,0.0,00:00:00,1,1,0,light occlusion,Light occlusion pedestrian ID #1 detected at frame 1
1c49a519,ffccbf1e,detection,EDSA Sec Walk,11:05:51 AM,0.0,00:00:00,2,1,0,light occlusion,Light occlusion pedestrian ID #2 detected at frame 1
99ead02d,ffccbf1e,detection,EDSA Sec Walk,11:05:51 AM,0.0,00:00:00,3,1,0,light occlusion,Light occlusion pedestrian ID #3 detected at frame 1
e20a5c6a,ffccbf1e,detection,EDSA Sec Walk,11:05:51 AM,0.0,00:00:00,5,1,0,light occlusion,Light occlusion pedestrian ID #5 detected at frame 1
e6ce128d,ffccbf1e,detection,EDSA Sec Walk,11:05:51 AM,0.0,00:00:00,4,1,0,light occlusion,Light occlusion pedestrian ID #4 detected at frame 1
fbd96f0a,ffccbf1e,detection,EDSA Sec Walk,11:05:51 AM,0.53,00:00:00,6,17,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 17
86d6e575,ffccbf1e,detection,EDSA Sec Walk,11:05:52 AM,1.1,00:00:01,11,34,0,light occlusion,Light occlusion pedestrian ID #11 detected at frame 34
55367c14,ffccbf1e,detection,EDSA Sec Walk,11:05:53 AM,2.33,00:00:02,18,71,0,light occlusion,Light occlusion pedestrian ID #18 detected at frame 71
1f7cc986,ffccbf1e,detection,EDSA Sec Walk,11:05:54 AM,3.73,00:00:03,28,113,0,light occlusion,Light occlusion pedestrian ID #28 detected at frame 113
9b6a349e,ffccbf1e,detection,EDSA Sec Walk,11:05:55 AM,4.57,00:00:04,39,138,1,moderate occlusion,Moderate occlusion pedestrian ID #39 detected at frame 138
fb851a56,ffccbf1e,detection,EDSA Sec Walk,11:05:55 AM,4.83,00:00:04,40,146,0,light occlusion,Light occlusion pedestrian ID #40 detected at frame 146
91f0db59,ffccbf1e,detection,EDSA Sec Walk,11:05:57 AM,6.13,00:00:06,46,185,0,light occlusion,Light occlusion pedestrian ID #46 detected at frame 185
6936adf6,ffccbf1e,detection,EDSA Sec Walk,11:05:57 AM,6.73,00:00:06,47,203,0,light occlusion,Light occlusion pedestrian ID #47 detected at frame 203
0eb91f9b,ffccbf1e,detection,EDSA Sec Walk,11:05:58 AM,7.13,00:00:07,48,215,0,light occlusion,Light occlusion pedestrian ID #48 detected at frame 215
587acba2,ffccbf1e,detection,EDSA Sec Walk,11:05:58 AM,7.53,00:00:07,49,227,0,light occlusion,Light occlusion pedestrian ID #49 detected at frame 227
68d66141,ffccbf1e,detection,EDSA Sec Walk,11:05:58 AM,7.93,00:00:07,59,239,0,light occlusion,Light occlusion pedestrian ID #59 detected at frame 239
eafe3184,ffccbf1e,detection,EDSA Sec Walk,11:05:59 AM,8.7,00:00:08,65,262,0,light occlusion,Light occlusion pedestrian ID #65 detected at frame 262
304478c7,ffccbf1e,detection,EDSA Sec Walk,11:05:59 AM,8.93,00:00:08,69,269,0,light occlusion,Light occlusion pedestrian ID #69 detected at frame 269
952ba839,ffccbf1e,detection,EDSA Sec Walk,11:06:06 AM,15.03,00:00:15,94,452,0,light occlusion,Light occlusion pedestrian ID #94 detected at frame 452
ea9811c2,ffccbf1e,detection,EDSA Sec Walk,11:06:06 AM,15.13,00:00:15,98,455,0,light occlusion,Light occlusion pedestrian ID #98 detected at frame 455
9855052e,ffccbf1e,detection,EDSA Sec Walk,11:06:07 AM,16.13,00:00:16,99,485,0,light occlusion,Light occlusion pedestrian ID #99 detected at frame 485
d130676f,ffccbf1e,detection,EDSA Sec Walk,11:06:08 AM,17.73,00:00:17,131,533,0,light occlusion,Light occlusion pedestrian ID #131 detected at frame 533
b7dc4971,ffccbf1e,detection,EDSA Sec Walk,11:06:09 AM,18.03,00:00:18,133,542,0,light occlusion,Light occlusion pedestrian ID #133 detected at frame 542
fbfd893b,ffccbf1e,detection,EDSA Sec Walk,11:06:10 AM,19.47,00:00:19,155,585,0,light occlusion,Light occlusion pedestrian ID #155 detected at frame 585
d6a6a4ac,ffccbf1e,detection,EDSA Sec Walk,11:06:13 AM,22.33,00:00:22,156,671,1,moderate occlusion,Moderate occlusion pedestrian ID #156 detected at frame 671
02e72f97,ffccbf1e,detection,EDSA Sec Walk,11:06:14 AM,23.93,00:00:23,167,719,0,light occlusion,Light occlusion pedestrian ID #167 detected at frame 719
458fd66a,ffccbf1e,detection,EDSA Sec Walk,11:06:14 AM,23.93,00:00:23,168,719,0,light occlusion,Light occlusion pedestrian ID #168 detected at frame 719
dce47a71,ffccbf1e,detection,EDSA Sec Walk,11:06:16 AM,25.83,00:00:25,171,776,1,moderate occlusion,Moderate occlusion pedestrian ID #171 detected at frame 776
be34ed15,ffccbf1e,detection,EDSA Sec Walk,11:06:17 AM,26.73,00:00:26,173,803,1,moderate occlusion,Moderate occlusion pedestrian ID #173 detected at frame 803
3a1af08b,ffccbf1e,detection,EDSA Sec Walk,11:06:18 AM,27.17,00:00:27,175,816,0,light occlusion,Light occlusion pedestrian ID #175 detected at frame 816
d9c400b0,ffccbf1e,detection,EDSA Sec Walk,11:06:18 AM,27.37,00:00:27,176,822,1,moderate occlusion,Moderate occlusion pedestrian ID #176 detected at frame 822
345ddd31,ffccbf1e,detection,EDSA Sec Walk,11:06:18 AM,27.53,00:00:27,177,827,1,moderate occlusion,Moderate occlusion pedestrian ID #177 detected at frame 827
0df13283,ffccbf1e,detection,EDSA Sec Walk,11:06:20 AM,29.17,00:00:29,179,876,1,moderate occlusion,Moderate occlusion pedestrian ID #179 detected at frame 876
01959543,ffccbf1e,detection,EDSA Sec Walk,11:06:23 AM,32.57,00:00:32,180,978,1,moderate occlusion,Moderate occlusion pedestrian ID #180 detected at frame 978
f9f8e12a,ffccbf1e,detection,EDSA Sec Walk,11:06:23 AM,32.97,00:00:32,184,990,0,light occlusion,Light occlusion pedestrian ID #184 detected at frame 990
1429caf7,ffccbf1e,detection,EDSA Sec Walk,11:06:24 AM,33.03,00:00:33,185,992,1,moderate occlusion,Moderate occlusion pedestrian ID #185 detected at frame 992
c7f0b4d7,ffccbf1e,detection,EDSA Sec Walk,11:06:24 AM,33.27,00:00:33,187,999,0,light occlusion,Light occlusion pedestrian ID #187 detected at frame 999
b203057b,ffccbf1e,detection,EDSA Sec Walk,11:06:24 AM,33.37,00:00:33,189,1002,1,moderate occlusion,Moderate occlusion pedestrian ID #189 detected at frame 1002
b78c008c,ffccbf1e,detection,EDSA Sec Walk,11:06:24 AM,33.37,00:00:33,190,1002,2,heavy occlusion,Heavy occlusion pedestrian ID #190 detected at frame 1002
99e8c31a,ffccbf1e,detection,EDSA Sec Walk,11:06:27 AM,36.03,00:00:36,191,1082,0,light occlusion,Light occlusion pedestrian ID #191 detected at frame 1082
3ee740e2,ffccbf1e,detection,EDSA Sec Walk,11:06:27 AM,36.33,00:00:36,192,1091,0,light occlusion,Light occlusion pedestrian ID #192 detected at frame 1091
95423578,ffccbf1e,detection,EDSA Sec Walk,11:06:27 AM,36.37,00:00:36,194,1092,0,light occlusion,Light occlusion pedestrian ID #194 detected at frame 1092
e0ebe6da,ffccbf1e,detection,EDSA Sec Walk,11:06:28 AM,37.13,00:00:37,198,1115,0,light occlusion,Light occlusion pedestrian ID #198 detected at frame 1115
f9f030a0,ffccbf1e,detection,EDSA Sec Walk,11:06:28 AM,37.23,00:00:37,201,1118,0,light occlusion,Light occlusion pedestrian ID #201 detected at frame 1118
8433496e,ffccbf1e,detection,EDSA Sec Walk,11:06:28 AM,37.53,00:00:37,208,1127,0,light occlusion,Light occlusion pedestrian ID #208 detected at frame 1127
bb06176c,ffccbf1e,detection,EDSA Sec Walk,11:06:36 AM,45.93,00:00:45,214,1379,0,light occlusion,Light occlusion pedestrian ID #214 detected at frame 1379
e48b2284,ffccbf1e,detection,EDSA Sec Walk,11:06:40 AM,49.23,00:00:49,218,1478,1,moderate occlusion,Moderate occlusion pedestrian ID #218 detected at frame 1478
3ddaf12b,ffccbf1e,detection,EDSA Sec Walk,11:06:40 AM,49.53,00:00:49,219,1487,1,moderate occlusion,Moderate occlusion pedestrian ID #219 detected at frame 1487
3a942ec6,ffccbf1e,detection,EDSA Sec Walk,11:06:40 AM,49.83,00:00:49,222,1496,0,light occlusion,Light occlusion pedestrian ID #222 detected at frame 1496
af866051,ffccbf1e,detection,EDSA Sec Walk,11:06:43 AM,52.77,00:00:52,227,1584,0,light occlusion,Light occlusion pedestrian ID #227 detected at frame 1584
