videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
ffccbf1e,0,00:00:00,2026-05-12T11:05:51,11:05:51,4,4,4,4,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
ffccbf1e,1,00:00:01,2026-05-12T11:05:52,11:05:52,3,3,5,5,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
ffccbf1e,2,00:00:02,2026-05-12T11:05:53,11:05:53,4,4,6,6,4,0,0,0.3333,28.69,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.2787,
ffccbf1e,3,00:00:03,2026-05-12T11:05:54,11:05:54,5,5,7,7,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
ffccbf1e,4,00:00:04,2026-05-12T11:05:55,11:05:55,5,5,9,9,4,1,0,0.4,35.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
ffccbf1e,5,00:00:05,2026-05-12T11:05:56,11:05:56,3,3,9,9,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
ffccbf1e,6,00:00:06,2026-05-12T11:05:57,11:05:57,5,5,11,11,5,0,0,0.3333,34.61,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.3483,
ffccbf1e,7,00:00:07,2026-05-12T11:05:58,11:05:58,8,8,14,14,8,0,0,0.3333,52.37,D,"limited space, constrained movement",moderate,roi-testing,,0.357748,14.355,0.5573,
ffccbf1e,8,00:00:08,2026-05-12T11:05:59,11:05:59,7,7,16,16,7,0,0,0.3333,46.45,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.4876,
ffccbf1e,9,00:00:09,2026-05-12T11:06:00,11:06:00,3,3,16,16,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
ffccbf1e,10,00:00:10,2026-05-12T11:06:01,11:06:01,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,11,00:00:11,2026-05-12T11:06:02,11:06:02,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,12,00:00:12,2026-05-12T11:06:03,11:06:03,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,13,00:00:13,2026-05-12T11:06:04,11:06:04,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,14,00:00:14,2026-05-12T11:06:05,11:06:05,2,2,16,16,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,15,00:00:15,2026-05-12T11:06:06,11:06:06,3,3,17,17,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
ffccbf1e,16,00:00:16,2026-05-12T11:06:07,11:06:07,3,3,18,18,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
ffccbf1e,17,00:00:17,2026-05-12T11:06:08,11:06:08,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,18,00:00:18,2026-05-12T11:06:09,11:06:09,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,19,00:00:19,2026-05-12T11:06:10,11:06:10,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,20,00:00:20,2026-05-12T11:06:11,11:06:11,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,21,00:00:21,2026-05-12T11:06:12,11:06:12,2,2,18,18,2,0,0,0.3333,16.84,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.1393,
ffccbf1e,22,00:00:22,2026-05-12T11:06:13,11:06:13,3,3,19,19,3,0,0,0.3333,22.76,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.357748,14.355,0.209,
ffccbf1e,23,00:00:23,2026-05-12T11:06:14,11:06:14,6,6,22,22,6,0,0,0.3333,40.53,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.357748,14.355,0.418,
