videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
ffccbf1e,ffccbf1e:1,7b161067,1,0.0,59.2,20.7,2026-05-12T11:05:51,2026-05-12T11:06:50,11:05:51 AM,11:06:50 AM,11:06:11 AM,60,60,0,storage/videos/processed/ffccbf1e/tracks/track-1.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:2,b5d456ab,2,0.0,33.37,32.77,2026-05-12T11:05:51,2026-05-12T11:06:24,11:05:51 AM,11:06:24 AM,11:06:23 AM,34,9,2,storage/videos/processed/ffccbf1e/tracks/track-2.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows moderate occlusion."
ffccbf1e,ffccbf1e:3,6f1acc92,3,0.0,18.77,17.77,2026-05-12T11:05:51,2026-05-12T11:06:09,11:05:51 AM,11:06:09 AM,11:06:08 AM,19,17,1,storage/videos/processed/ffccbf1e/tracks/track-3.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:4,7f77aad9,4,0.0,1.47,1.43,2026-05-12T11:05:51,2026-05-12T11:05:52,11:05:51 AM,11:05:52 AM,11:05:52 AM,2,0,0,storage/videos/processed/ffccbf1e/tracks/track-4.jpg,,"Representative crop suggests head region appears purple, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:5,60617d40,5,0.0,0.17,0.0,2026-05-12T11:05:51,2026-05-12T11:05:51,11:05:51 AM,11:05:51 AM,11:05:51 AM,1,1,0,storage/videos/processed/ffccbf1e/tracks/track-5.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:6,c97b8199,6,0.53,0.7,0.7,2026-05-12T11:05:51,2026-05-12T11:05:51,11:05:51 AM,11:05:51 AM,11:05:51 AM,1,1,0,storage/videos/processed/ffccbf1e/tracks/track-6.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:11,c1c84428,11,1.1,3.77,3.23,2026-05-12T11:05:52,2026-05-12T11:05:54,11:05:52 AM,11:05:54 AM,11:05:54 AM,3,3,0,storage/videos/processed/ffccbf1e/tracks/track-11.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:18,fd3fd884,18,2.33,3.07,2.73,2026-05-12T11:05:53,2026-05-12T11:05:54,11:05:53 AM,11:05:54 AM,11:05:53 AM,2,2,0,storage/videos/processed/ffccbf1e/tracks/track-18.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:28,4bc8ecc8,28,3.73,4.17,3.93,2026-05-12T11:05:54,2026-05-12T11:05:55,11:05:54 AM,11:05:55 AM,11:05:54 AM,2,2,0,storage/videos/processed/ffccbf1e/tracks/track-28.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:39,577cd084,39,4.57,4.77,4.57,2026-05-12T11:05:55,2026-05-12T11:05:55,11:05:55 AM,11:05:55 AM,11:05:55 AM,1,1,1,storage/videos/processed/ffccbf1e/tracks/track-39.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
ffccbf1e,ffccbf1e:40,a6ee9d7e,40,4.83,7.17,7.13,2026-05-12T11:05:55,2026-05-12T11:05:58,11:05:55 AM,11:05:58 AM,11:05:58 AM,4,4,0,storage/videos/processed/ffccbf1e/tracks/track-40.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:46,9daa8f3e,46,6.13,8.27,7.33,2026-05-12T11:05:57,2026-05-12T11:05:59,11:05:57 AM,11:05:59 AM,11:05:58 AM,3,3,0,storage/videos/processed/ffccbf1e/tracks/track-46.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows light occlusion."
ffccbf1e,ffccbf1e:47,411aff99,47,6.73,8.77,8.4,2026-05-12T11:05:57,2026-05-12T11:05:59,11:05:57 AM,11:05:59 AM,11:05:59 AM,3,3,0,storage/videos/processed/ffccbf1e/tracks/track-47.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
