videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,trackKey,trackId,pedestrianId,occlusionClass,occlusionLabel,insideROI
ffccbf1e,0,00:00:00,2026-05-12T11:05:51,11:05:51,4,4,4,4,4,0,0,ffccbf1e:1,7b161067,1,0,light occlusion,true
ffccbf1e,0,00:00:00,2026-05-12T11:05:51,11:05:51,4,4,4,4,4,0,0,ffccbf1e:3,6f1acc92,3,0,light occlusion,true
ffccbf1e,0,00:00:00,2026-05-12T11:05:51,11:05:51,4,4,4,4,4,0,0,ffccbf1e:5,60617d40,5,0,light occlusion,true
ffccbf1e,0,00:00:00,2026-05-12T11:05:51,11:05:51,4,4,4,4,4,0,0,ffccbf1e:6,c97b8199,6,0,light occlusion,true
ffccbf1e,1,00:00:01,2026-05-12T11:05:52,11:05:52,3,3,5,5,3,0,0,ffccbf1e:1,7b161067,1,0,light occlusion,true
ffccbf1e,1,00:00:01,2026-05-12T11:05:52,11:05:52,3,3,5,5,3,0,0,ffccbf1e:11,c1c84428,11,0,light occlusion,true
ffccbf1e,1,00:00:01,2026-05-12T11:05:52,11:05:52,3,3,5,5,3,0,0,ffccbf1e:3,6f1acc92,3,0,light occlusion,true
ffccbf1e,2,00:00:02,2026-05-12T11:05:53,11:05:53,4,4,6,6,4,0,0,ffccbf1e:1,7b161067,1,0,light occlusion,true
ffccbf1e,2,00:00:02,2026-05-12T11:05:53,11:05:53,4,4,6,6,4,0,0,ffccbf1e:11,c1c84428,11,0,light occlusion,true
ffccbf1e,2,00:00:02,2026-05-12T11:05:53,11:05:53,4,4,6,6,4,0,0,ffccbf1e:18,fd3fd884,18,0,light occlusion,true
ffccbf1e,2,00:00:02,2026-05-12T11:05:53,11:05:53,4,4,6,6,4,0,0,ffccbf1e:3,6f1acc92,3,0,light occlusion,true
ffccbf1e,3,00:00:03,2026-05-12T11:05:54,11:05:54,5,5,7,7,5,0,0,ffccbf1e:1,7b161067,1,0,light occlusion,true
ffccbf1e,3,00:00:03,2026-05-12T11:05:54,11:05:54,5,5,7,7,5,0,0,ffccbf1e:11,c1c84428,11,0,light occlusion,true
ffccbf1e,3,00:00:03,2026-05-12T11:05:54,11:05:54,5,5,7,7,5,0,0,ffccbf1e:18,fd3fd884,18,0,light occlusion,true
ffccbf1e,3,00:00:03,2026-05-12T11:05:54,11:05:54,5,5,7,7,5,0,0,ffccbf1e:28,4bc8ecc8,28,0,light occlusion,true
ffccbf1e,3,00:00:03,2026-05-12T11:05:54,11:05:54,5,5,7,7,5,0,0,ffccbf1e:3,6f1acc92,3,0,light occlusion,true
ffccbf1e,4,00:00:04,2026-05-12T11:05:55,11:05:55,5,5,9,9,4,1,0,ffccbf1e:1,7b161067,1,0,light occlusion,true
ffccbf1e,4,00:00:04,2026-05-12T11:05:55,11:05:55,5,5,9,9,4,1,0,ffccbf1e:28,4bc8ecc8,28,0,light occlusion,true
ffccbf1e,4,00:00:04,2026-05-12T11:05:55,11:05:55,5,5,9,9,4,1,0,ffccbf1e:3,6f1acc92,3,0,light occlusion,true
ffccbf1e,4,00:00:04,2026-05-12T11:05:55,11:05:55,5,5,9,9,4,1,0,ffccbf1e:39,577cd084,39,1,moderate occlusion,true
ffccbf1e,4,00:00:04,2026-05-12T11:05:55,11:05:55,5,5,9,9,4,1,0,ffccbf1e:40,a6ee9d7e,40,0,light occlusion,true
